GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2005-8-1,23,19,16,20,18,15,86,85,82,,,,4.0,1.4,0.1,0,0,,0.0,8,,-1
2005-8-2,24,22,19,21,20,18,95,91,86,,,,0.1,0.1,0.1,0,0,,0.0,8,,-1
2005-8-3,24,,24,21,21,21,86,86,86,,,,0.1,0.1,0.1,0,0,,0.0,8,,-1
2005-8-4,24,20,18,22,20,17,96,94,91,,,,2.0,0.7,0.1,0,0,,9.0,8,,-1
2005-8-5,23,22,22,21,20,19,88,82,77,,,,10.0,10.0,10.0,0,0,,4.0,,,-1
2005-8-6,21,19,18,16,14,13,83,72,62,,,,10.0,10.0,10.0,0,0,,8.0,,,-1
2005-8-7,,,,,,,,,,,,,10.0,10.0,10.0,0,0,,0.0,8,,-1
2005-8-8,23,19,16,18,15,11,83,67,54,,,,10.0,6.0,4.0,4,3,,0.0,8,,-1
2005-8-9,22,,22,16,16,16,57,57,57,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2005-8-10,22,17,17,19,16,14,77,76,74,,,,4.0,2.0,0.1,0,0,,0.0,8,,-1
2005-8-11,23,22,22,19,19,19,77,77,77,,,,10.0,7.0,4.0,0,0,,0.0,,,-1
2005-8-12,25,,23,15,15,15,54,54,54,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2005-8-13,23,,23,19,19,19,73,73,73,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2005-8-14,24,,24,20,20,20,76,76,76,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2005-8-15,23,,23,17,17,17,62,62,62,,,,10.0,10.0,10.0,0,0,,3.0,,,-1
2005-8-16,24,23,15,20,17,12,88,80,74,,,,1.0,0.4,0.1,6,1,,0.0,8,,-1
2005-8-17,23,23,21,19,18,17,83,72,62,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2005-8-18,24,22,20,18,18,17,83,73,63,,,,10.0,10.0,10.0,6,6,,0.0,,,-1
2005-8-19,24,16,15,16,14,12,85,76,68,,,,10.0,4.7,0.1,0,0,,0.0,8,,-1
2005-8-20,22,20,20,19,18,17,78,75,72,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2005-8-21,23,23,22,19,18,18,82,74,66,,,,10.0,5.0,0.1,6,2,,0.0,8,,-1
2005-8-22,22,18,16,20,17,14,88,88,87,,,,4.0,1.4,0.2,9,8,,3.0,8,,-1
2005-8-23,23,19,16,22,19,15,97,92,88,,,,4.0,1.4,0.1,9,5,,0.0,8,,-1
2005-8-24,24,19,14,18,14,7,73,63,49,,,,10.0,8.0,4.0,6,4,,0.0,,,-1
2005-8-25,21,15,15,18,15,12,77,76,74,,,,4.0,3.0,2.0,0,0,,0.0,,,-1
2005-8-26,22,16,12,17,14,10,84,75,58,,,,10.0,8.0,4.0,9,5,,0.0,8,,-1
2005-8-27,22,21,19,16,15,14,67,65,63,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2005-8-28,24,24,22,18,16,15,73,62,50,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2005-8-29,15,,15,13,13,13,87,87,87,,,,4.0,4.0,4.0,0,0,,0.0,,,-1
2005-8-30,25,24,23,20,18,16,80,67,54,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2005-8-31,,,,,,,,,,,,,,,,,,,,,,
