GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2005-6-1,27,26,26,13,12,12,32,30,28,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2005-6-2,28,,28,14,14,14,33,33,33,,,,10.0,10.0,10.0,9,9,,0.0,,,-1
2005-6-3,26,21,17,11,10,10,54,45,31,,,,10.0,10.0,10.0,9,2,,14.0,,Thunderstorm,-1
2005-6-4,24,18,14,12,10,9,53,43,33,,,,10.0,10.0,10.0,0,0,,1.0,,Thunderstorm,-1
2005-6-5,23,22,22,10,10,9,35,33,31,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2005-6-6,25,17,17,10,6,2,54,36,18,,,,10.0,10.0,10.0,9,3,,0.0,8,Thunderstorm,-1
2005-6-7,24,17,17,7,6,6,35,30,24,,,,10.0,10.0,10.0,6,2,,0.0,,,-1
2005-6-8,26,24,24,10,8,5,30,24,19,,,,10.0,10.0,10.0,6,2,,0.0,,,-1
2005-6-9,24,22,22,7,6,6,25,24,23,,,,10.0,10.0,10.0,6,6,,0.0,,,-1
2005-6-10,14,,14,7,7,7,56,56,56,,,,10.0,10.0,10.0,9,9,,0.0,,,-1
2005-6-11,26,25,24,9,8,8,27,25,23,,,,10.0,10.0,10.0,4,2,,0.0,,,-1
2005-6-12,27,27,20,9,8,7,31,26,21,,,,10.0,10.0,10.0,24,12,,0.0,8,Thunderstorm,-1
2005-6-13,28,27,18,11,10,10,57,40,23,,,,10.0,10.0,10.0,6,2,,5.0,8,Thunderstorm,-1
2005-6-14,28,,27,11,11,11,25,25,25,,,,10.0,10.0,10.0,6,6,,0.0,,,-1
2005-6-15,27,20,20,11,8,5,31,29,27,,,,10.0,10.0,10.0,6,2,,0.0,,,-1
2005-6-16,27,,26,11,11,11,27,27,27,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2005-6-17,29,23,18,10,10,9,49,32,21,,,,10.0,10.0,10.0,9,2,,0.0,,,-1
2005-6-18,32,24,19,12,10,9,40,26,17,,,,10.0,10.0,10.0,6,2,,0.0,,,-1
2005-6-19,31,20,20,10,10,10,45,32,18,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2005-6-20,31,25,20,20,17,14,58,50,40,,,,10.0,6.0,4.0,6,2,,0.0,,,-1
2005-6-21,28,,28,20,20,20,52,52,52,,,,4.0,4.0,4.0,6,6,,0.0,,,-1
2005-6-22,25,21,21,20,20,20,88,80,71,,,,4.0,2.0,0.1,9,3,,0.0,8,,-1
2005-6-23,23,,23,21,21,21,86,86,86,,,,0.2,0.2,0.2,0,0,,0.0,8,,-1
2005-6-24,20,,20,19,19,19,94,94,94,,,,0.0,0.0,0.0,6,6,,0.0,8,,-1
2005-6-25,22,20,17,20,18,15,85,81,77,,,,10.0,6.0,4.0,0,0,,0.0,,,-1
2005-6-26,,,,,,,,,,,,,,,,,,,,,,
2005-6-27,,,,,,,,,,,,,,,,,,,,,,
2005-6-28,,,,,,,,,,,,,,,,,,,,,,
2005-6-29,,,,,,,,,,,,,,,,,,,,,,
2005-6-30,,,,,,,,,,,,,,,,,,,,,,
