GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2006-2-1,12,,12,-6,-6,-6,16,16,16,,,,10.0,10.0,10.0,6,6,,0.0,,,-1
2006-2-2,17,16,10,-8,-10,-11,15,11,7,,,,10.0,10.0,10.0,7,5,,0.0,,,-1
2006-2-3,16,,16,-5,-5,-5,13,13,13,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-2-4,19,19,15,-9,-11,-13,6,6,6,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-2-5,19,19,16,1,-2,-4,26,18,11,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2006-2-6,17,,17,-5,-5,-5,12,12,12,,,,10.0,10.0,10.0,6,6,,0.0,,,-1
2006-2-7,17,,17,-5,-5,-5,12,12,12,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-2-8,17,17,12,3,2,1,43,32,21,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-2-9,17,16,13,3,1,-1,39,29,19,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-2-10,18,10,6,2,-0,-3,32,26,21,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2006-2-11,18,18,14,2,1,-0,32,26,19,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-2-12,13,,12,0,0,0,31,31,31,,,,10.0,10.0,10.0,0,0,,0.0,8,,-1
2006-2-13,17,,13,5,5,5,50,50,50,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-2-14,8,,8,4,4,4,69,69,69,,,,10.0,10.0,10.0,0,0,,5.0,8,,-1
2006-2-15,10,10,9,5,5,5,76,70,63,,,,10.0,10.0,10.0,6,4,,1.0,,,-1
2006-2-16,14,10,8,5,2,-1,54,45,29,,,,10.0,10.0,10.0,6,1,,0.0,,,-1
2006-2-17,15,14,13,6,6,5,55,50,45,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-2-18,11,9,9,8,8,7,84,80,77,,,,4.0,4.0,4.0,6,2,,1.0,8,Rain,-1
2006-2-19,12,10,10,8,8,7,84,80,76,,,,10.0,5.0,0.1,0,0,,0.4,8,Rain,-1
2006-2-20,16,16,12,5,4,4,49,42,34,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-2-21,17,16,14,5,4,4,46,40,34,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-2-22,16,14,12,6,4,1,57,44,31,,,,10.0,10.0,10.0,0,0,,0.0,8,,-1
2006-2-23,13,12,12,8,6,5,62,57,52,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2006-2-24,13,13,8,5,4,4,69,60,50,,,,10.0,10.0,10.0,6,4,,1.0,8,Rain,-1
2006-2-25,7,7,6,5,4,4,90,81,72,,,,10.0,5.0,0.1,9,7,,21.0,8,Rain,-1
2006-2-26,6,4,4,2,2,2,81,76,72,,,,10.0,5.5,1.0,17,6,,9.0,8,Rain,-1
2006-2-27,16,,13,3,3,3,39,39,39,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-2-28,,,,,,,,,,,,,,,,,,,,,,
