GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2007-4-1,14,,14,10,10,10,74,74,74,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2007-4-2,18,,14,5,5,5,41,41,41,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2007-4-3,18,14,10,6,3,-3,55,39,27,,,,10.0,10.0,10.0,9,3,,0.0,8,,-1
2007-4-4,18,15,12,10,3,-3,53,34,14,,,,10.0,10.0,10.0,4,3,,0.0,,,-1
2007-4-5,20,16,12,9,6,2,53,39,27,,,,10.0,10.0,10.0,4,3,,0.0,,,-1
2007-4-6,20,16,13,8,6,4,45,40,34,,,,10.0,8.0,4.0,9,4,,0.0,,,-1
2007-4-7,21,16,13,10,6,3,41,40,39,,,,10.0,8.0,4.0,13,10,,0.0,,Thunderstorm,-1
2007-4-8,19,16,14,3,1,-4,27,23,18,,,,10.0,7.3,1.9,9,9,,0.0,,,-1
2007-4-9,20,18,15,4,-1,-4,25,17,10,,,,10.0,8.0,4.0,13,10,,0.0,,,-1
2007-4-10,24,20,15,4,-1,-5,24,16,9,,,,10.0,8.0,4.0,9,7,,0.0,,,-1
2007-4-11,24,21,18,8,-2,-13,34,17,5,,,,10.0,8.0,4.0,18,11,,0.0,,,-1
2007-4-12,25,,25,7,7,7,20,20,20,,,,10.0,10.0,10.0,6,6,,0.0,,,-1
2007-4-13,25,22,18,9,6,-0,29,25,19,,,,10.0,10.0,10.0,4,2,,0.0,,,-1
2007-4-14,25,20,16,10,6,-1,32,25,19,,,,10.0,10.0,10.0,4,2,,0.0,,,-1
2007-4-15,27,23,20,10,7,1,32,25,18,,,,10.0,8.0,4.0,13,8,,0.0,,,-1
2007-4-16,26,22,19,12,8,4,42,30,24,,,,10.0,8.0,4.0,9,5,,0.0,,,-1
2007-4-17,24,22,18,11,10,7,53,40,33,,,,10.0,8.0,4.0,13,10,,0.0,,,-1
2007-4-18,22,19,16,12,10,7,53,48,43,,,,10.0,8.0,4.0,6,1,,0.0,,,-1
2007-4-19,20,14,14,14,11,8,57,56,54,,,,10.0,10.0,10.0,4,4,,0.0,,,-1
2007-4-20,22,17,12,11,8,5,52,44,32,,,,10.0,8.0,4.0,9,5,,0.0,,,-1
2007-4-21,22,19,16,12,10,8,52,44,37,,,,10.0,10.0,10.0,13,10,,0.0,,,-1
2007-4-22,22,19,16,11,8,4,39,36,34,,,,10.0,10.0,10.0,4,3,,0.0,,,-1
2007-4-23,19,14,14,12,8,4,53,45,37,,,,10.0,10.0,10.0,18,11,,0.0,,,-1
2007-4-24,22,20,18,9,6,1,34,28,20,,,,10.0,10.0,10.0,4,2,,0.0,,,-1
2007-4-25,21,18,14,6,1,-6,32,22,13,,,,10.0,8.0,4.0,6,3,,0.0,,,-1
2007-4-26,24,20,15,9,5,3,37,28,15,,,,10.0,8.0,4.0,9,2,,0.0,,,-1
2007-4-27,24,19,19,10,4,-2,30,22,13,,,,10.0,7.0,4.0,13,9,,0.0,,,-1
2007-4-28,26,22,18,8,6,3,25,22,17,,,,10.0,8.0,4.0,6,4,,0.0,,,-1
2007-4-29,26,23,20,10,7,3,30,24,20,,,,10.0,8.0,4.0,9,7,,0.0,,,-1
2007-4-30,26,23,20,8,7,5,27,25,22,,,,10.0,8.0,4.0,9,5,,0.0,,,-1
