GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2007-11-1,20,17,14,3,-5,-10,21,13,9,,,,10.0,6.0,4.0,9,5,,0.0,,,-1
2007-11-2,20,16,13,5,-1,-12,45,26,7,,,,10.0,8.0,4.0,6,4,,0.0,,,-1
2007-11-3,18,16,13,7,2,-7,51,34,14,,,,10.0,8.0,4.0,9,6,,0.0,,,-1
2007-11-4,44,44,14,4,4,4,37,20,4,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2007-11-5,22,22,17,8,6,3,28,28,28,,,,10.0,10.0,10.0,9,3,,0.0,,,-1
2007-11-6,20,20,15,8,8,8,52,43,34,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2007-11-7,18,18,13,10,10,10,74,61,48,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2007-11-8,18,18,14,10,9,8,62,57,52,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2007-11-9,16,16,13,10,10,10,74,64,53,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2007-11-10,16,16,12,8,8,8,70,61,52,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2007-11-11,16,16,12,8,8,7,70,56,43,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2007-11-12,18,18,13,9,8,8,68,56,45,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2007-11-13,18,18,12,7,6,6,57,47,37,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2007-11-14,18,18,13,9,8,6,55,50,45,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2007-11-15,17,17,12,4,2,1,47,34,21,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2007-11-16,15,15,13,-5,-9,-13,17,12,6,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2007-11-17,18,18,13,2,-2,-5,34,23,12,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2007-11-18,18,18,12,4,2,-0,44,32,19,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2007-11-19,14,,14,2,2,2,35,35,35,,,,10.0,10.0,10.0,6,6,,0.0,,,-1
2007-11-20,17,,17,2,2,2,24,24,24,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2007-11-21,18,18,13,3,0,-2,39,27,15,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2007-11-22,16,16,12,-1,-1,-1,29,24,19,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2007-11-23,18,18,15,2,0,-2,29,22,16,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2007-11-24,19,19,14,6,4,2,32,32,32,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2007-11-25,20,12,5,3,1,-1,29,23,20,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2007-11-26,20,,20,8,8,8,34,34,34,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2007-11-27,15,,15,6,6,6,42,42,42,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2007-11-28,16,16,10,-5,-6,-8,23,16,9,,,,10.0,10.0,10.0,9,9,,0.0,,,-1
2007-11-29,10,10,9,0,-2,-3,38,34,31,,,,10.0,10.0,10.0,6,6,,0.0,,,-1
2007-11-30,5,4,3,3,2,2,92,92,91,,,,0.1,0.1,0.1,9,7,,1.0,8,,-1
