PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2008-6-1,26,22,18,14,13,12,63,48,34,,,,10.0,7.0,4.0,6,3,,0.0,,,-1
2008-6-2,22,20,16,16,14,13,90,71,55,,,,10.0,5.5,4.0,13,8,,0.0,8,,-1
2008-6-3,22,18,16,15,11,8,63,54,43,,,,10.0,7.0,4.0,6,6,,3.0,,Rain,-1
2008-6-4,24,21,18,16,13,11,54,53,52,,,,10.0,7.0,4.0,6,4,,0.0,,,-1
2008-6-5,24,22,19,16,13,11,57,49,32,,,,10.0,7.0,4.0,6,1,,0.0,,,-1
2008-6-6,23,21,19,16,15,14,68,62,54,,,,10.0,7.0,4.0,6,2,,4.0,,,-1
2008-6-7,24,20,17,16,13,10,59,51,40,,,,10.0,8.5,4.0,6,1,,4.0,,,-1
2008-6-8,22,20,18,18,16,15,78,73,68,,,,10.0,8.0,2.0,6,2,,3.0,,,-1
2008-6-9,22,18,15,18,16,14,93,81,59,,,,10.0,5.5,4.0,6,6,,7.0,8,,-1
2008-6-10,22,18,17,19,17,14,83,78,74,,,,10.0,7.0,4.0,6,4,,0.0,,,-1
2008-6-11,21,20,18,19,18,17,96,86,83,,,,10.0,5.0,2.0,6,3,,0.0,8,,-1
2008-6-12,23,19,18,19,18,17,94,87,77,,,,4.0,3.0,0.1,6,3,,2.0,8,,-1
2008-6-13,23,19,18,22,19,17,94,92,89,,,,10.0,3.5,0.1,7,4,,0.0,8,,-1
2008-6-14,22,20,20,21,20,18,95,91,88,,,,4.0,1.1,0.1,0,0,,0.0,8,,-1
2008-6-15,22,20,19,21,20,18,94,91,88,,,,10.0,2.5,0.1,7,2,,42.0,8,,-1
2008-6-16,20,19,18,19,18,17,96,95,94,,,,0.1,0.1,0.1,6,1,,6.0,8,,-1
2008-6-17,22,19,18,20,18,16,96,91,86,,,,10.0,4.5,0.1,6,2,,0.0,8,,-1
2008-6-18,22,21,20,20,19,18,89,86,82,,,,4.0,1.3,0.1,6,3,,0.0,8,,-1
2008-6-19,20,19,18,19,18,17,95,89,83,,,,4.0,1.3,0.1,6,5,,0.0,8,,-1
2008-6-20,22,19,16,18,15,9,96,69,49,,,,10.0,6.0,0.1,13,4,,0.0,8,,-1
2008-6-21,23,19,16,19,17,14,90,85,80,,,,20.0,7.6,0.1,6,4,,34.0,8,Rain-Thunderstorm,-1
2008-6-22,23,20,18,16,13,7,63,53,39,,,,10.0,6.0,4.0,9,7,,0.0,,,-1
2008-6-23,22,20,17,20,16,13,84,75,58,,,,10.0,5.5,4.0,13,4,,0.0,8,,-1
2008-6-24,23,20,18,20,17,15,84,76,61,,,,4.0,4.0,4.0,4,1,,0.0,8,,-1
2008-6-25,22,21,20,22,19,15,97,85,67,,,,4.0,2.0,0.1,6,3,,0.0,8,,-1
2008-6-26,24,22,20,23,21,19,94,91,86,,,,4.0,2.1,0.1,4,1,,9.0,8,,-1
2008-6-27,24,22,19,19,18,15,88,74,67,,,,10.0,4.5,0.1,15,5,,31.0,8,Thunderstorm,-1
2008-6-28,21,20,18,18,15,10,89,71,52,,,,10.0,4.5,0.1,9,5,,0.0,8,,-1
2008-6-29,18,18,17,17,14,13,91,77,64,,,,10.0,5.0,2.0,6,4,,0.0,8,Rain-Thunderstorm,-1
2008-6-30,20,18,16,19,15,12,88,77,62,,,,10.0,4.5,0.1,6,3,,0.0,8,,-1
