PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2009-8-1,22,20,18,21,19,16,90,85,77,,,,10.0,3.6,0.5,6,3,,0.0,8,,-1
2009-8-2,23,20,20,21,20,19,95,92,87,,,,10.0,3.4,0.1,4,2,,21.0,8,Rain,-1
2009-8-3,23,20,18,22,20,18,96,89,80,,,,0.1,0.1,0.1,0,0,,4.0,8,Fog,-1
2009-8-4,24,21,20,21,20,19,94,90,86,,,,10.0,5.3,0.1,0,0,,2.0,8,,-1
2009-8-5,24,22,20,21,20,18,89,87,86,,,,4.0,2.3,0.1,6,1,,0.0,8,Fog,-1
2009-8-6,24,20,18,22,20,16,92,90,88,,,,4.0,2.0,0.1,6,1,,56.0,8,Fog,-1
2009-8-7,22,19,14,20,16,12,87,83,76,,,,10.0,7.0,4.0,6,2,,0.0,8,,-1
2009-8-8,24,20,18,20,18,16,89,85,81,,,,10.0,7.0,4.0,6,1,,0.0,8,Thunderstorm,-1
2009-8-9,24,20,18,20,19,17,96,87,81,,,,10.0,4.8,1.0,9,4,,4.0,,Fog,-1
2009-8-10,25,20,16,20,17,14,83,77,63,,,,10.0,4.5,0.1,17,5,,1.0,8,Fog-Rain-Thunderstorm,-1
2009-8-11,23,22,19,21,19,16,89,85,78,,,,10.0,4.5,0.1,6,1,,2.0,8,,-1
2009-8-12,24,22,20,22,20,18,95,89,81,,,,4.0,1.5,0.1,0,0,,0.0,8,,-1
2009-8-13,26,23,20,22,20,18,88,79,67,,,,4.0,3.5,2.0,4,1,,0.0,,,-1
2009-8-14,24,21,20,21,20,19,88,88,86,,,,4.0,1.8,0.1,6,2,,0.0,8,Fog,-1
2009-8-15,20,20,20,20,20,20,100,98,94,,,,0.0,0.0,0.0,6,2,,7.0,8,Fog,-1
2009-8-16,20,19,18,19,18,18,100,96,94,,,,4.0,1.0,0.0,6,1,,1.0,8,Fog,-1
2009-8-17,21,18,16,19,17,16,99,95,90,,,,4.0,2.0,0.1,6,5,,9.0,8,Fog,-1
2009-8-18,22,18,17,17,16,14,85,79,69,,,,10.0,7.0,4.0,4,1,,1.0,8,,-1
2009-8-19,21,14,12,17,14,11,89,83,74,,,,10.0,5.5,4.0,6,3,,0.0,8,,-1
2009-8-20,20,18,15,16,14,12,74,72,68,,,,10.0,7.0,4.0,0,0,,10.0,,,-1
2009-8-21,20,17,14,16,14,12,81,76,73,,,,10.0,7.0,4.0,6,4,,1.0,,,-1
2009-8-22,23,17,13,17,13,10,74,68,50,,,,10.0,7.0,4.0,0,0,,0.0,,,-1
2009-8-23,23,19,16,18,16,13,74,73,72,,,,10.0,7.0,4.0,6,2,,0.0,,,-1
2009-8-24,23,19,16,19,17,14,89,78,66,,,,10.0,7.0,4.0,4,1,,0.0,,,-1
2009-8-25,22,18,17,19,17,15,85,84,82,,,,10.0,6.0,4.0,0,0,,0.0,,,-1
2009-8-26,20,16,15,17,14,8,96,78,39,,,,10.0,4.5,0.1,0,0,,16.0,8,Fog-Rain,-1
2009-8-27,23,19,16,18,12,8,83,58,48,,,,10.0,7.0,4.0,6,4,,0.0,,,-1
2009-8-28,24,17,16,18,16,14,90,86,83,,,,10.0,7.0,4.0,6,2,,0.0,,,-1
2009-8-29,21,18,17,20,17,15,89,87,85,,,,4.0,2.0,0.1,9,2,,0.0,8,Fog,-1
2009-8-30,23,20,18,21,18,16,88,84,77,,,,4.0,2.1,0.1,4,1,,17.0,8,Fog,-1
2009-8-31,22,18,17,17,16,16,92,82,63,,,,10.0,4.7,0.1,6,1,,106.0,8,Fog,-1
