PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2009-7-1,22,18,18,14,10,7,51,45,39,,,,10.0,7.0,4.0,6,6,,0.0,,,-1
2009-7-2,22,16,14,12,10,7,51,46,42,,,,10.0,6.0,4.0,20,14,,2.0,,,-1
2009-7-3,22,18,16,11,9,7,63,47,37,,,,10.0,8.5,4.0,13,9,,7.0,,,-1
2009-7-4,20,17,16,10,8,7,52,43,37,,,,10.0,7.0,4.0,18,11,,0.0,8,Rain-Thunderstorm,-1
2009-7-5,24,24,24,11,10,9,31,29,27,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2009-7-6,27,23,19,10,8,5,40,28,22,,,,10.0,7.0,4.0,9,6,,0.0,,,-1
2009-7-7,28,25,22,10,6,2,23,19,14,,,,10.0,8.5,4.0,9,6,,0.0,,,-1
2009-7-8,29,25,14,14,9,3,74,42,16,,,,10.0,6.0,4.0,9,7,,3.0,,Thunderstorm,-1
2009-7-9,26,23,21,15,12,8,44,38,31,,,,4.0,3.5,2.0,6,1,,0.0,,,-1
2009-7-10,26,23,20,17,15,12,72,56,32,,,,10.0,7.0,4.0,9,4,,0.0,,,-1
2009-7-11,25,21,19,19,17,16,83,71,48,,,,10.0,7.0,4.0,6,1,,0.0,,,-1
2009-7-12,26,22,18,18,17,16,89,65,47,,,,4.0,4.0,4.0,9,2,,0.0,,,-1
2009-7-13,26,22,18,15,13,10,67,48,38,,,,10.0,7.0,4.0,9,7,,0.0,,,-1
2009-7-14,24,20,17,14,14,14,74,57,46,,,,10.0,7.0,4.0,9,6,,0.0,8,,-1
2009-7-15,27,22,19,13,13,11,62,40,25,,,,10.0,6.1,0.3,9,2,,0.0,,,-1
2009-7-16,26,21,18,19,18,17,89,68,48,,,,10.0,5.5,4.0,9,6,,0.0,,,-1
2009-7-17,28,23,20,20,18,16,89,65,40,,,,10.0,5.5,4.0,6,2,,0.0,,,-1
2009-7-18,23,20,17,19,16,13,85,67,54,,,,10.0,7.0,4.0,9,6,,35.0,8,Rain-Thunderstorm,-1
2009-7-19,24,18,18,18,16,15,78,70,62,,,,10.0,7.0,4.0,7,7,,0.0,,,-1
2009-7-20,26,21,19,20,19,17,83,79,71,,,,10.0,5.5,4.0,6,3,,0.0,,,-1
2009-7-21,25,22,20,21,19,18,88,79,76,,,,10.0,7.0,4.0,6,1,,16.0,8,,-1
2009-7-22,24,21,18,20,16,11,86,68,57,,,,10.0,7.0,4.0,44,22,,0.0,,,-1
2009-7-23,22,19,18,18,16,12,95,72,57,,,,10.0,6.0,0.0,17,4,,54.0,8,,-1
2009-7-24,24,21,18,18,15,12,72,64,57,,,,10.0,7.0,4.0,9,3,,0.0,,,-1
2009-7-25,23,20,18,18,17,17,89,76,60,,,,10.0,4.5,0.2,4,1,,3.0,8,Fog,-1
2009-7-26,24,20,19,21,19,18,89,84,77,,,,10.0,4.5,0.1,0,0,,0.0,8,,-1
2009-7-27,23,21,20,22,20,18,91,86,77,,,,4.0,2.0,0.1,0,0,,2.0,8,,-1
2009-7-28,21,20,20,20,18,16,88,83,68,,,,10.0,5.0,0.1,0,0,,24.0,8,,-1
2009-7-29,21,19,18,19,18,17,91,88,83,,,,10.0,2.6,0.2,0,0,,12.0,8,,-1
2009-7-30,22,19,16,20,16,12,88,75,68,,,,10.0,7.5,0.2,6,1,,0.0,8,,-1
2009-7-31,22,19,18,20,17,14,88,82,67,,,,10.0,3.6,0.0,9,3,,5.0,8,,-1
