PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2009-5-1,25,20,16,7,4,2,30,26,21,,,,10.0,7.0,4.0,9,2,,0.0,,,-1
2009-5-2,24,20,15,8,4,1,29,25,21,,,,10.0,7.0,4.0,6,1,,0.0,,,-1
2009-5-3,21,18,13,8,4,-4,62,34,15,,,,10.0,5.5,4.0,9,6,,4.0,8,Rain,-1
2009-5-4,15,12,10,11,9,7,80,77,74,,,,10.0,7.0,4.0,9,5,,4.0,8,Rain-Thunderstorm,-1
2009-5-5,13,11,10,9,8,6,92,78,58,,,,10.0,6.0,4.0,9,5,,6.0,8,Rain,-1
2009-5-6,18,14,10,8,6,5,70,54,41,,,,10.0,5.5,4.0,6,1,,0.0,8,,-1
2009-5-7,18,18,18,8,3,-2,43,29,15,,,,10.0,10.0,10.0,9,6,,0.0,,,-1
2009-5-8,19,16,14,9,5,1,40,34,26,,,,10.0,5.5,4.0,4,3,,0.0,,,-1
2009-5-9,20,17,14,8,6,2,37,35,32,,,,10.0,7.0,4.0,6,3,,0.0,,,-1
2009-5-10,16,16,15,8,5,2,44,38,30,,,,10.0,7.0,4.0,6,5,,0.0,,,-1
2009-5-11,18,15,12,7,4,1,48,36,27,,,,10.0,8.5,4.0,13,10,,0.0,,,-1
2009-5-12,21,18,14,7,4,2,36,32,27,,,,10.0,7.0,4.0,6,3,,0.0,,,-1
2009-5-13,24,14,14,8,6,5,42,36,24,,,,10.0,7.0,4.0,0,0,,0.0,,,-1
2009-5-14,26,21,16,10,7,5,43,32,20,,,,10.0,7.0,4.0,6,1,,0.0,,,-1
2009-5-15,23,20,18,12,6,2,39,27,20,,,,10.0,5.5,4.0,6,3,,0.0,,,-1
2009-5-16,24,21,18,6,-1,-9,22,14,6,,,,10.0,7.0,4.0,9,6,,0.0,,,-1
2009-5-17,26,22,19,7,3,-1,31,19,12,,,,10.0,7.0,4.0,9,5,,0.0,,,-1
2009-5-18,28,25,22,5,0,-5,14,11,8,,,,10.0,7.0,4.0,6,2,,0.0,,,-1
2009-5-19,28,20,18,8,5,0,39,25,13,,,,10.0,6.0,4.0,6,2,,0.0,8,,-1
2009-5-20,25,21,17,10,8,6,41,32,28,,,,10.0,7.0,4.0,32,17,,0.0,8,,-1
2009-5-21,25,22,19,16,7,1,51,32,15,,,,10.0,7.0,4.0,13,4,,0.0,,,-1
2009-5-22,26,22,17,9,8,7,41,30,22,,,,10.0,7.0,4.0,32,15,,0.0,8,,-1
2009-5-23,26,22,17,8,4,2,24,21,15,,,,10.0,8.5,4.0,26,16,,0.0,,,-1
2009-5-24,25,22,18,8,4,1,23,20,15,,,,10.0,8.5,4.0,9,2,,0.0,,,-1
2009-5-25,20,18,16,8,3,1,34,24,20,,,,10.0,5.5,4.0,22,15,,0.0,,,-1
2009-5-26,24,20,15,6,4,2,29,23,18,,,,10.0,8.0,4.0,6,4,,0.0,,,-1
2009-5-27,26,22,17,5,3,1,29,19,13,,,,10.0,8.5,4.0,9,5,,0.0,,,-1
2009-5-28,26,22,18,8,3,-0,20,17,15,,,,10.0,7.0,4.0,13,8,,0.0,,,-1
2009-5-29,26,23,20,4,2,-2,16,14,12,,,,10.0,8.5,4.0,9,7,,0.0,,,-1
2009-5-30,22,20,18,12,5,-4,42,28,10,,,,10.0,5.5,4.0,9,5,,0.0,,,-1
2009-5-31,22,18,15,14,11,10,63,52,40,,,,4.0,4.0,4.0,0,0,,14.0,,,-1
