PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2009-9-1,22,19,16,17,15,14,86,75,67,,,,10.0,7.0,4.0,9,6,,5.0,,,-1
2009-9-2,22,16,14,16,14,12,87,78,67,,,,10.0,7.0,4.0,6,5,,3.0,8,,-1
2009-9-3,18,15,14,14,11,10,80,70,63,,,,10.0,7.0,4.0,6,4,,44.0,,,-1
2009-9-4,20,17,14,11,10,9,74,62,49,,,,10.0,7.0,4.0,6,4,,2.0,,,-1
2009-9-5,21,18,14,14,9,4,67,48,39,,,,10.0,7.0,4.0,9,5,,0.0,,,-1
2009-9-6,21,18,14,14,11,6,74,58,42,,,,10.0,7.0,4.0,6,4,,0.0,,,-1
2009-9-7,23,19,15,13,10,7,56,50,44,,,,10.0,7.0,4.0,6,4,,0.0,,,-1
2009-9-8,24,19,14,14,10,4,63,47,29,,,,10.0,7.0,4.0,6,4,,0.0,,,-1
2009-9-9,21,18,15,15,12,8,68,57,44,,,,10.0,7.0,4.0,6,6,,0.0,,,-1
2009-9-10,22,18,15,15,14,12,80,68,51,,,,10.0,7.0,4.0,13,6,,0.0,,,-1
2009-9-11,20,18,16,18,16,13,86,82,77,,,,10.0,4.5,0.2,17,4,,0.0,8,,-1
2009-9-12,21,18,16,17,15,13,86,76,63,,,,10.0,6.0,0.1,13,4,,0.0,8,,-1
2009-9-13,24,20,16,16,14,10,74,63,50,,,,10.0,7.0,4.0,17,11,,0.0,,,-1
2009-9-14,22,19,16,18,15,12,87,75,63,,,,10.0,7.0,4.0,9,3,,0.0,,,-1
2009-9-15,22,20,17,17,14,11,74,68,58,,,,4.0,4.0,4.0,13,8,,0.0,8,,-1
2009-9-16,20,17,14,12,8,5,53,46,38,,,,10.0,7.0,4.0,24,16,,11.0,8,Rain-Thunderstorm,-1
2009-9-17,23,20,16,12,10,8,49,45,37,,,,10.0,7.0,4.0,9,5,,0.0,,,-1
2009-9-18,26,20,14,13,11,5,58,46,35,,,,10.0,7.0,4.0,6,2,,0.0,,,-1
2009-9-19,26,22,17,15,12,7,55,44,38,,,,10.0,8.0,4.0,6,3,,0.0,,,-1
2009-9-20,23,20,17,19,14,10,77,64,52,,,,10.0,5.5,4.0,6,4,,0.0,,,-1
2009-9-21,21,20,18,18,17,16,83,81,77,,,,10.0,4.7,0.1,9,5,,0.0,8,,-1
2009-9-22,23,20,18,18,17,15,78,74,68,,,,4.0,4.0,4.0,6,1,,0.0,,,-1
2009-9-23,22,20,17,19,15,7,90,71,40,,,,4.0,3.0,0.1,6,1,,0.0,8,,-1
2009-9-24,24,21,18,19,16,13,78,70,58,,,,4.0,4.0,4.0,6,4,,0.0,,,-1
2009-9-25,24,21,18,19,15,13,77,66,54,,,,4.0,4.0,4.0,6,1,,0.0,,,-1
2009-9-26,22,20,19,19,18,16,83,79,76,,,,4.0,4.0,4.0,6,2,,0.0,,,-1
2009-9-27,23,20,17,19,18,15,89,84,78,,,,4.0,3.5,2.0,6,3,,0.0,,,-1
2009-9-28,25,20,18,17,16,14,84,70,55,,,,10.0,7.0,4.0,0,0,,0.0,,,-1
2009-9-29,25,22,18,13,9,5,47,37,27,,,,10.0,7.0,4.0,6,5,,0.0,,,-1
2009-9-30,25,21,18,14,11,8,51,43,37,,,,10.0,7.0,4.0,9,5,,0.0,,,-1
