GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2010-1-1,15,12,8,-5,-9,-14,26,15,10,,,,10.0,7.0,4.0,11,6,,0.0,,,-1
2010-1-2,14,11,8,-3,-6,-9,21,20,17,,,,10.0,7.0,4.0,4,1,,0.0,,,-1
2010-1-3,4,2,0,1,-1,-6,100,75,25,,,,10.0,4.5,0.1,6,1,,3.0,8,Snow,-1
2010-1-4,11,6,1,2,1,-2,76,60,44,,,,10.0,7.0,4.0,0,0,,0.0,,,-1
2010-1-5,15,12,8,-1,-2,-4,33,28,21,,,,10.0,8.0,4.0,6,4,,0.0,,,-1
2010-1-6,16,12,8,-1,-3,-5,40,27,17,,,,10.0,7.0,4.0,6,3,,0.0,,,-1
2010-1-7,15,10,4,12,3,-1,81,62,41,,,,10.0,7.0,4.0,6,6,,0.0,,,-1
2010-1-8,12,8,3,1,-1,-2,61,51,35,,,,10.0,7.0,4.0,6,6,,0.0,,,-1
2010-1-9,13,8,3,1,-1,-4,52,46,34,,,,10.0,7.0,4.0,6,5,,0.0,,,-1
2010-1-10,12,8,5,-1,-2,-3,51,44,40,,,,10.0,6.0,4.0,9,6,,0.0,,,-1
2010-1-11,12,8,5,-1,-4,-6,38,32,27,,,,10.0,7.0,4.0,6,2,,0.0,,,-1
2010-1-12,13,10,6,3,-2,-6,65,36,22,,,,10.0,7.0,4.0,7,2,,0.0,8,,-1
2010-1-13,10,7,2,-1,-2,-5,66,52,38,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2010-1-14,10,6,3,-1,-5,-8,52,34,19,,,,10.0,7.0,4.0,9,7,,0.0,,,-1
2010-1-15,15,12,8,-3,-7,-10,27,18,13,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2010-1-16,16,12,8,1,-5,-11,40,21,13,,,,10.0,7.0,4.0,7,3,,0.0,,,-1
2010-1-17,13,11,8,-1,-7,-11,36,20,12,,,,10.0,7.0,4.0,7,3,,0.0,,,-1
2010-1-18,13,10,6,-4,-5,-8,35,27,18,,,,10.0,7.0,4.0,6,2,,0.0,,,-1
2010-1-19,12,8,5,-3,-5,-7,33,28,16,,,,10.0,7.0,4.0,6,6,,0.0,,,-1
2010-1-20,13,8,4,-4,-6,-8,35,25,12,,,,10.0,7.0,4.0,6,6,,0.0,,,-1
2010-1-21,15,10,4,-5,-6,-8,32,21,14,,,,10.0,7.0,4.0,9,5,,0.0,,,-1
2010-1-22,12,9,6,-3,-5,-8,32,27,23,,,,10.0,7.0,4.0,9,5,,0.0,8,,-1
2010-1-23,14,10,6,-3,-4,-5,30,25,19,,,,10.0,7.0,4.0,11,2,,0.0,,,-1
2010-1-24,13,10,8,-1,-3,-8,37,28,18,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2010-1-25,14,10,7,2,-2,-4,44,35,29,,,,10.0,7.0,4.0,6,2,,0.0,,,-1
2010-1-26,13,10,6,-1,-2,-4,38,34,28,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2010-1-27,11,8,6,-1,-3,-5,43,34,23,,,,10.0,7.0,4.0,7,5,,0.0,8,,-1
2010-1-28,7,6,6,2,-1,-4,64,47,31,,,,10.0,7.0,4.0,15,11,,0.0,8,,-1
2010-1-29,3,2,1,2,-0,-2,98,78,61,,,,10.0,3.5,0.1,15,9,,16.0,8,Rain-Thunderstorm,-1
2010-1-30,9,6,3,2,0,-2,81,60,41,,,,10.0,7.0,4.0,9,6,,0.0,,,-1
2010-1-31,9,6,3,1,-1,-3,61,53,31,,,,10.0,7.0,4.0,6,6,,0.0,,,-1
