GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-3-1,5,2,0,4,0,-5,100,85,64,,,,10.0,3.5,0.1,7,1,,0.0,8,,-1
2011-3-2,4,2,0,0,-0,-1,100,88,76,,,,4.0,2.0,0.1,0,0,,24.0,8,Snow,-1
2011-3-3,6,5,0,4,2,0,100,91,81,,,,10.0,6.7,0.1,0,0,,14.0,8,Snow,-1
2011-3-4,4,2,0,2,-0,-5,92,81,64,,,,10.0,3.4,0.1,7,7,,2.0,8,,-1
2011-3-5,6,6,3,2,0,-2,72,66,61,,,,10.0,7.0,4.0,7,5,,1.0,,,-1
2011-3-6,13,8,4,-2,-4,-8,38,30,24,,,,10.0,7.0,4.0,7,6,,0.0,,,-1
2011-3-7,12,9,6,4,2,-2,72,52,32,,,,10.0,7.0,4.0,11,4,,0.5,,Rain,-1
2011-3-8,13,9,5,1,0,-2,63,47,35,,,,10.0,7.0,4.0,7,6,,1.0,,,-1
2011-3-9,15,13,6,3,1,-1,64,44,23,,,,10.0,8.0,4.0,7,4,,0.0,,,-1
2011-3-10,15,10,6,3,0,-2,48,44,37,,,,10.0,6.0,4.0,4,3,,0.0,,,-1
2011-3-11,16,12,8,2,-3,-8,38,24,18,,,,10.0,7.0,4.0,7,3,,0.0,,,-1
2011-3-12,17,14,10,1,-2,-7,27,23,18,,,,10.0,7.0,4.0,7,6,,0.0,,,-1
2011-3-13,30,21,12,-1,-4,-8,19,17,13,,,,10.0,6.0,4.0,15,11,,0.0,,,-1
2011-3-14,21,18,14,-2,-4,-7,16,13,9,,,,10.0,7.0,4.0,30,14,,0.0,,,-1
2011-3-15,22,20,16,9,6,3,40,30,23,,,,10.0,8.0,4.0,7,5,,0.0,,,-1
2011-3-16,21,20,15,10,9,8,55,49,41,,,,10.0,8.0,4.0,4,2,,0.0,,,-1
2011-3-17,18,16,13,8,5,2,55,46,32,,,,10.0,6.0,4.0,0,0,,0.0,,,-1
2011-3-18,19,18,13,9,9,8,68,56,48,,,,10.0,8.0,4.0,4,3,,0.0,,,-1
2011-3-19,10,9,8,9,6,5,100,82,69,,,,4.0,1.7,0.2,7,4,,20.0,8,Hail-Thunderstorm,-1
2011-3-20,14,10,6,5,4,2,81,61,49,,,,10.0,6.0,4.0,7,2,,0.0,,,-1
2011-3-21,16,12,8,4,2,-1,45,40,32,,,,10.0,7.0,4.0,15,10,,0.0,,,-1
2011-3-22,19,12,12,9,6,2,49,42,36,,,,10.0,7.0,4.0,11,9,,0.0,,,-1
2011-3-23,20,16,13,9,6,3,41,39,37,,,,10.0,8.5,4.0,7,5,,0.0,,,-1
2011-3-24,21,20,14,8,6,5,41,41,41,,,,10.0,7.0,4.0,0,0,,0.0,,,-1
2011-3-25,22,18,14,11,8,6,52,48,39,,,,10.0,7.0,4.0,4,2,,0.0,,,-1
2011-3-26,21,16,13,10,8,5,54,51,48,,,,10.0,8.0,4.0,4,2,,0.0,8,,-1
2011-3-27,10,9,8,7,7,7,93,91,88,,,,10.0,8.0,4.0,11,10,,19.0,8,Rain,-1
2011-3-28,14,14,14,12,12,12,87,84,81,,,,10.0,10.0,10.0,11,10,,0.0,,,-1
2011-3-29,15,14,9,10,7,6,77,67,57,,,,10.0,8.0,4.0,7,7,,0.0,,,-1
2011-3-30,17,8,8,6,6,5,84,68,52,,,,10.0,7.0,4.0,7,6,,0.0,,,-1
2011-3-31,,,,,,,,,,,,,,,,,,,,,,
