GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-5-1,23,18,12,9,6,2,44,34,23,,,,10.0,7.0,4.0,7,6,,0.0,,,-1
2011-5-2,24,20,15,10,8,4,42,34,25,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2011-5-3,26,22,17,11,8,6,36,32,30,,,,10.0,7.0,4.0,4,1,,0.0,,,-1
2011-5-4,26,22,17,10,6,3,35,30,28,,,,10.0,6.0,4.0,4,1,,0.0,,Thunderstorm,-1
2011-5-5,22,19,16,8,6,4,39,37,34,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2011-5-6,16,15,12,9,7,6,57,55,53,,,,10.0,6.0,4.0,15,5,,6.0,8,Rain,-1
2011-5-7,20,19,16,10,9,9,58,49,41,,,,10.0,8.0,4.0,7,6,,0.0,,,-1
2011-5-8,22,18,14,10,6,-0,51,35,19,,,,10.0,6.0,4.0,7,6,,0.0,,,-1
2011-5-9,24,20,16,9,7,4,39,34,31,,,,10.0,7.0,4.0,30,7,,0.0,,Thunderstorm,-1
2011-5-10,25,20,16,9,6,4,35,30,25,,,,10.0,7.0,4.0,11,8,,0.0,,,-1
2011-5-11,25,20,17,10,8,6,36,32,25,,,,10.0,8.0,4.0,7,6,,0.0,,,-1
2011-5-12,24,21,16,11,8,5,39,33,29,,,,10.0,7.0,4.0,11,4,,0.0,,,-1
2011-5-13,22,19,16,6,3,1,27,25,21,,,,10.0,6.0,4.0,4,4,,0.0,,,-1
2011-5-14,27,24,20,6,3,1,20,17,13,,,,10.0,7.0,4.0,15,10,,0.0,,,-1
2011-5-15,28,23,18,9,5,1,21,19,16,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2011-5-16,29,24,19,8,5,1,22,19,16,,,,10.0,7.0,4.0,4,3,,0.0,,,-1
2011-5-17,29,24,20,10,6,1,24,21,18,,,,10.0,7.0,4.0,4,3,,0.0,,,-1
2011-5-18,29,25,21,10,7,3,27,23,19,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2011-5-19,30,24,19,12,7,3,27,22,18,,,,10.0,7.0,4.0,4,2,,0.0,,,-1
2011-5-20,28,24,20,14,11,4,46,36,24,,,,4.0,4.0,4.0,4,1,,0.0,,,-1
2011-5-21,24,22,19,11,7,4,42,31,22,,,,10.0,5.5,4.0,4,1,,0.0,8,Rain-Thunderstorm,-1
2011-5-22,21,20,16,13,10,5,53,45,31,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2011-5-23,25,20,15,12,9,5,52,38,29,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2011-5-24,28,24,20,12,10,6,43,33,27,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2011-5-25,28,22,16,14,13,11,80,53,30,,,,10.0,5.5,4.0,11,9,,10.0,8,Rain-Thunderstorm,-1
2011-5-26,25,24,14,13,13,13,87,58,40,,,,10.0,8.0,4.0,18,8,,5.0,8,Rain,-1
2011-5-27,23,20,17,16,14,10,63,58,54,,,,10.0,7.0,4.0,7,3,,0.0,8,,-1
2011-5-28,25,22,18,15,12,7,59,47,33,,,,10.0,7.0,4.0,11,6,,0.0,,,-1
2011-5-29,26,22,18,14,12,10,48,39,32,,,,10.0,7.0,4.0,7,3,,0.0,,,-1
2011-5-30,26,23,20,14,11,8,45,39,34,,,,10.0,6.0,4.0,7,3,,0.0,,,-1
2011-5-31,25,22,18,15,13,9,49,45,40,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
