GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2013-7-1,25,21,17,13,9,6,49,41,30,,,,10.0,6.0,4.0,11,4,,0.0,,,-1
2013-7-2,25,22,19,15,11,6,54,44,32,,,,10.0,7.0,4.0,11,6,,0.0,,,-1
2013-7-3,26,22,19,17,14,12,57,52,48,,,,10.0,8.5,4.0,4,1,,0.0,,,-1
2013-7-4,26,25,21,20,19,17,73,66,59,,,,10.0,8.0,4.0,7,5,,0.0,,,-1
2013-7-5,24,22,20,21,20,18,88,80,71,,,,10.0,4.7,0.1,7,2,,0.0,8,,-1
2013-7-6,25,22,20,22,20,19,94,87,81,,,,10.0,2.6,0.1,4,1,,6.0,8,,-1
2013-7-7,24,22,20,21,19,15,91,82,68,,,,4.0,1.1,0.2,4,1,,2.0,8,,-1
2013-7-8,24,20,15,20,17,14,93,83,67,,,,10.0,4.5,0.2,11,6,,35.0,8,,-1
2013-7-9,22,20,18,19,16,14,84,78,72,,,,10.0,7.0,4.0,4,3,,7.0,8,,-1
2013-7-10,23,20,16,18,15,12,89,75,62,,,,10.0,4.5,0.2,11,7,,6.0,8,,-1
2013-7-11,24,20,16,18,16,12,69,62,43,,,,10.0,7.0,4.0,4,1,,0.0,,,-1
2013-7-12,24,20,17,20,18,15,88,79,68,,,,10.0,5.3,0.1,0,0,,0.0,8,,-1
2013-7-13,24,20,17,20,18,15,83,73,63,,,,10.0,4.6,0.1,7,1,,0.0,8,,-1
2013-7-14,24,21,18,22,19,16,95,85,77,,,,4.0,0.6,0.1,7,2,,15.0,8,Rain,-1
2013-7-15,23,18,14,21,17,14,94,81,62,,,,10.0,3.5,0.1,22,5,,32.0,8,Thunderstorm,-1
2013-7-16,23,19,15,20,18,16,89,86,83,,,,4.0,1.2,0.1,14,2,,0.0,8,,-1
2013-7-17,23,20,16,20,16,14,90,80,71,,,,10.0,6.0,0.1,7,1,,8.0,8,,-1
2013-7-18,23,20,16,22,19,14,91,85,80,,,,4.0,2.0,0.1,7,1,,0.0,8,,-1
2013-7-19,23,22,20,21,20,18,94,92,89,,,,4.0,1.4,0.1,0,0,,2.0,8,,-1
2013-7-20,20,18,16,18,16,15,95,89,79,,,,10.0,4.5,0.0,7,3,,23.0,8,Rain-Thunderstorm,-1
2013-7-21,22,20,18,20,18,15,95,85,78,,,,10.0,4.5,0.1,4,3,,0.0,8,,-1
2013-7-22,22,20,18,21,19,16,95,90,86,,,,4.0,2.0,0.1,4,1,,1.0,8,,-1
2013-7-23,22,20,18,20,18,17,89,83,73,,,,10.0,3.4,0.1,0,0,,1.0,8,,-1
2013-7-24,23,20,16,19,18,16,99,85,76,,,,10.0,3.5,0.1,4,1,,4.0,8,Rain,-1
2013-7-25,22,20,17,18,17,15,89,82,77,,,,10.0,4.5,0.1,4,1,,1.0,8,,-1
2013-7-26,21,19,17,20,18,15,95,86,76,,,,4.0,1.0,0.1,4,1,,0.0,8,,-1
2013-7-27,22,20,18,20,19,17,96,92,88,,,,0.1,0.1,0.1,0,0,,0.0,8,,-1
2013-7-28,23,21,19,21,20,18,100,95,91,,,,4.0,1.0,0.1,4,1,,0.0,8,,-1
2013-7-29,24,22,20,22,21,19,95,92,90,,,,0.1,0.1,0.1,4,1,,0.0,8,Thunderstorm,-1
2013-7-30,24,,22,20,20,20,88,88,88,,,,0.1,0.1,0.1,0,0,,6.0,8,,-1
2013-7-31,25,22,18,22,20,18,96,88,76,,,,10.0,4.7,0.1,4,1,,0.0,8,,-1
