GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2013-9-1,22,21,17,18,16,14,83,78,74,,,,10.0,7.0,4.0,11,4,,1.0,,,-1
2013-9-2,21,18,16,18,15,13,88,79,74,,,,10.0,6.0,4.0,7,5,,10.0,,,-1
2013-9-3,23,19,15,17,14,11,87,72,54,,,,10.0,4.5,0.1,4,4,,6.0,8,,-1
2013-9-4,22,18,14,18,14,11,86,76,68,,,,10.0,6.0,4.0,4,4,,0.0,,,-1
2013-9-5,21,18,15,18,14,12,87,80,74,,,,10.0,7.0,4.0,7,3,,29.0,,,-1
2013-9-6,22,20,17,18,17,15,96,90,85,,,,4.0,1.4,0.1,4,2,,0.0,8,,-1
2013-9-7,20,19,17,19,17,15,96,92,85,,,,4.0,1.4,0.1,4,3,,1.0,8,,-1
2013-9-8,19,18,16,17,16,14,96,91,86,,,,4.0,1.0,0.1,4,1,,2.0,8,,-1
2013-9-9,18,16,14,16,15,14,100,93,86,,,,10.0,4.5,0.1,4,1,,35.0,8,Rain-Hail-Thunderstorm,-1
2013-9-10,19,17,15,17,15,14,93,91,89,,,,10.0,6.0,4.0,4,1,,5.0,8,,-1
2013-9-11,20,17,16,18,16,15,96,93,90,,,,4.0,1.4,0.1,0,0,,0.0,8,,-1
2013-9-12,18,17,15,15,14,11,92,83,68,,,,10.0,5.5,4.0,7,3,,21.0,8,,-1
2013-9-13,20,16,13,17,13,10,88,82,68,,,,10.0,3.6,0.1,26,6,,45.0,8,Thunderstorm,-1
2013-9-14,22,18,14,17,15,11,83,75,63,,,,10.0,7.0,4.0,4,3,,0.0,,,-1
2013-9-15,17,16,16,8,7,6,48,44,39,,,,10.0,10.0,10.0,18,15,,1.0,,,-1
2013-9-16,22,18,15,13,11,8,69,57,43,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2013-9-17,23,19,15,16,12,8,73,58,49,,,,10.0,7.0,4.0,4,2,,0.0,,,-1
2013-9-18,23,20,16,15,10,5,63,46,38,,,,10.0,7.0,4.0,4,4,,0.0,,,-1
2013-9-19,25,22,18,24,13,6,56,44,34,1014,1014.00,1014,10.0,5.7,0.4,24,6,,0.0,,,-1
2013-9-20,25,20,16,15,11,5,69,56,35,,,,10.0,6.0,4.0,4,3,,0.0,,,-1
2013-9-21,21,20,17,18,16,14,83,79,74,,,,4.0,1.4,0.1,7,1,,0.0,8,,-1
2013-9-22,24,20,16,18,16,14,88,79,62,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2013-9-23,22,19,16,18,16,12,92,79,59,,,,10.0,4.5,0.1,4,1,,0.0,8,,-1
2013-9-24,24,20,16,16,14,12,80,67,54,,,,10.0,7.0,4.0,4,1,,0.0,,,-1
2013-9-25,24,20,16,17,15,13,80,71,58,,,,10.0,7.0,4.0,7,3,,0.0,,,-1
2013-9-26,22,19,16,19,16,13,94,84,74,,,,4.0,2.0,0.1,7,4,,0.0,8,,-1
2013-9-27,21,18,16,18,17,14,90,86,83,,,,4.0,3.0,0.1,7,3,,0.0,8,,-1
2013-9-28,18,17,16,16,13,9,90,74,53,,,,4.0,2.7,0.1,7,4,,23.0,8,,-1
2013-9-29,22,18,15,17,14,12,83,79,75,,,,10.0,6.0,4.0,7,5,,0.0,,,-1
2013-9-30,22,18,15,17,14,12,86,77,68,,,,10.0,4.5,0.1,4,1,,20.0,8,,-1
