GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2014-10-1,19,17,15,17,14,12,90,85,74,,,,4.0,2.0,0.1,4,2,,0.0,8,,-1
2014-10-2,21,18,15,17,15,12,86,81,65,,,,10.0,3.0,0.1,4,3,,0.0,8,,-1
2014-10-3,20,17,14,18,16,14,89,82,74,,,,10.0,3.2,0.1,7,2,,0.0,8,,-1
2014-10-4,20,17,14,17,15,13,92,84,73,,,,10.0,4.6,0.1,7,1,,5.0,8,Thunderstorm,-1
2014-10-5,23,18,12,18,13,6,89,70,43,,,,10.0,4.5,0.1,11,5,,0.0,8,,-1
2014-10-6,22,18,13,12,7,5,57,39,27,,,,10.0,8.0,4.0,11,6,,0.0,,,-1
2014-10-7,22,16,10,14,9,5,92,58,39,,,,10.0,7.4,4.0,26,9,,1.0,8,Rain-Thunderstorm,-1
2014-10-8,18,14,10,12,7,4,68,54,45,,,,10.0,7.0,4.0,22,11,,1.0,8,,-1
2014-10-9,21,16,11,14,7,4,69,49,38,,,,10.0,6.6,4.0,4,1,,0.0,,,-1
2014-10-10,21,16,10,10,6,3,55,47,31,,,,10.0,6.6,4.0,7,2,,0.0,,,-1
2014-10-11,21,16,10,9,6,2,62,44,32,,,,10.0,7.0,4.0,11,7,,0.0,,,-1
2014-10-12,22,17,12,9,2,-4,49,27,15,,,,10.0,7.4,4.0,11,7,,0.0,,,-1
2014-10-13,18,14,11,8,3,-3,57,38,21,,,,10.0,7.0,4.0,11,5,,0.0,8,,-1
2014-10-14,12,9,6,7,5,3,93,75,51,,,,4.0,4.0,4.0,11,5,,18.0,8,Rain,-1
2014-10-15,14,10,5,5,4,3,72,56,50,,,,10.0,7.4,4.0,11,5,,0.0,8,,-1
2014-10-16,18,12,6,10,6,3,68,56,43,,,,10.0,7.0,4.0,4,0,,0.0,,,-1
2014-10-17,19,14,8,11,7,3,70,54,29,,,,10.0,7.4,4.0,7,1,,0.0,,,-1
2014-10-18,20,14,9,10,6,0,67,52,27,,,,10.0,6.6,4.0,0,0,,0.0,,,-1
2014-10-19,19,14,10,7,5,2,64,44,29,,,,10.0,7.0,4.0,7,1,,0.0,,,-1
2014-10-20,20,16,11,11,7,4,63,51,37,,,,10.0,7.0,4.0,4,1,,0.0,,,-1
2014-10-21,21,16,12,11,8,3,63,51,31,,,,10.0,7.0,4.0,4,2,,0.0,,,-1
2014-10-22,21,16,11,12,7,3,63,48,35,,,,10.0,6.6,4.0,4,2,,0.0,,,-1
2014-10-23,20,16,11,11,7,3,74,53,39,,,,10.0,7.0,4.0,4,3,,0.0,,,-1
2014-10-24,16,12,7,9,7,4,74,61,47,,,,10.0,7.0,4.0,7,5,,8.0,8,Rain,-1
2014-10-25,19,14,8,10,4,-1,62,42,25,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2014-10-26,18,14,10,12,8,2,77,59,41,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2014-10-27,19,14,10,12,9,6,84,68,55,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2014-10-28,15,12,9,10,7,4,84,68,62,,,,10.0,6.6,4.0,18,4,,0.0,,Rain,-1
2014-10-29,17,12,6,9,5,2,70,58,43,,,,10.0,7.4,4.0,7,3,,0.0,,,-1
2014-10-30,16,12,7,9,5,3,69,56,39,,,,10.0,7.0,4.0,7,3,,0.0,,,-1
2014-10-31,18,13,8,6,2,-3,56,38,21,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
