GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-12-1,16,12,7,6,-1,-7,57,32,16,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2015-12-2,17,12,7,5,-4,-11,41,23,9,,,,10.0,7.4,4.0,7,4,,0.0,,,-1
2015-12-3,19,14,8,3,-6,-13,28,14,7,,,,10.0,7.0,4.0,11,6,,0.0,,,-1
2015-12-4,21,16,10,4,-5,-10,34,17,10,,,,10.0,6.6,4.0,4,2,,0.0,,,-1
2015-12-5,19,14,10,8,-1,-6,44,26,16,,,,10.0,7.0,4.0,4,1,,0.0,,,-1
2015-12-6,21,14,8,4,2,-1,41,33,24,,,,10.0,7.0,4.0,4,0,,0.0,,,-1
2015-12-7,15,11,7,8,4,0,70,55,31,,,,10.0,7.4,4.0,0,0,,0.0,,,-1
2015-12-8,17,12,6,4,2,-1,55,40,21,,,,10.0,8.0,4.0,7,1,,0.0,8,,-1
2015-12-9,12,9,6,4,2,-2,69,56,43,,,,10.0,7.0,4.0,7,3,,0.0,8,,-1
2015-12-10,5,4,2,3,2,-2,100,82,55,,,,10.0,2.3,0.1,11,6,,26.0,8,Rain,-1
2015-12-11,5,2,-2,1,-1,-4,99,71,47,,,,10.0,6.5,0.1,4,4,,10.0,8,Snow,-1
2015-12-12,11,4,-2,-0,-2,-4,62,45,31,,,,10.0,7.0,4.0,11,5,,0.0,,,-1
2015-12-13,9,4,-2,0,-3,-5,55,46,37,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2015-12-14,10,4,-3,-1,-4,-6,53,41,25,,,,10.0,7.0,4.0,13,5,,0.0,,,-1
2015-12-15,11,4,-3,-3,-11,-20,57,24,5,,,,10.0,7.0,4.0,13,8,,0.0,,,-1
2015-12-16,11,4,-4,-2,-7,-12,42,29,15,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2015-12-17,9,3,-3,-1,-6,-14,53,35,19,,,,10.0,8.0,4.0,7,6,,0.0,,,-1
2015-12-18,10,4,-1,-1,-7,-11,38,30,19,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2015-12-19,10,6,1,-2,-7,-14,55,31,14,,,,10.0,7.4,4.0,7,4,,0.0,,,-1
2015-12-20,9,4,0,-3,-6,-7,47,37,24,,,,10.0,8.5,4.0,7,2,,0.0,,,-1
2015-12-21,10,7,3,-1,-4,-13,71,45,17,,,,10.0,7.0,4.0,7,5,,0.0,8,,-1
2015-12-22,7,2,-2,-0,-2,-4,76,62,35,,,,10.0,7.1,2.0,4,3,,0.0,,,-1
2015-12-23,4,0,-3,-2,-4,-5,96,72,55,,,,10.0,6.3,2.0,11,2,,1.0,8,,-1
2015-12-24,7,2,-4,-1,-6,-13,88,50,13,,,,10.0,6.6,4.0,15,5,,0.0,,,-1
2015-12-25,10,4,-3,4,-4,-6,76,46,32,,,,10.0,7.0,4.0,4,1,,0.0,,,-1
2015-12-26,12,6,-1,0,-3,-6,47,36,29,,,,10.0,7.0,4.0,4,3,,0.0,8,,-1
2015-12-27,14,8,3,2,-1,-6,54,38,22,,,,10.0,6.6,4.0,6,2,,0.0,8,,-1
2015-12-28,15,8,0,3,0,-5,51,39,4,,,,10.0,7.0,4.0,4,3,,0.0,,,-1
2015-12-29,15,8,0,2,-1,-5,49,40,28,,,,10.0,6.6,4.0,7,3,,0.0,,,-1
2015-12-30,12,6,-1,2,-5,-11,43,29,15,,,,10.0,6.3,4.0,7,2,,0.0,,,-1
2015-12-31,12,6,-1,-5,-10,-18,25,16,5,,,,10.0,7.0,4.0,15,6,,0.0,,,-1
