PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2005-1-1,13,,5,0,0,0,63,63,63,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2005-1-2,,,,,,,,,,,,,,,,,,,,,,
2005-1-3,,,,,,,,,,,,,,,,,,,,,,
2005-1-4,,,,,,,,,,,,,,,,,,,,,,
2005-1-5,,,,,,,,,,,,,,,,,,,,,,
2005-1-6,,,,,,,,,,,,,,,,,,,,,,
2005-1-7,,,,,,,,,,,,,,,,,,,,,,
2005-1-8,,,,,,,,,,,,,,,,,,,,,,
2005-1-9,,,,,,,,,,,,,,,,,,,,,,
2005-1-10,,,,,,,,,,,,,,,,,,,,,,
2005-1-11,,,,,,,,,,,,,,,,,,,,,,
2005-1-12,,,,,,,,,,,,,,,,,,,,,,
2005-1-13,,,,,,,,,,,,,,,,,,,,,,
2005-1-14,,,,,,,,,,,,,,,,,,,,,,
2005-1-15,,,,,,,,,,,,,,,,,,,,,,
2005-1-16,,,,,,,,,,,,,,,,,,,,,,
2005-1-17,,,,,,,,,,,,,,,,,,,,,,
2005-1-18,,,,,,,,,,,,,,,,,,,,,,
2005-1-19,,,,,,,,,,,,,,,,,,,,,,
2005-1-20,,,,,,,,,,,,,,,,,,,,,,
2005-1-21,,,,,,,,,,,,,,,,,,,,,,
2005-1-22,,,,,,,,,,,,,,,,,,,,,,
2005-1-23,,,,,,,,,,,,,,,,,,,,,,
2005-1-24,,,,,,,,,,,,,,,,,,,,,,
2005-1-25,,,,,,,,,,,,,,,,,,,,,,
2005-1-26,,,,,,,,,,,,,,,,,,,,,,
2005-1-27,,,,,,,,,,,,,,,,,,,,,,
2005-1-28,,,,,,,,,,,,,,,,,,,,,,
2005-1-29,,,,,,,,,,,,,,,,,,,,,,
2005-1-30,,,,,,,,,,,,,,,,,,,,,,
2005-1-31,,,,,,,,,,,,,,,,,,,,,,
