PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2007-5-1,26,23,20,11,9,5,33,29,27,,,,10.0,8.0,4.0,6,6,,0.0,,,-1
2007-5-2,26,22,18,16,14,11,54,52,48,,,,10.0,8.0,4.0,9,4,,0.0,,,-1
2007-5-3,23,20,16,15,14,13,75,61,54,,,,4.0,4.0,4.0,9,3,,0.0,,,-1
2007-5-4,24,15,15,14,11,8,52,49,46,,,,10.0,8.0,4.0,6,4,,0.0,8,,-1
2007-5-5,25,22,18,11,10,9,45,38,31,,,,10.0,8.0,4.0,6,1,,0.0,,,-1
2007-5-6,26,23,20,13,11,8,42,37,32,,,,10.0,8.0,4.0,6,3,,0.0,,,-1
2007-5-7,26,23,20,14,13,10,43,40,35,,,,10.0,8.0,4.0,6,3,,0.0,,,-1
2007-5-8,24,12,12,13,12,11,90,64,37,,,,10.0,7.0,4.0,6,6,,5.0,8,Rain,-1
2007-5-9,22,19,16,14,12,8,50,49,48,,,,10.0,8.0,4.0,18,11,,0.0,,,-1
2007-5-10,23,17,17,10,8,7,40,36,32,,,,10.0,7.0,4.0,6,4,,0.0,,,-1
2007-5-11,23,23,20,10,10,10,41,36,32,,,,10.0,10.0,10.0,9,6,,0.0,,,-1
2007-5-12,22,,22,16,16,16,60,60,60,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2007-5-13,22,16,16,14,12,11,58,54,51,,,,10.0,7.0,4.0,0,0,,0.0,,,-1
2007-5-14,26,22,18,16,15,14,69,54,45,,,,10.0,8.0,4.0,6,2,,0.0,,,-1
2007-5-15,26,26,26,16,16,16,48,46,45,,,,4.0,4.0,4.0,6,4,,0.0,,,-1
2007-5-16,22,,22,16,16,16,59,59,59,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2007-5-17,26,26,24,17,16,16,54,52,51,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2007-5-18,27,27,24,16,16,16,54,48,42,,,,10.0,10.0,10.0,13,8,,0.0,,,-1
2007-5-19,24,20,17,15,13,11,58,53,50,,,,10.0,10.0,10.0,6,1,,30.0,,,-1
2007-5-20,23,19,16,14,13,10,58,54,51,,,,10.0,8.0,4.0,6,3,,7.0,,,-1
2007-5-21,24,22,19,9,6,1,42,28,14,,,,10.0,10.0,10.0,9,2,,0.0,,,-1
2007-5-22,21,18,16,7,3,-1,31,25,18,,,,10.0,10.0,10.0,22,14,,0.3,,Thunderstorm,-1
2007-5-23,21,20,18,6,5,4,27,27,27,,,,10.0,10.0,10.0,9,7,,0.0,,,-1
2007-5-24,22,18,15,7,5,3,37,27,18,,,,10.0,10.0,10.0,6,3,,0.0,,,-1
2007-5-25,17,14,14,5,4,2,41,36,29,,,,10.0,10.0,10.0,32,18,,0.7,,,-1
2007-5-26,20,16,15,7,5,2,39,33,29,,,,10.0,10.0,10.0,9,2,,0.0,8,,-1
2007-5-27,18,16,14,9,7,5,52,48,45,,,,10.0,6.0,4.0,17,10,,0.0,8,,-1
2007-5-28,23,12,12,8,8,7,70,67,64,,,,24.0,12.7,4.0,178,53,,1.0,8,Rain-Thunderstorm,-1
2007-5-29,21,21,16,10,10,9,49,44,38,,,,10.0,8.0,4.0,6,2,,0.0,,,-1
2007-5-30,24,20,16,11,9,7,45,40,33,,,,10.0,8.0,4.0,9,4,,1.0,,Rain-Thunderstorm,-1
2007-5-31,24,20,16,10,8,3,36,32,30,,,,10.0,8.0,4.0,4,3,,0.0,,,-1
