PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2008-3-1,16,16,15,8,5,2,52,40,27,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2008-3-2,15,15,14,5,2,0,45,35,25,,,,10.0,10.0,10.0,9,8,,0.0,,,-1
2008-3-3,14,14,14,1,0,-1,28,27,26,,,,10.0,10.0,10.0,6,2,,0.0,,,-1
2008-3-4,11,10,10,3,2,2,51,48,44,,,,10.0,10.0,10.0,6,2,,6.0,,,-1
2008-3-5,16,15,15,5,2,-1,38,30,21,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2008-3-6,16,,16,-1,-1,-1,19,19,19,,,,10.0,10.0,10.0,9,9,,0.0,,,-1
2008-3-7,13,,10,3,3,3,53,53,53,,,,10.0,10.0,10.0,13,13,,0.0,8,,-1
2008-3-8,17,14,14,4,2,-0,37,30,24,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2008-3-9,15,15,13,4,3,2,45,37,29,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2008-3-10,16,15,13,4,4,3,39,38,37,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2008-3-11,16,,16,0,0,0,23,23,23,,,,10.0,10.0,10.0,6,6,,0.0,,,-1
2008-3-12,17,17,15,0,0,0,25,22,20,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2008-3-13,18,,16,0,0,0,23,23,23,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2008-3-14,16,,16,6,6,6,39,39,39,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2008-3-15,19,,17,1,1,1,21,21,21,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2008-3-16,20,20,18,4,4,3,29,26,23,,,,10.0,10.0,10.0,9,8,,0.0,,,-1
2008-3-17,16,,16,2,2,2,27,27,27,,,,10.0,10.0,10.0,6,6,,0.0,,,-1
2008-3-18,17,17,10,1,0,-1,34,28,21,,,,10.0,10.0,10.0,9,7,,0.0,,,-1
2008-3-19,18,14,14,-1,-6,-11,22,14,7,,,,10.0,10.0,10.0,6,2,,0.0,,,-1
2008-3-20,17,16,14,4,2,-0,37,30,22,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2008-3-21,17,16,12,5,4,2,52,40,27,,,,10.0,10.0,10.0,6,6,,1.0,,,-1
2008-3-22,18,16,16,3,0,-2,27,22,17,,,,10.0,10.0,10.0,6,6,,0.0,,,-1
2008-3-23,19,18,18,3,-2,-6,25,18,10,,,,10.0,10.0,10.0,6,6,,0.0,,,-1
2008-3-24,20,20,18,2,1,-0,20,20,19,,,,10.0,10.0,10.0,6,6,,0.0,,,-1
2008-3-25,18,16,12,3,2,1,41,34,26,,,,10.0,7.0,4.0,13,8,,0.0,8,,-1
2008-3-26,16,,16,3,3,3,31,31,31,,,,10.0,10.0,10.0,6,6,,0.0,,,-1
2008-3-27,19,18,16,7,6,5,37,36,35,,,,10.0,10.0,10.0,6,6,,0.0,,Thunderstorm,-1
2008-3-28,16,16,16,8,8,8,52,50,48,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2008-3-29,16,16,16,6,6,6,43,41,39,,,,10.0,10.0,10.0,6,2,,0.0,,,-1
2008-3-30,32,16,16,14,9,4,31,28,25,1004,1004.00,1004,10.0,7.0,4.0,37,19,,0.0,,,-1
2008-3-31,,,,,,,,,,,,,,,,,,,,,,
