PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2008-10-1,24,20,17,16,10,6,54,45,36,,,,10.0,7.0,4.0,6,2,,0.0,,,-1
2008-10-2,25,20,16,18,11,3,77,53,31,,,,10.0,5.5,4.0,6,5,,0.0,,,-1
2008-10-3,21,18,16,19,17,13,86,82,75,,,,4.0,4.0,4.0,6,5,,0.0,,,-1
2008-10-4,22,19,16,18,16,13,83,76,68,,,,4.0,4.0,4.0,6,6,,0.0,,,-1
2008-10-5,22,19,16,16,15,14,85,76,63,,,,10.0,5.5,4.0,6,6,,0.0,8,Rain,-1
2008-10-6,22,19,16,15,12,4,80,59,34,,,,10.0,7.0,4.0,13,4,,0.0,,,-1
2008-10-7,16,13,10,12,10,6,84,64,43,,,,10.0,7.0,4.0,28,9,,1.0,8,Rain,-1
2008-10-8,19,16,13,9,7,4,53,46,40,,,,10.0,7.0,4.0,4,2,,0.0,,,-1
2008-10-9,20,16,12,10,8,7,70,56,38,,,,10.0,7.0,4.0,0,0,,0.0,,,-1
2008-10-10,22,17,12,12,8,6,67,48,23,,,,10.0,7.0,4.0,6,2,,0.0,,,-1
2008-10-11,22,18,15,11,6,3,49,35,19,,,,10.0,5.5,4.0,9,6,,0.0,,,-1
2008-10-12,25,20,16,13,8,3,54,40,28,,,,10.0,7.0,4.0,9,6,,0.0,,,-1
2008-10-13,23,18,14,14,10,7,62,52,43,,,,10.0,7.0,4.0,6,1,,0.0,,,-1
2008-10-14,21,17,14,14,11,6,86,61,43,,,,4.0,4.0,4.0,6,4,,0.4,8,Hail-Thunderstorm,-1
2008-10-15,10,9,8,7,5,4,85,71,56,,,,10.0,5.0,2.0,13,9,,0.0,8,,-1
2008-10-16,18,14,10,11,8,5,80,64,49,,,,10.0,7.0,4.0,6,1,,0.0,,,-1
2008-10-17,18,14,11,12,8,4,69,55,44,,,,10.0,7.0,4.0,6,3,,0.0,,,-1
2008-10-18,20,16,13,11,7,2,58,44,32,,,,10.0,7.0,4.0,6,4,,0.0,,,-1
2008-10-19,20,16,13,10,6,2,53,42,29,,,,10.0,7.0,4.0,6,3,,0.0,,,-1
2008-10-20,20,16,12,12,8,3,55,49,39,,,,10.0,7.0,4.0,6,3,,0.0,,,-1
2008-10-21,20,16,12,12,9,6,63,56,45,,,,10.0,7.0,4.0,0,0,,0.0,,,-1
2008-10-22,20,16,12,12,9,6,64,57,49,,,,10.0,7.0,4.0,6,4,,0.0,,,-1
2008-10-23,18,15,12,8,5,1,62,44,20,,,,10.0,7.0,4.0,6,5,,0.0,,,-1
2008-10-24,20,16,12,8,2,-3,52,32,19,,,,10.0,7.0,4.0,9,6,,0.0,,,-1
2008-10-25,18,12,12,6,1,-3,35,29,21,,,,10.0,6.0,4.0,6,6,,0.0,,,-1
2008-10-26,18,15,12,9,3,-2,62,37,26,,,,10.0,7.0,4.0,9,6,,0.0,,,-1
2008-10-27,21,16,12,9,4,1,49,36,22,,,,10.0,7.0,4.0,6,4,,0.0,,,-1
2008-10-28,16,15,14,8,5,3,52,41,34,,,,10.0,8.0,4.0,6,1,,0.0,,,-1
2008-10-29,17,14,11,7,2,-5,52,34,18,,,,10.0,7.0,4.0,6,1,,0.0,,,-1
2008-10-30,18,14,10,8,5,2,70,47,29,,,,10.0,7.0,4.0,9,5,,0.0,8,,-1
2008-10-31,16,14,12,4,1,-2,38,30,18,,,,10.0,7.0,4.0,9,6,,0.0,,,-1
