PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2008-9-1,22,18,15,17,14,11,83,72,62,,,,10.0,7.0,4.0,6,2,,0.0,,,-1
2008-9-2,21,18,16,18,16,14,89,81,68,,,,10.0,7.0,4.0,6,4,,7.0,,Rain,-1
2008-9-3,21,18,17,19,17,15,88,85,83,,,,4.0,2.1,0.2,6,4,,0.0,8,Fog,-1
2008-9-4,22,16,15,17,15,11,90,80,68,,,,10.0,4.1,0.5,13,2,,4.0,8,Rain-Thunderstorm,-1
2008-9-5,20,15,14,15,12,7,87,77,51,,,,10.0,5.5,4.0,13,3,,12.0,8,Rain-Thunderstorm,-1
2008-9-6,18,14,13,10,8,7,74,59,51,,,,10.0,6.0,4.0,0,0,,0.4,8,Rain,-1
2008-9-7,18,14,12,11,9,7,68,63,58,,,,10.0,7.0,4.0,24,14,,0.0,8,Rain,-1
2008-9-8,21,18,14,13,9,5,67,50,38,,,,10.0,7.0,4.0,13,8,,1.0,,Thunderstorm,-1
2008-9-9,24,20,15,14,9,4,52,42,33,,,,10.0,7.0,4.0,17,10,,0.0,,,-1
2008-9-10,24,20,16,17,12,7,63,49,43,,,,10.0,7.0,4.0,9,6,,0.0,,,-1
2008-9-11,25,20,16,14,9,2,51,39,24,,,,10.0,7.0,4.0,13,10,,0.0,,,-1
2008-9-12,24,20,16,13,8,0,46,37,18,,,,10.0,7.0,4.0,6,4,,0.0,,,-1
2008-9-13,24,17,16,14,10,7,58,49,39,,,,10.0,6.0,4.0,6,4,,0.0,,,-1
2008-9-14,24,24,16,25,15,9,58,54,48,1004,1004.00,1004,10.0,7.0,4.0,9,6,,0.0,,,-1
2008-9-15,24,16,16,16,13,11,64,62,59,,,,10.0,6.0,4.0,6,1,,0.0,,,-1
2008-9-16,21,18,16,17,15,14,80,76,72,,,,10.0,5.5,4.0,6,1,,0.2,,,-1
2008-9-17,18,14,13,10,9,8,74,55,43,,,,10.0,7.0,4.0,30,16,,0.0,8,,-1
2008-9-18,22,18,14,14,11,8,63,53,44,,,,10.0,7.0,4.0,6,1,,0.0,,,-1
2008-9-19,22,19,16,13,12,10,69,58,35,,,,10.0,7.0,4.0,9,5,,0.0,8,,-1
2008-9-20,20,17,14,16,12,6,86,67,43,,,,4.0,2.1,0.1,6,3,,0.0,8,,-1
2008-9-21,18,15,14,15,14,12,87,83,78,,,,10.0,4.5,0.1,6,4,,0.0,,,-1
2008-9-22,18,14,13,12,10,7,95,71,47,,,,10.0,4.5,0.1,9,4,,0.9,8,Rain-Thunderstorm,-1
2008-9-23,22,17,12,12,8,5,57,45,32,,,,10.0,7.0,4.0,9,6,,0.0,,,-1
2008-9-24,21,21,18,14,14,13,67,58,50,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2008-9-25,23,20,16,13,9,4,54,44,34,,,,10.0,7.0,4.0,9,6,,0.0,,,-1
2008-9-26,24,19,14,12,9,4,68,47,30,,,,10.0,7.0,4.0,13,9,,0.0,,,-1
2008-9-27,24,18,14,14,11,7,74,59,42,,,,10.0,5.5,4.0,9,6,,0.0,,,-1
2008-9-28,24,20,15,16,13,10,74,63,39,,,,10.0,7.0,4.0,6,4,,0.0,,,-1
2008-9-29,24,20,16,13,10,5,68,46,31,,,,10.0,7.0,4.0,9,7,,0.0,,,-1
2008-9-30,24,20,16,13,9,4,50,41,31,,,,10.0,7.0,4.0,6,5,,0.0,,,-1
