PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2009-4-1,18,16,13,4,2,-5,45,32,17,,,,10.0,7.0,4.0,13,6,,0.0,8,,-1
2009-4-2,13,10,8,10,7,5,77,71,63,,,,10.0,7.0,4.0,9,7,,7.0,8,,-1
2009-4-3,14,12,10,8,6,-1,77,59,33,,,,10.0,7.0,4.0,9,5,,0.0,,,-1
2009-4-4,16,13,10,8,3,-1,55,37,23,,,,10.0,7.0,4.0,13,7,,0.0,,,-1
2009-4-5,16,14,12,4,3,-1,47,37,25,,,,10.0,7.0,4.0,6,2,,0.0,8,,-1
2009-4-6,10,8,4,5,4,3,91,77,56,,,,10.0,3.3,0.5,9,4,,42.0,8,Rain-Thunderstorm,-1
2009-4-7,10,7,4,5,4,3,91,78,61,,,,10.0,3.6,0.1,6,3,,12.0,8,Rain,-1
2009-4-8,8,7,5,5,5,4,91,86,81,,,,10.0,4.5,0.1,24,8,,28.0,8,Rain,-1
2009-4-9,8,6,4,6,5,4,100,87,69,,,,10.0,4.8,1.0,6,1,,20.0,8,,-1
2009-4-10,16,11,6,9,6,3,76,61,38,,,,10.0,7.0,4.0,9,5,,0.0,,,-1
2009-4-11,20,14,7,11,6,3,65,52,27,,,,10.0,7.0,4.0,9,2,,0.0,,,-1
2009-4-12,18,13,8,10,6,2,54,48,37,,,,10.0,7.0,4.0,6,1,,0.0,,,-1
2009-4-13,20,17,14,9,6,2,50,41,31,,,,10.0,7.0,4.0,4,1,,0.0,,,-1
2009-4-14,18,16,11,10,7,4,77,51,31,,,,10.0,7.0,4.0,13,8,,0.0,8,,-1
2009-4-15,15,12,9,7,5,3,77,59,41,,,,10.0,7.0,4.0,9,4,,7.0,8,,-1
2009-4-16,16,13,10,8,4,3,52,44,31,,,,10.0,7.0,4.0,13,8,,0.0,8,,-1
2009-4-17,19,12,12,5,4,2,44,36,29,,,,10.0,6.0,4.0,0,0,,0.0,,,-1
2009-4-18,20,17,14,7,3,-0,37,29,20,,,,10.0,7.0,4.0,6,6,,0.0,,,-1
2009-4-19,21,19,17,6,1,-3,25,18,14,,,,10.0,7.0,4.0,13,10,,0.0,,,-1
2009-4-20,21,18,15,7,4,-3,42,29,14,,,,10.0,7.0,4.0,9,8,,0.0,8,Rain-Thunderstorm,-1
2009-4-21,16,11,10,9,6,4,84,65,47,,,,10.0,6.0,4.0,9,4,,7.0,8,Rain,-1
2009-4-22,16,12,9,2,0,-1,42,33,27,,,,10.0,7.0,4.0,6,1,,0.0,,,-1
2009-4-23,18,14,10,-1,-3,-5,33,22,14,,,,10.0,7.0,4.0,6,2,,0.0,,,-1
2009-4-24,18,14,11,3,-1,-3,28,24,19,,,,10.0,7.0,4.0,9,6,,0.0,,,-1
2009-4-25,18,12,12,1,-1,-2,26,24,20,,,,10.0,6.0,4.0,6,6,,0.0,,,-1
2009-4-26,22,18,13,2,-1,-5,18,17,17,,,,10.0,7.0,4.0,6,4,,0.0,,,-1
2009-4-27,22,19,16,8,2,-3,34,22,15,,,,10.0,7.0,4.0,9,7,,0.0,,,-1
2009-4-28,23,20,16,9,6,3,37,31,26,,,,10.0,8.0,4.0,13,8,,0.0,,,-1
2009-4-29,23,20,16,10,4,-1,32,26,18,,,,10.0,7.0,4.0,9,6,,0.0,,,-1
2009-4-30,23,19,15,4,3,2,33,24,15,,,,10.0,7.0,4.0,6,1,,0.0,,,-1
