PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2009-12-1,17,13,9,8,5,3,55,52,51,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2009-12-2,17,14,10,5,2,-2,52,41,18,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2009-12-3,13,12,8,10,2,-4,100,51,29,,,,10.0,7.0,4.0,4,1,,0.0,,,-1
2009-12-4,14,10,6,-2,-3,-6,42,29,19,,,,10.0,7.0,4.0,0,0,,0.0,,,-1
2009-12-5,6,5,4,3,0,-4,91,69,40,,,,10.0,5.5,4.0,18,6,,4.0,8,Snow,-1
2009-12-6,6,4,3,2,-0,-2,81,59,45,,,,10.0,7.0,4.0,11,10,,1.0,8,,-1
2009-12-7,12,8,4,2,-3,-9,55,39,19,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2009-12-8,13,10,7,-6,-11,-17,25,14,7,,,,10.0,7.0,4.0,7,6,,0.0,,,-1
2009-12-9,9,8,1,-0,-3,-8,87,49,20,,,,10.0,7.0,4.0,9,8,,2.0,8,,-1
2009-12-10,8,4,1,2,0,-1,87,67,40,,,,10.0,7.0,4.0,9,7,,1.0,8,,-1
2009-12-11,10,6,2,2,-0,-2,76,57,33,,,,10.0,7.0,4.0,9,6,,0.0,,,-1
2009-12-12,8,5,2,-2,-3,-4,66,45,31,,,,10.0,5.5,4.0,9,6,,0.0,,,-1
2009-12-13,13,8,3,3,0,-2,61,50,27,,,,10.0,7.0,4.0,6,3,,0.0,,,-1
2009-12-14,10,8,6,-1,-1,-2,43,42,41,,,,10.0,4.5,0.2,176,45,,0.0,,,-1
2009-12-15,9,8,5,2,-0,-3,64,54,40,,,,10.0,7.0,4.0,7,5,,1.0,8,,-1
2009-12-16,11,8,5,1,-2,-4,51,46,40,,,,10.0,6.0,4.0,9,6,,0.0,,,-1
2009-12-17,11,8,5,0,-2,-5,50,40,30,,,,10.0,7.0,4.0,9,6,,0.0,,,-1
2009-12-18,12,8,5,-0,-4,-8,44,31,18,,,,10.0,7.0,4.0,9,2,,0.0,,,-1
2009-12-19,14,10,5,1,-2,-5,40,33,26,,,,10.0,5.5,4.0,0,0,,0.0,8,,-1
2009-12-20,8,4,0,3,-2,-5,89,60,30,,,,10.0,7.0,4.0,7,5,,0.0,8,,-1
2009-12-21,10,9,6,2,0,-1,64,52,41,,,,10.0,10.0,10.0,9,8,,0.0,,,-1
2009-12-22,12,8,3,0,-1,-2,62,49,31,,,,10.0,7.0,4.0,6,5,,0.0,,,-1
2009-12-23,9,6,3,-2,-3,-4,61,44,29,,,,10.0,7.0,4.0,6,5,,0.0,,,-1
2009-12-24,11,6,2,-3,-6,-10,57,30,17,,,,10.0,7.0,4.0,11,8,,0.0,,,-1
2009-12-25,13,10,6,-1,-4,-8,41,30,23,,,,10.0,7.0,4.0,7,6,,0.0,,,-1
2009-12-26,13,10,6,2,-5,-8,34,27,20,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2009-12-27,9,8,5,-4,-7,-10,31,26,21,,,,4.0,4.0,4.0,0,0,,0.0,,,-1
2009-12-28,12,8,4,-4,-8,-12,31,23,18,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2009-12-29,12,8,5,-3,-7,-10,35,24,17,,,,10.0,7.0,4.0,7,3,,0.0,,,-1
2009-12-30,13,9,5,-5,-8,-11,23,19,14,,,,10.0,7.0,4.0,11,6,,0.0,,,-1
2009-12-31,13,10,6,-5,-9,-13,26,17,13,,,,10.0,7.0,4.0,11,4,,0.0,,,-1
