PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2009-6-1,22,18,15,13,9,6,47,43,39,,,,4.0,4.0,4.0,6,3,,5.0,,,-1
2009-6-2,25,20,15,11,7,4,42,36,33,,,,10.0,7.0,4.0,13,10,,0.0,,Rain,-1
2009-6-3,26,22,18,8,4,2,24,20,13,,,,10.0,7.0,4.0,6,3,,0.0,,,-1
2009-6-4,28,24,20,6,2,-4,20,15,9,,,,10.0,7.0,4.0,9,6,,0.0,,,-1
2009-6-5,22,20,18,7,3,-3,31,23,10,,,,10.0,7.0,4.0,13,6,,0.0,8,Thunderstorm,-1
2009-6-6,18,14,9,9,6,4,100,51,28,,,,10.0,7.0,4.0,9,9,,13.0,8,Rain,-1
2009-6-7,22,18,14,8,3,-1,36,25,15,,,,10.0,7.0,4.0,9,6,,0.0,,,-1
2009-6-8,17,16,15,5,2,-3,38,29,18,,,,10.0,7.0,4.0,13,8,,0.0,8,,-1
2009-6-9,25,19,14,4,2,-0,32,22,17,,,,10.0,7.0,4.0,13,10,,0.0,,,-1
2009-6-10,26,21,16,4,3,0,31,22,15,,,,10.0,7.0,4.0,6,1,,0.0,,,-1
2009-6-11,26,22,17,6,2,-1,22,20,17,,,,10.0,8.5,4.0,13,10,,0.0,,,-1
2009-6-12,26,22,18,6,3,-1,25,20,17,,,,10.0,7.0,4.0,13,9,,0.0,,,-1
2009-6-13,26,22,18,9,4,2,28,24,20,,,,10.0,8.5,4.0,13,9,,14.0,,,-1
2009-6-14,16,14,14,6,6,5,50,44,38,,,,4.0,4.0,4.0,37,28,,0.0,8,Rain,-1
2009-6-15,19,,19,13,13,13,58,58,58,,,,10.0,10.0,10.0,0,0,,0.0,8,,-1
2009-6-16,14,,14,7,7,7,51,51,51,,,,4.0,4.0,4.0,22,22,,0.0,8,,-1
2009-6-17,12,,12,7,7,7,64,64,64,,,,4.0,4.0,4.0,4,4,,0.0,,,-1
2009-6-18,22,14,14,10,9,7,57,48,35,,,,10.0,6.0,4.0,6,3,,0.0,,,-1
2009-6-19,23,23,20,8,6,4,29,26,24,,,,10.0,10.0,10.0,6,6,,0.0,,,-1
2009-6-20,24,22,19,8,6,2,26,24,22,,,,10.0,8.0,4.0,13,8,,0.0,,,-1
2009-6-21,25,22,18,7,4,1,25,20,18,,,,10.0,7.0,4.0,6,1,,0.0,,,-1
2009-6-22,26,22,19,7,4,2,22,18,13,,,,10.0,7.0,4.0,6,1,,0.0,,,-1
2009-6-23,28,25,22,9,3,-3,21,15,10,,,,10.0,7.0,4.0,6,4,,0.0,,,-1
2009-6-24,28,24,20,6,3,0,18,15,13,,,,10.0,7.0,4.0,9,6,,0.0,,,-1
2009-6-25,28,25,22,8,5,1,19,17,14,,,,10.0,7.0,4.0,6,4,,0.0,,,-1
2009-6-26,28,25,22,10,7,3,21,19,17,,,,10.0,7.0,4.0,6,4,,0.0,,,-1
2009-6-27,30,26,23,10,7,2,19,17,15,,,,10.0,7.0,4.0,6,2,,0.0,,,-1
2009-6-28,32,28,24,8,4,2,14,12,10,,,,10.0,7.0,4.0,6,2,,0.0,,,-1
2009-6-29,34,27,24,11,7,1,29,19,12,,,,4.0,4.0,4.0,0,0,,1.0,8,Rain-Thunderstorm,-1
2009-6-30,26,20,20,14,13,9,63,52,35,,,,10.0,5.5,4.0,6,1,,0.0,,,-1
