PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2010-8-1,20,18,17,20,18,15,96,92,85,,,,4.0,1.0,0.1,0,0,,0.0,8,,-1
2010-8-2,22,20,17,19,18,16,92,85,78,,,,10.0,4.0,0.1,4,1,,0.0,8,,-1
2010-8-3,20,19,17,17,16,15,96,92,85,,,,4.0,2.0,0.1,4,1,,24.0,8,Rain,-1
2010-8-4,22,19,16,19,18,15,96,90,77,,,,10.0,7.0,4.0,0,0,,0.0,8,,-1
2010-8-5,22,20,18,19,18,17,96,94,91,,,,4.0,1.4,0.2,0,0,,5.0,8,,-1
2010-8-6,18,18,17,18,17,16,100,97,92,,,,4.0,1.0,0.1,4,1,,29.0,8,Rain,-1
2010-8-7,19,18,17,18,17,17,98,95,91,,,,10.0,4.5,0.1,7,6,,2.0,8,Rain,-1
2010-8-8,19,18,17,18,17,15,100,93,85,,,,10.0,4.5,0.1,11,5,,12.0,8,Rain,-1
2010-8-9,21,20,18,19,17,16,96,92,86,,,,4.0,2.0,0.1,0,0,,2.0,8,Rain,-1
2010-8-10,22,20,18,20,17,15,86,83,78,,,,10.0,8.0,4.0,4,1,,38.0,,,-1
2010-8-11,22,20,18,21,19,17,93,90,88,,,,10.0,3.5,0.1,4,2,,0.0,8,,-1
2010-8-12,22,20,18,20,18,16,96,91,82,,,,10.0,3.5,0.1,7,3,,4.0,8,,-1
2010-8-13,20,19,18,19,18,17,100,97,94,,,,10.0,3.5,0.1,0,0,,11.0,8,,-1
2010-8-14,29,24,18,17,14,8,96,68,18,,,,4.0,2.7,0.1,0,0,,18.0,8,,-1
2010-8-15,20,18,17,19,17,15,95,90,85,,,,4.0,2.0,0.1,0,0,,23.0,8,,-1
2010-8-16,20,20,18,20,18,16,94,91,89,,,,4.0,2.7,0.1,0,0,,9.0,8,,-1
2010-8-17,22,20,18,20,18,16,95,92,84,,,,4.0,2.0,0.1,0,0,,19.0,8,Thunderstorm,-1
2010-8-18,23,20,18,21,20,17,96,91,86,,,,4.0,1.0,0.1,4,1,,0.0,8,,-1
2010-8-19,23,21,19,21,20,18,100,93,88,,,,10.0,3.0,0.1,0,0,,1.0,8,,-1
2010-8-20,22,20,18,20,18,16,95,88,82,,,,10.0,3.5,0.1,0,0,,8.0,8,,-1
2010-8-21,22,20,18,21,20,18,96,91,88,,,,0.1,0.1,0.1,0,0,,5.0,8,,-1
2010-8-22,23,20,18,21,19,18,96,84,71,,,,10.0,3.5,0.1,74,11,,0.0,8,,-1
2010-8-23,22,20,18,19,18,16,95,88,82,,,,10.0,6.0,0.1,4,1,,25.0,8,,-1
2010-8-24,22,19,16,16,15,14,92,76,63,,,,10.0,6.0,0.1,7,4,,4.0,8,Rain-Thunderstorm,-1
2010-8-25,20,18,15,15,13,11,74,70,64,,,,10.0,7.0,4.0,7,5,,2.0,8,,-1
2010-8-26,16,15,14,14,13,11,94,78,63,,,,10.0,5.5,4.0,0,0,,17.0,8,Rain,-1
2010-8-27,24,20,16,19,13,8,76,57,39,,,,10.0,7.0,4.0,4,1,,0.0,,,-1
2010-8-28,24,20,17,19,14,13,77,63,40,,,,10.0,7.0,4.0,7,6,,0.0,,,-1
2010-8-29,24,20,17,20,18,14,92,79,67,,,,10.0,4.5,0.1,4,2,,0.0,8,,-1
2010-8-30,22,20,18,20,18,16,90,86,77,,,,10.0,4.8,1.0,0,0,,0.0,,,-1
2010-8-31,22,20,17,20,18,15,90,86,82,,,,4.0,1.0,0.1,0,0,,0.0,8,,-1
