PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2010-7-1,27,22,17,16,13,8,72,51,44,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2010-7-2,24,21,18,15,13,11,59,53,43,,,,10.0,7.0,4.0,74,12,,20.0,,,-1
2010-7-3,26,22,18,18,15,12,57,53,50,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2010-7-4,24,20,15,14,13,12,74,60,39,,,,10.0,7.0,4.0,18,4,,8.0,8,Thunderstorm,-1
2010-7-5,25,22,16,18,15,11,67,60,55,,,,10.0,7.0,4.0,18,10,,35.0,,,-1
2010-7-6,23,20,16,16,14,11,79,67,58,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2010-7-7,23,20,16,19,18,15,89,84,77,,,,10.0,7.0,4.0,11,8,,0.0,,,-1
2010-7-8,27,22,18,20,19,16,90,80,71,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2010-7-9,26,22,19,20,19,18,89,76,63,,,,10.0,8.0,4.0,7,2,,0.0,,,-1
2010-7-10,25,22,20,21,19,17,88,77,71,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2010-7-11,25,20,15,19,16,14,87,69,58,,,,10.0,7.0,4.0,15,10,,26.0,8,Rain-Thunderstorm,-1
2010-7-12,25,22,18,16,14,12,67,59,54,,,,10.0,7.0,4.0,7,5,,2.0,,,-1
2010-7-13,24,20,16,18,16,12,83,75,67,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2010-7-14,24,20,16,16,14,11,63,58,54,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2010-7-15,27,22,16,17,14,9,53,49,43,,,,10.0,7.0,4.0,7,3,,0.0,,,-1
2010-7-16,27,24,21,20,17,11,59,53,42,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2010-7-17,26,24,21,21,19,16,88,72,63,,,,10.0,6.0,0.1,7,5,,0.0,,,-1
2010-7-18,25,23,21,23,21,20,88,85,80,,,,0.0,0.2,0.0,7,2,,0.0,8,,-1
2010-7-19,24,23,20,20,20,19,94,90,86,,,,10.0,4.0,0.1,0,0,,22.0,8,,-1
2010-7-20,23,22,19,18,16,14,88,73,63,,,,10.0,8.0,4.0,0,0,,6.0,,,-1
2010-7-21,17,16,15,15,14,13,93,83,75,,,,10.0,6.0,4.0,7,6,,55.0,8,Rain,-1
2010-7-22,16,15,14,14,14,13,94,85,74,,,,10.0,4.5,0.1,7,5,,18.0,8,Rain,-1
2010-7-23,24,20,16,18,16,14,86,76,62,,,,10.0,7.0,4.0,4,1,,0.0,,,-1
2010-7-24,21,20,18,19,17,15,84,80,72,,,,4.0,4.0,4.0,4,1,,0.0,,,-1
2010-7-25,24,21,18,20,19,16,90,84,71,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2010-7-26,22,20,19,20,19,18,95,90,88,,,,10.0,3.5,0.1,4,2,,5.0,8,,-1
2010-7-27,19,18,17,18,17,17,98,91,89,,,,4.0,2.0,0.1,4,3,,35.0,8,,-1
2010-7-28,17,16,16,17,16,16,99,97,92,,,,4.0,1.0,0.1,74,17,,62.0,8,Rain,-1
2010-7-29,18,18,16,16,16,15,92,92,92,,,,0.1,0.1,0.1,18,9,,170.0,8,Rain,-1
2010-7-30,21,18,15,20,16,14,94,86,78,,,,10.0,3.5,0.1,7,2,,0.0,8,,-1
2010-7-31,21,19,17,20,17,15,94,85,78,,,,10.0,4.5,0.1,4,3,,4.0,8,,-1
