PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2010-6-1,29,23,17,10,6,2,31,25,21,,,,10.0,7.0,4.0,11,5,,0.0,,Thunderstorm,-1
2010-6-2,27,22,16,9,7,3,32,28,24,,,,10.0,7.0,4.0,7,6,,1.0,8,,-1
2010-6-3,25,21,12,11,9,6,91,50,35,,,,10.0,6.5,2.0,22,13,,17.0,8,Thunderstorm,-1
2010-6-4,19,15,11,10,8,7,84,54,37,,,,10.0,6.5,2.0,15,10,,4.0,8,Rain-Thunderstorm,-1
2010-6-5,21,20,16,10,6,3,35,31,23,,,,10.0,8.0,4.0,7,1,,0.0,,,-1
2010-6-6,23,19,15,8,6,3,42,32,27,,,,10.0,7.0,4.0,11,3,,0.0,,,-1
2010-6-7,24,20,12,10,8,4,77,45,33,,,,10.0,7.0,4.0,7,2,,6.0,8,Thunderstorm,-1
2010-6-8,20,16,12,12,7,3,61,48,21,,,,10.0,7.0,4.0,11,7,,0.0,,,-1
2010-6-9,22,18,14,14,9,7,68,53,47,,,,10.0,7.0,4.0,15,5,,3.0,8,,-1
2010-6-10,22,18,15,12,10,6,54,47,42,,,,10.0,4.5,0.2,4,2,,0.0,,,-1
2010-6-11,24,20,16,12,10,7,49,41,36,,,,10.0,7.0,4.0,7,3,,0.0,,,-1
2010-6-12,25,20,16,12,9,6,44,37,33,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2010-6-13,26,20,15,12,8,7,47,38,29,,,,10.0,7.0,4.0,15,7,,0.0,,,-1
2010-6-14,23,20,16,12,10,7,53,47,38,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2010-6-15,21,18,14,12,10,6,72,54,46,,,,10.0,6.5,2.0,7,3,,10.0,8,Rain,-1
2010-6-16,20,16,12,12,10,8,70,61,52,,,,10.0,7.0,4.0,11,6,,3.0,8,,-1
2010-6-17,22,18,15,13,11,9,63,53,46,,,,10.0,7.0,4.0,7,1,,0.4,,Rain,-1
2010-6-18,27,22,17,14,12,9,49,40,35,,,,10.0,7.0,4.0,11,2,,0.0,,,-1
2010-6-19,29,24,20,13,10,7,31,30,30,,,,10.0,8.5,4.0,11,3,,0.0,,,-1
2010-6-20,32,26,23,13,10,8,29,23,17,,,,10.0,10.0,10.0,7,6,,0.0,,,-1
2010-6-21,31,30,23,12,10,7,26,25,24,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2010-6-22,31,27,23,11,9,6,27,23,21,,,,10.0,8.5,4.0,7,3,,0.0,,,-1
2010-6-23,29,26,14,14,13,11,74,52,35,,,,10.0,8.0,4.0,11,2,,41.0,,,-1
2010-6-24,25,22,19,14,12,9,53,43,37,,,,10.0,7.0,4.0,7,6,,0.0,,Thunderstorm,-1
2010-6-25,23,22,18,18,14,9,77,59,44,,,,10.0,4.5,0.0,7,2,,0.0,8,,-1
2010-6-26,26,22,18,16,13,11,57,46,41,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2010-6-27,28,19,15,14,13,12,93,75,57,,,,10.0,7.0,4.0,15,5,,1.0,,,-1
2010-6-28,26,22,17,16,12,8,48,45,41,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2010-6-29,21,20,18,11,9,7,48,45,39,,,,10.0,7.0,4.0,7,3,,5.0,8,,-1
2010-6-30,25,21,17,14,11,8,53,46,39,,,,10.0,7.0,4.0,7,4,,0.0,8,,-1
