PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2010-10-1,23,18,14,14,10,7,63,51,28,,,,10.0,7.0,4.0,4,1,,0.0,,,-1
2010-10-2,23,18,14,14,11,8,63,57,46,,,,10.0,7.0,4.0,4,4,,0.0,,,-1
2010-10-3,23,18,14,16,13,10,78,66,54,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2010-10-4,22,18,14,16,13,9,78,67,59,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2010-10-5,19,16,14,15,12,9,80,70,62,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2010-10-6,20,17,14,14,12,10,72,66,62,,,,10.0,7.0,4.0,4,3,,0.0,,,-1
2010-10-7,21,18,14,15,12,9,80,70,59,,,,10.0,7.0,4.0,7,4,,2.0,,,-1
2010-10-8,19,16,13,14,12,10,78,73,67,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2010-10-9,18,16,13,14,12,10,78,75,74,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2010-10-10,21,16,12,11,10,9,77,66,57,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2010-10-11,20,16,12,12,7,4,70,55,34,,,,10.0,7.0,4.0,7,5,,10.0,8,Rain-Thunderstorm,-1
2010-10-12,22,18,14,13,10,7,69,58,47,,,,10.0,7.0,4.0,15,9,,0.0,,,-1
2010-10-13,23,18,14,13,8,4,67,45,37,,,,10.0,7.0,4.0,11,7,,0.0,,,-1
2010-10-14,23,18,14,14,10,4,67,50,39,,,,10.0,7.0,4.0,4,2,,0.0,,,-1
2010-10-15,25,20,16,10,6,3,41,32,27,,,,10.0,8.5,4.0,7,4,,0.0,,,-1
2010-10-16,24,20,16,13,9,2,67,48,27,,,,10.0,7.0,4.0,7,6,,0.0,,,-1
2010-10-17,21,18,15,15,12,6,80,64,42,,,,10.0,7.0,4.0,0,0,,0.0,,,-1
2010-10-18,19,16,14,16,14,11,92,78,72,,,,10.0,4.8,1.0,0,0,,0.0,,,-1
2010-10-19,20,17,14,14,13,10,81,73,63,,,,4.0,4.0,4.0,6,1,,0.0,,,-1
2010-10-20,19,16,14,15,13,11,86,76,72,,,,4.0,4.0,4.0,0,0,,0.0,,,-1
2010-10-21,19,16,12,15,12,9,80,79,77,,,,4.0,2.5,0.1,4,1,,0.0,8,Thunderstorm,-1
2010-10-22,12,10,7,5,3,0,81,64,47,,,,10.0,5.3,2.0,13,6,,23.0,8,Rain-Thunderstorm,-1
2010-10-23,15,11,7,6,4,3,65,54,37,,,,10.0,7.0,4.0,15,5,,0.0,,,-1
2010-10-24,17,17,13,4,3,2,45,34,24,,,,10.0,10.0,10.0,11,7,,0.0,,,-1
2010-10-25,18,14,9,4,1,-3,49,40,25,,,,10.0,6.0,4.0,7,6,,0.0,,,-1
2010-10-26,18,15,10,5,4,2,49,46,44,,,,10.0,7.0,4.0,4,1,,0.0,,,-1
2010-10-27,18,14,9,7,3,-1,51,39,30,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2010-10-28,19,14,8,6,1,-3,42,34,21,,,,10.0,6.0,4.0,7,6,,0.0,,,-1
2010-10-29,19,16,10,7,6,3,56,48,39,,,,10.0,8.0,4.0,7,5,,0.0,,,-1
2010-10-30,11,10,10,6,5,4,63,57,51,,,,4.0,4.0,4.0,7,6,,0.0,,,-1
2010-10-31,20,16,14,9,5,1,57,38,25,,,,10.0,10.0,10.0,7,6,,0.0,,,-1
