PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-11-1,18,14,10,10,8,6,70,62,54,,,,10.0,7.0,4.0,4,4,,0.0,,,-1
2011-11-2,17,14,10,9,7,3,68,55,44,,,,10.0,7.0,4.0,7,3,,0.0,,,-1
2011-11-3,18,14,11,8,4,2,57,48,40,,,,10.0,8.5,4.0,7,5,,0.0,,,-1
2011-11-4,13,12,10,7,5,3,76,59,45,,,,10.0,7.0,4.0,7,6,,11.0,,,-1
2011-11-5,17,13,9,6,3,-1,69,52,33,,,,10.0,6.0,4.0,7,5,,0.0,,,-1
2011-11-6,18,13,8,-1,-6,-10,40,20,9,,,,10.0,7.0,4.0,20,8,,0.0,,,-1
2011-11-7,19,16,12,2,-3,-9,32,23,11,,,,10.0,6.0,4.0,15,11,,0.0,,,-1
2011-11-8,13,10,8,8,4,-1,70,54,29,,,,10.0,7.0,4.0,15,8,,9.0,8,Rain,-1
2011-11-9,17,14,11,8,6,5,77,56,41,,,,10.0,7.0,4.0,7,6,,0.0,,,-1
2011-11-10,16,14,8,7,7,6,76,56,43,,,,10.0,7.0,4.0,15,2,,2.0,8,,-1
2011-11-11,16,16,11,9,8,7,70,62,53,,,,10.0,7.0,4.0,4,2,,0.0,,,-1
2011-11-12,18,14,10,9,7,6,70,62,49,,,,10.0,7.0,4.0,7,2,,3.0,,,-1
2011-11-13,17,14,10,8,6,4,77,68,56,,,,10.0,6.0,4.0,0,0,,0.0,,,-1
2011-11-14,17,13,10,7,6,4,63,54,43,,,,10.0,8.0,4.0,4,1,,0.0,,,-1
2011-11-15,16,12,8,7,5,3,84,70,55,,,,10.0,6.0,4.0,4,1,,0.0,,,-1
2011-11-16,17,12,9,2,-0,-3,34,32,29,,,,10.0,8.0,4.0,0,0,,0.0,,,-1
2011-11-17,18,14,10,5,1,-1,46,32,24,,,,10.0,7.0,4.0,4,1,,0.0,,,-1
2011-11-18,20,16,11,5,3,0,36,34,29,,,,10.0,7.0,4.0,4,1,,0.0,,,-1
2011-11-19,18,15,12,8,4,-1,62,42,27,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2011-11-20,21,16,12,5,2,0,36,31,27,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2011-11-21,19,16,14,4,2,-0,37,29,24,,,,10.0,8.0,4.0,11,4,,1.0,,,-1
2011-11-22,19,16,11,5,1,-2,45,34,22,,,,10.0,6.0,4.0,7,4,,0.0,,,-1
2011-11-23,18,15,10,9,4,-1,62,44,27,,,,10.0,7.0,4.0,7,3,,0.0,,,-1
2011-11-24,15,13,9,6,4,3,57,51,42,,,,10.0,7.0,4.0,7,6,,0.0,,,-1
2011-11-25,18,13,8,7,3,-1,51,44,37,,,,10.0,7.0,4.0,7,3,,0.0,,,-1
2011-11-26,16,13,8,7,4,3,65,55,47,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2011-11-27,15,12,8,4,3,2,62,51,33,,,,10.0,8.0,4.0,7,4,,0.0,,,-1
2011-11-28,15,10,7,3,2,2,57,46,32,,,,10.0,8.0,4.0,4,2,,0.0,,,-1
2011-11-29,13,13,10,2,-0,-3,44,32,21,,,,10.0,7.0,4.0,4,2,,0.0,,,-1
2011-11-30,24,16,8,2,1,-1,54,28,17,,,,10.0,7.0,4.0,11,3,,0.0,,,-1
