PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2014-9-1,20,16,11,16,13,11,92,77,49,,,,10.0,4.5,0.1,7,1,,57.0,8,,-1
2014-9-2,20,16,12,16,14,13,87,79,73,,,,10.0,7.7,4.0,4,1,,1.0,8,Rain,-1
2014-9-3,16,14,13,15,13,11,95,88,80,,,,10.0,3.7,0.1,17,6,,14.0,8,Rain,-1
2014-9-4,15,13,11,13,12,10,95,90,81,,,,4.0,2.9,1.0,26,15,,66.0,8,Rain,-1
2014-9-5,16,14,12,14,13,11,100,93,86,,,,10.0,3.5,0.1,13,9,,110.0,8,Rain,-1
2014-9-6,22,16,11,17,14,10,92,80,59,,,,10.0,4.1,0.1,4,3,,0.0,8,,-1
2014-9-7,23,18,12,18,16,12,97,77,67,,,,10.0,7.4,4.0,7,3,,0.0,,,-1
2014-9-8,24,18,13,18,14,10,86,70,62,,,,10.0,6.3,4.0,7,4,,9.0,8,Rain-Thunderstorm,-1
2014-9-9,24,18,12,19,14,7,86,68,51,,,,10.0,5.3,0.1,7,4,,0.0,8,,-1
2014-9-10,23,19,15,18,15,9,90,72,49,,,,10.0,4.5,0.1,7,3,,0.0,8,,-1
2014-9-11,23,18,14,18,14,8,95,74,48,,,,10.0,5.5,0.1,18,6,,18.0,8,Hail-Thunderstorm,-1
2014-9-12,21,16,11,16,12,8,83,64,54,,,,10.0,7.0,4.0,7,3,,0.0,,,-1
2014-9-13,20,17,14,18,15,13,89,81,68,,,,10.0,2.3,0.1,4,1,,0.0,8,,-1
2014-9-14,20,18,15,13,11,7,87,62,47,,,,10.0,6.0,0.1,4,2,,5.0,8,,-1
2014-9-15,23,17,11,16,12,7,68,56,49,,,,10.0,7.4,4.0,4,3,,0.0,,,-1
2014-9-16,22,18,14,18,13,9,83,63,47,,,,10.0,5.8,0.1,4,2,,0.0,8,,-1
2014-9-17,21,18,14,18,15,8,83,72,52,,,,10.0,2.8,0.1,4,2,,0.0,8,,-1
2014-9-18,22,18,15,18,16,13,85,79,72,,,,10.0,3.7,0.1,0,0,,0.0,8,,-1
2014-9-19,24,20,16,19,16,14,86,76,67,,,,10.0,5.8,0.1,0,0,,0.0,8,,-1
2014-9-20,21,18,15,18,16,14,90,81,68,,,,10.0,7.0,4.0,4,0,,1.0,8,,-1
2014-9-21,23,18,14,15,12,10,86,61,39,,,,10.0,6.3,4.0,4,1,,1.0,,,-1
2014-9-22,23,18,13,18,14,9,86,69,57,,,,10.0,5.8,0.1,4,2,,0.0,8,,-1
2014-9-23,23,18,14,20,15,11,86,74,62,,,,10.0,4.1,0.1,4,2,,0.0,8,,-1
2014-9-24,22,18,14,17,12,7,83,66,43,,,,10.0,5.2,0.1,24,4,,0.0,8,Thunderstorm,-1
2014-9-25,21,16,10,12,8,4,67,47,37,,,,10.0,7.0,4.0,22,10,,7.0,8,Rain,-1
2014-9-26,23,18,12,14,9,3,69,47,33,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2014-9-27,22,18,13,17,14,11,83,71,51,,,,10.0,4.5,0.1,7,3,,0.0,8,,-1
2014-9-28,23,18,13,17,13,10,78,65,51,,,,10.0,7.4,4.0,22,10,,0.0,8,,-1
2014-9-29,22,18,14,18,14,8,89,72,44,,,,10.0,4.5,0.1,11,3,,0.0,8,,-1
2014-9-30,20,16,13,16,14,11,86,80,74,,,,10.0,3.2,0.1,4,1,,0.0,8,,-1
