PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-2-1,11,5,-1,3,-1,-4,78,56,38,,,,10.0,7.4,4.0,7,4,,0.0,,,-1
2016-2-2,11,5,-1,3,-1,-5,66,54,34,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2016-2-3,13,6,-1,2,-3,-10,76,42,18,,,,10.0,6.3,4.0,13,5,,0.0,,,-1
2016-2-4,14,6,-1,2,-3,-7,43,33,18,,,,10.0,5.8,0.7,4,2,,0.0,,,-1
2016-2-5,15,8,0,0,-3,-5,40,31,19,,,,10.0,6.6,4.0,4,3,,0.0,,,-1
2016-2-6,10,5,0,2,-1,-4,64,46,27,,,,10.0,7.0,4.0,4,1,,0.0,8,,-1
2016-2-7,8,4,0,3,-1,-6,65,50,33,,,,10.0,7.4,4.0,4,2,,0.0,8,,-1
2016-2-8,12,6,-1,2,-0,-5,64,51,39,,,,10.0,6.3,4.0,4,2,,0.0,,,-1
2016-2-9,13,6,-1,4,0,-5,64,46,35,,,,10.0,7.4,4.0,4,1,,0.0,,,-1
2016-2-10,10,5,0,4,-1,-5,91,62,34,,,,10.0,4.8,0.1,7,3,,2.0,8,,-1
2016-2-11,0,-2,-3,0,-1,-6,100,93,63,,,,10.0,3.5,0.1,7,4,,13.0,8,Snow,-1
2016-2-12,5,0,-4,-1,-4,-7,76,60,52,,,,10.0,6.6,4.0,4,0,,0.0,,,-1
2016-2-13,7,2,-2,-2,-3,-4,76,55,31,,,,10.0,6.6,4.0,7,1,,0.0,,,-1
2016-2-14,9,4,-1,0,-1,-4,81,64,40,,,,10.0,6.6,4.0,0,0,,0.0,,,-1
2016-2-15,10,4,-1,-2,-3,-5,66,46,31,,,,10.0,7.0,4.0,7,3,,0.0,,,-1
2016-2-16,12,6,-1,2,-1,-7,66,48,28,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2016-2-17,14,7,0,-1,-6,-11,62,28,14,,,,10.0,7.0,4.0,13,6,,0.0,,,-1
2016-2-18,15,8,0,-2,-5,-7,44,25,16,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2016-2-19,8,4,1,6,2,-6,91,73,33,,,,10.0,3.8,0.1,15,8,,41.0,8,Rain-Hail-Thunderstorm,-1
2016-2-20,13,8,4,8,2,-11,80,55,14,,,,10.0,7.0,4.0,11,7,,8.0,8,,-1
2016-2-21,16,11,6,3,-2,-10,49,30,13,,,,10.0,7.0,4.0,11,7,,0.0,,,-1
2016-2-22,14,10,7,-8,-11,-15,20,11,6,,,,10.0,7.6,4.0,11,11,,0.0,,,-1
2016-2-23,17,12,8,-7,-13,-17,14,8,5,,,,10.0,7.4,4.0,18,12,,0.0,,,-1
2016-2-24,19,12,6,3,-7,-13,33,16,5,,,,10.0,7.0,4.0,11,4,,0.0,,,-1
2016-2-25,17,12,8,6,-1,-11,64,35,9,,,,10.0,6.6,4.0,4,3,,0.0,,,-1
2016-2-26,16,12,7,6,1,-6,51,36,22,,,,10.0,6.6,4.0,4,2,,0.0,,,-1
2016-2-27,17,12,8,8,1,-7,62,39,14,,,,10.0,7.0,4.0,7,3,,0.0,,,-1
2016-2-28,17,12,7,6,1,-14,70,40,6,,,,10.0,7.4,4.0,7,5,,0.0,,,-1
2016-2-29,17,12,7,7,3,-6,57,43,24,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
