
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2000-8-1,35,31,27,27,25,23,89,74,53,999,998,996,8,7,5,23,10,,0.00,2,Thunderstorm,145
2000-8-2,32,28,25,27,25,21,94,81,70,1001,999,998,10,8,6,19,8,,0.00,5,Rain-Thunderstorm,82
2000-8-3,32,27,23,28,24,21,89,80,66,1002,1001,999,10,8,4,37,11,,0.00,3,Rain-Thunderstorm,86
2000-8-4,34,28,22,24,23,21,94,73,52,1003,1002,1000,10,8,5,21,8,,0.00,3,Rain-Thunderstorm,235
2000-8-5,35,30,26,27,24,22,89,69,47,1002,1001,1000,8,7,6,8,2,,0.00,1,,322
2000-8-6,36,32,28,27,24,2,89,68,18,1001,1000,999,7,6,5,19,3,,0.00,1,Rain-Thunderstorm,175
2000-8-7,37,33,29,27,25,21,84,63,39,1002,1000,999,8,6,4,14,3,,0.00,1,,249
2000-8-8,37,33,29,26,24,24,79,59,47,1001,999,998,8,7,6,21,5,,0.00,0,,248
2000-8-9,37,32,27,27,24,23,94,68,47,1000,999,997,8,7,6,21,6,,0.00,3,Rain-Thunderstorm,178
2000-8-10,33,29,25,26,24,23,89,78,59,1002,1000,998,10,8,4,37,10,,0.00,3,,87
2000-8-11,32,28,25,25,24,23,94,78,59,1005,1002,1000,10,8,6,21,13,,0.00,3,,106
2000-8-12,28,,28,25,25,25,84,84,84,1001,1001,1001,8,8,8,0,0,,0.00,1,,-1
2000-8-13,,,,,,,,,,,,,,,,,,,,,,
2000-8-14,,,,,,,,,,,,,,,,,,,,,,
2000-8-15,,,,,,,,,,,,,,,,,,,,,,
2000-8-16,,,,,,,,,,,,,,,,,,,,,,
2000-8-17,,,,,,,,,,,,,,,,,,,,,,
2000-8-18,,,,,,,,,,,,,,,,,,,,,,
2000-8-19,,,,,,,,,,,,,,,,,,,,,,
2000-8-20,,,,,,,,,,,,,,,,,,,,,,
2000-8-21,,,,,,,,,,,,,,,,,,,,,,
2000-8-22,29,,29,25,25,25,79,79,79,1002,1002,1002,7,7,7,0,0,,0.00,0,,-1
2000-8-23,,,,,,,,,,,,,,,,,,,,,,
2000-8-24,,,,,,,,,,,,,,,,,,,,,,
2000-8-25,,,,,,,,,,,,,,,,,,,,,,
2000-8-26,,,,,,,,,,,,,,,,,,,,,,
2000-8-27,36,36,36,26,26,26,56,56,56,1001,999,997,8,7,7,11,6,,0.00,4,,26
2000-8-28,,,,,,,,,,,,,,,,,,,,,,
2000-8-29,,,,,,,,,,,,,,,,,,,,,,
2000-8-30,,,,,,,,,,,,,,,,,,,,,,
2000-8-31,,,,,,,,,,,,,,,,,,,,,,
<!-- 0.188:0 -->
