
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2001-2-1,20,13,6,5,2,0,71,55,30,1016,1015,1013,7,6,4,21,5,,0.00,0,,274
2001-2-2,21,13,6,6,2,-2,71,51,28,1016,1014,1012,8,6,5,19,8,,0.00,0,,285
2001-2-3,23,16,8,6,3,1,67,47,25,1013,1011,1010,8,6,5,23,8,,0.00,0,,270
2001-2-4,21,12,4,7,5,1,81,56,35,1014,1012,1010,8,5,2,14,3,,0.00,0,,145
2001-2-5,21,13,5,7,4,3,87,62,31,1017,1014,1013,7,6,3,11,2,,0.00,0,,308
2001-2-6,23,14,5,6,4,1,87,62,23,1017,1015,1014,8,5,1,16,3,,0.00,0,,293
2001-2-7,23,14,7,6,4,0,87,53,22,1016,1015,1014,8,6,2,16,5,,0.00,0,,293
2001-2-8,25,18,12,6,2,-3,54,37,19,1016,1014,1012,8,7,6,29,13,,0.00,0,,280
2001-2-9,25,18,10,9,3,-1,67,43,21,1014,1012,1010,8,7,5,23,8,,0.00,0,,277
2001-2-10,25,16,7,9,6,2,76,56,22,1014,1012,1011,8,6,4,19,3,,0.00,0,,303
2001-2-11,24,14,6,9,5,3,87,60,29,1013,1011,1009,8,6,3,13,2,,0.00,0,,343
2001-2-12,24,14,6,9,7,4,87,63,31,1016,1014,1012,7,6,2,10,2,,0.00,0,,346
2001-2-13,22,14,8,10,6,2,82,57,35,1017,1015,1012,7,5,2,21,5,,0.00,4,,328
2001-2-14,24,19,15,13,11,6,77,57,41,1012,1010,1008,8,7,4,32,18,,0.00,5,Rain,12
2001-2-15,25,18,12,16,12,8,77,68,47,1017,1014,1011,8,7,6,23,13,,0.00,1,,106
2001-2-16,23,17,11,16,12,9,94,79,53,1019,1017,1015,6,4,1,11,3,,0.00,3,,258
2001-2-17,25,18,11,15,13,11,100,74,44,1018,1015,1014,7,4,1,19,3,,0.00,1,Fog,286
2001-2-18,26,19,12,14,12,11,94,69,41,1017,1015,1014,8,5,1,23,6,,0.00,0,,267
2001-2-19,27,20,14,13,8,2,73,48,21,1015,1013,1011,8,7,5,24,11,,0.00,2,,279
2001-2-20,21,17,13,16,12,10,94,78,56,1013,1011,1009,7,5,1,23,6,,0.00,4,Rain-Thunderstorm,44
2001-2-21,24,18,12,13,12,10,94,72,47,1013,1011,1010,8,5,1,19,8,,0.00,1,,314
2001-2-22,24,17,11,15,13,9,94,73,53,1013,1011,1010,6,5,1,10,2,,0.00,3,,90
2001-2-23,27,20,13,14,13,9,94,66,32,1011,1009,1007,8,5,1,10,3,,0.00,3,Rain-Thunderstorm,52
2001-2-24,27,21,15,15,13,10,88,64,34,1011,1009,1006,6,5,3,24,3,,0.00,5,Rain-Thunderstorm,58
2001-2-25,25,20,16,13,9,7,73,52,34,1009,1007,1005,10,7,5,32,8,,0.00,3,Rain-Thunderstorm,273
2001-2-26,23,17,11,9,8,6,82,60,35,1013,1011,1009,8,7,6,24,13,,0.00,0,Thunderstorm,58
2001-2-27,23,16,8,9,7,3,87,59,27,1016,1014,1012,8,6,1,40,3,,0.00,0,,212
2001-2-28,25,17,9,10,6,2,82,55,22,1020,1017,1015,8,6,1,16,3,,0.00,0,,24
<!-- 0.183:0 -->
