
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2001-6-1,41,34,29,25,23,19,70,49,29,998,995,994,7,6,4,19,8,,0.00,0,,165
2001-6-2,41,34,29,25,23,19,70,50,33,1002,998,996,5,4,3,37,16,,0.00,0,,178
2001-6-3,39,33,27,24,22,20,66,51,40,1001,999,997,8,7,3,34,18,,0.00,0,,115
2001-6-4,37,31,23,24,21,17,88,53,34,1001,999,996,8,6,4,37,16,,0.00,2,Rain-Thunderstorm,91
2001-6-5,32,27,23,24,22,17,94,70,52,1002,1000,998,8,7,4,47,16,,0.00,3,Rain-Thunderstorm,177
2001-6-6,35,31,27,25,24,23,89,66,52,1000,998,996,7,6,3,45,6,,0.00,1,,230
2001-6-7,33,30,27,24,22,19,79,63,52,1001,999,998,8,6,4,23,8,,0.00,2,,153
2001-6-8,36,31,26,24,23,16,83,62,34,1001,998,996,8,7,5,23,6,,0.00,1,,165
2001-6-9,37,32,28,25,23,19,74,57,44,1000,998,996,8,6,3,35,10,,0.00,0,,102
2001-6-10,39,33,27,24,22,21,74,53,37,1000,998,996,8,6,5,14,6,,0.00,1,Thunderstorm,28
2001-6-11,39,34,30,27,24,16,84,55,37,1000,997,995,7,6,3,14,6,,0.00,1,,137
2001-6-12,37,33,31,26,24,23,70,58,47,1002,999,997,6,5,4,39,10,,0.00,1,,84
2001-6-13,40,34,29,26,24,22,74,59,40,1001,999,995,7,6,5,19,8,,0.00,3,Rain-Thunderstorm,59
2001-6-14,33,30,27,27,24,15,89,72,45,1002,999,997,8,6,3,40,16,,0.00,3,Rain-Thunderstorm,86
2001-6-15,30,28,25,26,25,24,100,87,79,1000,998,995,10,7,4,39,6,,0.00,3,Rain-Thunderstorm,84
2001-6-16,34,29,25,28,25,24,94,78,59,998,995,992,10,7,5,16,5,,0.00,2,,154
2001-6-17,30,26,22,27,23,22,100,81,62,998,996,994,7,5,1,26,10,,0.00,4,Rain-Thunderstorm,73
2001-6-18,35,30,26,25,23,21,89,67,47,1000,998,996,9,6,2,14,3,,0.00,0,,283
2001-6-19,37,32,27,26,24,21,89,63,39,1000,998,995,8,6,3,19,3,,0.00,0,,233
2001-6-20,39,33,27,25,24,22,79,58,42,996,995,993,10,6,4,35,6,,0.00,1,,145
2001-6-21,38,33,28,29,25,21,79,63,47,997,995,993,5,3,1,45,8,,0.00,2,Rain-Thunderstorm,133
2001-6-22,29,27,24,25,23,21,94,79,66,999,996,994,10,7,1,55,16,,0.00,6,Rain-Thunderstorm,103
2001-6-23,32,28,25,26,24,22,94,76,62,999,997,996,10,8,7,21,6,,0.00,4,,119
2001-6-24,34,29,25,26,24,22,89,73,56,1000,999,997,10,8,6,21,11,,0.00,3,,87
2001-6-25,36,31,26,26,25,23,89,70,53,1001,999,996,8,7,5,16,5,,0.00,2,,163
2001-6-26,35,30,26,26,23,21,89,66,44,1000,998,996,10,8,6,40,11,,0.00,2,Thunderstorm,100
2001-6-27,36,31,27,26,24,23,89,67,50,1000,998,995,10,7,4,16,8,,0.00,1,,125
2001-6-28,36,33,30,27,26,24,84,65,50,998,996,995,7,6,5,24,5,,0.00,2,Rain,153
2001-6-29,38,34,31,29,28,26,79,68,53,999,997,995,6,6,5,19,6,,0.00,3,,140
2001-6-30,32,29,26,28,25,23,94,81,70,1001,999,997,10,8,3,37,8,,0.00,6,Rain-Thunderstorm,129
<!-- 0.199:0 -->
