
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2001-3-1,25,17,9,9,6,0,82,52,22,1021,1019,1018,8,6,3,21,5,,0.00,0,,311
2001-3-2,27,19,12,9,7,2,72,48,22,1020,1018,1016,8,6,3,21,6,,0.00,1,,291
2001-3-3,27,18,10,9,7,4,76,50,24,1018,1017,1016,8,7,3,19,5,,0.00,2,,281
2001-3-4,26,18,10,13,9,6,82,52,34,1018,1016,1013,8,7,3,23,5,,0.00,0,,273
2001-3-5,28,21,14,14,10,7,72,53,34,1014,1013,1011,8,7,5,21,10,,0.00,0,,273
2001-3-6,28,19,11,14,12,9,88,60,39,1014,1012,1011,8,7,3,14,6,,0.00,0,,189
2001-3-7,28,19,11,16,12,8,82,64,44,1014,1013,1011,8,6,4,11,2,,0.00,0,,90
2001-3-8,29,20,12,14,11,5,88,58,22,1015,1013,1011,8,6,3,11,2,,0.00,0,,282
2001-3-9,29,21,13,15,12,11,88,59,37,1014,1012,1011,8,6,1,16,5,,0.00,0,,246
2001-3-10,29,21,13,14,12,10,94,61,34,1015,1013,1011,8,5,1,23,5,,0.00,0,,235
2001-3-11,30,21,13,15,12,11,88,63,33,1015,1012,1011,8,7,2,21,3,,0.00,1,,246
2001-3-12,29,21,13,18,14,10,88,65,40,1013,1011,1009,8,6,3,23,6,,0.00,4,,113
2001-3-13,25,21,16,19,15,12,88,69,54,1011,1010,1007,7,6,4,27,16,,0.00,4,Rain-Thunderstorm,99
2001-3-14,27,20,14,17,14,11,88,69,48,1014,1012,1011,8,7,4,23,10,,0.00,0,,32
2001-3-15,27,21,15,16,14,11,94,66,44,1018,1015,1014,8,7,5,21,6,,0.00,1,,41
2001-3-16,29,21,14,14,11,9,82,56,29,1016,1013,1010,8,7,4,21,5,,0.00,2,,294
2001-3-17,31,23,15,13,12,10,72,51,29,1011,1010,1007,8,6,4,21,6,,0.00,1,,267
2001-3-18,31,22,14,16,13,10,77,55,33,1012,1010,1008,10,6,2,19,3,,0.00,1,Rain-Thunderstorm,287
2001-3-19,28,23,19,17,15,13,83,60,45,1012,1010,1002,7,6,5,23,8,,0.00,6,Rain-Thunderstorm,343
2001-3-20,26,22,19,18,16,13,88,68,54,1011,1009,1007,8,7,6,35,13,,0.00,4,Rain,350
2001-3-21,28,22,16,19,15,12,88,66,45,1009,1007,1004,8,6,4,27,3,,0.00,3,Thunderstorm,136
2001-3-22,29,22,15,15,13,11,82,60,33,1010,1008,1006,8,6,5,19,11,,0.00,1,,354
2001-3-23,30,22,14,15,14,12,88,61,33,1012,1010,1009,10,6,3,11,3,,0.00,1,,76
2001-3-24,31,23,15,16,13,11,82,53,33,1010,1008,1006,8,7,2,16,5,,0.00,2,,279
2001-3-25,32,26,21,16,13,11,65,46,33,1008,1006,1001,8,7,5,19,10,,0.00,2,,296
2001-3-26,32,24,17,16,15,13,83,55,33,1007,1006,1004,8,6,3,14,3,,0.00,0,,270
2001-3-27,33,24,17,18,14,12,77,54,28,1006,1004,1002,8,6,2,16,3,,0.00,1,,147
2001-3-28,29,24,19,21,17,15,78,67,51,1004,1001,1000,8,6,5,34,11,,0.00,2,Rain-Thunderstorm,99
2001-3-29,29,22,15,19,16,13,100,72,42,1011,1005,1002,8,6,0,52,18,,0.00,5,Rain-Thunderstorm,67
2001-3-30,25,20,15,17,14,13,94,69,47,1009,1008,1006,8,7,6,23,11,,0.00,4,Rain-Thunderstorm,7
2001-3-31,26,21,17,17,15,11,88,68,39,1014,1012,1009,8,7,5,19,5,,0.00,2,,63
<!-- 0.192:0 -->
