
PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2002-8-1,38,33,29,27,25,22,84,62,39,1003,1001,999,8,7,5,10,2,,0.00,1,,94
2002-8-2,38,32,26,30,26,24,94,73,47,1002,1000,997,8,6,1,10,2,,0.00,2,Thunderstorm,120
2002-8-3,38,34,30,30,28,26,89,74,50,999,998,995,7,5,4,21,5,,0.00,2,,114
2002-8-4,33,30,28,29,27,25,89,80,66,1000,999,997,8,6,4,32,19,,0.00,4,,86
2002-8-5,36,31,26,28,27,25,94,79,63,1001,999,996,8,7,6,19,10,,0.00,3,,73
2002-8-6,36,32,29,28,27,26,89,75,56,999,998,997,8,7,5,23,10,,0.00,3,,102
2002-8-7,37,32,28,29,27,26,94,76,59,1001,999,997,10,7,5,19,8,,0.00,2,,72
2002-8-8,37,33,30,29,28,27,84,77,60,1000,998,996,10,7,5,27,3,,0.00,3,Rain-Thunderstorm,65
2002-8-9,35,30,25,28,26,24,100,88,67,999,997,995,6,5,1,55,6,,0.00,4,Rain-Thunderstorm,55
2002-8-10,38,32,26,29,27,25,94,78,53,997,996,994,7,4,2,13,2,,0.00,2,,190
2002-8-11,36,32,29,28,27,24,94,75,50,997,995,994,8,6,5,14,6,,0.00,4,,130
2002-8-12,35,31,27,28,27,23,94,79,56,997,995,994,8,5,4,23,11,,0.00,7,Rain-Thunderstorm,78
2002-8-13,38,31,25,26,25,24,94,85,50,998,996,994,10,9,6,111,19,,0.00,5,Rain-Thunderstorm,83
2002-8-14,32,27,23,26,24,22,94,82,62,1001,999,997,10,7,5,19,6,,0.00,3,Rain,63
2002-8-15,33,29,26,26,25,22,94,79,58,1001,999,997,10,6,3,19,3,,0.00,1,,310
2002-8-16,35,31,27,26,25,24,89,70,53,999,997,994,7,6,3,13,2,,0.00,1,,284
2002-8-17,37,33,29,29,27,24,89,71,47,997,996,995,7,6,5,10,3,,0.00,2,,91
2002-8-18,37,33,29,29,26,23,89,66,44,999,997,996,7,6,5,10,2,,0.00,1,Tornado,62
2002-8-19,37,32,28,28,26,21,94,69,39,1000,999,997,6,6,4,13,3,,0.00,0,,133
2002-8-20,38,34,30,28,25,20,84,66,35,999,997,995,8,6,3,14,3,,0.00,1,,229
2002-8-21,35,30,25,28,24,23,94,76,56,1001,999,998,8,6,2,23,5,39,0.00,3,Rain-Thunderstorm,77
2002-8-22,32,29,27,26,25,24,89,77,66,1005,1003,1001,8,6,3,23,10,,0.00,2,,87
2002-8-23,34,30,27,26,26,24,94,78,63,1007,1005,1004,8,6,5,19,5,,0.00,2,,80
2002-8-24,34,30,27,27,26,25,94,79,59,1009,1007,1005,7,6,5,24,8,,0.00,3,,68
2002-8-25,34,30,27,28,26,24,94,78,56,1008,1006,1005,8,6,4,24,5,,0.00,3,Thunderstorm,52
2002-8-26,40,33,27,26,26,24,89,74,40,1007,1005,1001,10,8,4,19,8,,0.00,3,,84
2002-8-27,35,31,27,28,26,25,89,77,56,1006,1005,1002,8,6,4,23,3,,0.00,4,Rain-Thunderstorm,104
2002-8-28,37,33,29,28,26,24,84,69,50,1006,1004,1003,8,7,6,19,5,,0.00,2,,220
2002-8-29,37,33,30,28,26,23,84,63,50,1007,1005,1004,8,7,5,23,8,,0.00,3,Rain,112
2002-8-30,34,30,26,27,26,23,94,82,56,1009,1006,1004,10,7,4,34,10,,0.00,3,Rain,45
2002-8-31,35,31,27,27,26,23,94,78,62,1007,1005,1002,10,8,6,14,5,,0.00,4,Rain,49
<!-- 0.203:0 -->
