
PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2002-7-1,40,35,30,31,25,22,70,53,38,997,995,993,8,7,4,16,8,,0.00,0,,212
2002-7-2,40,36,32,28,25,23,75,53,40,996,995,994,8,6,3,19,8,,0.00,0,,188
2002-7-3,39,34,29,27,25,22,75,57,44,996,995,993,6,5,5,19,13,,0.00,0,,196
2002-7-4,38,33,28,27,25,22,79,61,39,997,996,994,6,5,2,34,10,,0.00,2,Rain-Thunderstorm,88
2002-7-5,35,29,24,27,24,23,100,75,59,1000,998,996,8,6,3,23,13,,0.00,3,Rain-Thunderstorm,81
2002-7-6,32,28,24,26,24,22,94,79,59,1001,999,998,8,6,1,27,6,,0.00,5,Rain-Thunderstorm,355
2002-7-7,37,32,28,26,25,24,89,69,47,999,997,995,7,5,1,60,3,,0.00,2,Rain-Thunderstorm,231
2002-7-8,37,31,25,27,24,20,78,64,47,997,996,994,7,7,6,23,8,,0.00,2,Rain-Thunderstorm,226
2002-7-9,38,34,30,28,26,2,84,63,16,998,996,995,7,5,3,19,5,,0.00,0,,203
2002-7-10,38,33,28,26,23,2,79,57,19,999,997,995,7,5,3,14,5,,0.00,1,,304
2002-7-11,40,36,31,27,24,19,71,53,35,997,995,994,7,5,3,13,3,,0.00,0,,257
2002-7-12,40,35,30,27,23,21,75,50,33,997,996,994,8,6,3,11,3,,0.00,0,,189
2002-7-13,40,35,30,26,23,20,70,50,38,999,997,996,6,5,3,19,10,,0.00,0,,252
2002-7-14,39,34,31,25,24,22,66,51,37,999,997,996,7,6,4,23,10,,0.00,0,,224
2002-7-15,39,33,28,25,24,23,79,55,42,1000,998,996,7,5,4,21,8,,0.00,0,Tornado,217
2002-7-16,40,35,30,26,24,23,75,55,40,1000,998,996,8,6,5,19,5,,0.00,0,,217
2002-7-17,41,36,31,27,26,24,79,56,38,1000,999,997,7,6,4,14,5,,0.00,0,,222
2002-7-18,39,34,30,28,27,24,89,73,42,1001,1000,999,7,6,5,19,6,,0.00,2,,87
2002-7-19,41,34,29,28,23,20,84,52,30,1001,999,997,8,6,4,13,5,,0.00,0,,206
2002-7-20,41,36,31,27,24,22,70,53,40,998,996,994,8,7,5,21,6,,0.00,1,,203
2002-7-21,36,32,28,26,23,22,79,61,47,997,995,993,8,5,1,26,8,,0.00,1,,126
2002-7-22,38,33,26,25,24,22,78,60,47,1000,995,993,4,2,1,37,10,,0.00,2,Rain-Thunderstorm,183
2002-7-23,36,30,24,27,24,23,94,72,47,1001,999,998,10,7,5,23,10,,0.00,4,Rain-Thunderstorm,105
2002-7-24,37,33,29,27,26,24,84,68,47,999,998,996,8,6,4,138,6,,0.00,2,,225
2002-7-25,36,36,32,26,24,24,70,57,50,998,998,997,3,3,3,13,6,,0.00,2,,135
2002-7-26,37,30,30,26,25,24,79,63,47,997,997,997,5,4,3,10,3,,0.00,0,,150
2002-7-27,39,33,28,25,24,23,84,56,40,997,996,996,7,6,6,10,6,,0.00,3,,202
2002-7-28,39,34,29,25,24,23,70,60,45,1000,999,998,7,6,5,14,10,,0.00,4,Thunderstorm,90
2002-7-29,40,34,28,26,24,22,84,60,35,1000,999,996,8,7,6,16,5,,0.00,2,,133
2002-7-30,35,30,25,26,24,21,94,69,56,1000,998,997,8,7,5,19,8,,0.00,3,Rain-Thunderstorm,30
2002-7-31,36,32,29,27,24,21,79,66,41,1001,998,990,7,6,5,23,5,,0.00,3,,74
<!-- 0.191:0 -->
