
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2005-7-1,31,26,22,26,23,20,94,82,70,1002,998,996,6,4,0,45,11,,0.00,5,Rain-Thunderstorm,47
2005-7-2,32,27,22,24,23,20,94,77,52,1002,998,997,7,5,0,45,8,,0.00,3,Rain-Thunderstorm,47
2005-7-3,33,29,26,25,23,21,89,72,49,1000,998,996,6,4,2,19,5,,0.00,4,,35
2005-7-4,34,30,26,25,24,20,89,71,46,999,996,994,5,3,1,34,6,,0.00,3,,146
2005-7-5,32,28,24,23,21,19,83,66,52,999,997,996,6,5,4,24,14,,0.00,2,,125
2005-7-6,32,28,24,23,22,21,89,73,58,1002,1000,998,6,5,4,27,11,,0.00,4,,87
2005-7-7,26,24,24,23,22,21,94,87,78,1004,1002,1000,6,4,1,27,10,,0.00,6,Rain,32
2005-7-8,31,27,23,25,22,20,89,79,58,1003,1001,998,6,5,3,26,14,,0.00,5,Rain,19
2005-7-9,34,30,26,26,24,23,89,72,52,1001,999,997,5,4,1,16,5,,0.00,2,Rain-Tornado,56
2005-7-10,38,33,28,27,25,23,94,64,47,1000,998,997,6,5,2,11,5,,0.00,1,,142
2005-7-11,34,30,27,27,25,14,84,74,42,1005,1000,998,5,4,1,32,13,,0.00,4,Rain-Thunderstorm,104
2005-7-12,31,27,24,25,23,21,89,77,62,1004,1002,1001,6,5,3,24,13,,0.00,6,Rain-Thunderstorm,119
2005-7-13,34,30,26,25,24,23,89,73,52,1003,1001,1000,6,5,4,14,8,,0.00,3,,135
2005-7-14,35,31,28,26,24,21,89,73,53,1004,1002,1001,6,5,4,19,8,,0.00,3,Rain-Thunderstorm,133
2005-7-15,34,30,27,26,24,23,89,73,52,1005,1004,1002,6,5,3,16,10,,0.00,3,,116
2005-7-16,35,31,27,25,24,23,89,71,49,1004,1003,1001,6,5,4,19,8,,0.00,3,,126
2005-7-17,35,31,27,26,24,23,89,70,52,1003,1001,999,6,5,4,13,6,,0.00,3,,104
2005-7-18,34,29,24,26,24,19,89,77,59,1004,1002,1000,6,5,3,27,10,,0.00,3,Rain-Thunderstorm,130
2005-7-19,37,31,26,25,23,21,84,59,41,1003,1001,999,6,6,5,11,6,,0.00,3,,196
2005-7-20,38,33,29,27,24,21,89,65,41,1000,998,997,5,4,4,16,10,,0.00,3,,138
2005-7-21,34,28,23,26,24,20,88,74,46,1001,999,997,8,5,3,40,8,,0.00,3,Rain-Thunderstorm,121
2005-7-22,33,28,25,26,23,19,84,75,43,1000,998,997,7,5,4,26,10,,0.00,2,,104
2005-7-23,38,31,24,27,23,20,89,62,35,1001,998,996,6,6,2,39,10,,0.00,2,Rain-Thunderstorm,115
2005-7-24,36,31,26,26,23,22,83,68,44,1001,999,997,6,6,5,19,8,,0.00,4,Rain-Thunderstorm,119
2005-7-25,37,32,28,26,24,23,84,63,44,999,997,995,6,6,5,11,6,,0.00,1,,153
2005-7-26,36,32,29,26,24,22,84,68,49,1000,998,997,6,5,4,23,11,,0.00,1,,114
2005-7-27,36,32,29,25,24,22,79,62,44,1000,999,996,7,6,6,24,14,,0.00,4,,107
2005-7-28,37,32,28,26,24,22,84,69,42,1001,999,996,7,6,5,23,8,,0.00,3,Rain,108
2005-7-29,37,32,27,25,24,22,84,72,44,1000,998,996,6,5,4,19,8,,0.00,4,Rain-Thunderstorm,119
2005-7-30,36,31,26,26,24,22,89,68,44,999,997,995,6,6,5,13,6,,0.00,2,,86
2005-7-31,37,33,29,26,25,23,79,65,44,999,997,996,5,4,4,16,6,,0.00,3,,176
<!-- 0.206:0 -->
