
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2005-10-1,35,28,22,22,19,15,88,62,30,1011,1009,1007,5,5,2,10,2,,0.00,0,,239
2005-10-2,36,28,21,20,18,13,83,58,25,1011,1009,1007,6,5,2,11,5,,0.00,0,,155
2005-10-3,35,28,21,20,17,14,83,57,32,1009,1007,1005,6,5,2,11,5,,0.00,0,,150
2005-10-4,34,27,21,18,16,13,83,54,29,1010,1008,1006,6,5,4,21,10,,0.00,0,,157
2005-10-5,34,27,20,20,18,16,83,61,36,1011,1010,1009,6,4,2,13,3,,0.00,0,,269
2005-10-6,35,29,23,20,18,15,83,57,30,1012,1011,1009,5,5,3,16,6,,0.00,0,,250
2005-10-7,35,28,21,19,16,10,83,55,22,1012,1010,1009,7,5,3,14,5,,0.00,0,,182
2005-10-8,35,28,21,18,15,8,78,52,20,1013,1011,1009,6,5,2,16,5,,0.00,0,,196
2005-10-9,35,28,20,18,15,11,83,58,23,1014,1012,1011,6,5,4,19,5,,0.00,1,,185
2005-10-10,34,27,19,17,14,9,83,49,21,1014,1012,1010,6,5,4,11,3,,0.00,1,,249
2005-10-11,34,27,21,18,14,10,78,49,23,1016,1013,1011,5,4,2,40,10,,0.00,2,Thunderstorm,52
2005-10-12,32,26,19,16,14,10,78,58,26,1023,1014,1012,6,5,4,27,11,,0.00,2,Rain-Thunderstorm,359
2005-10-13,32,24,18,17,14,11,83,56,29,1014,1012,1011,5,4,1,11,3,,0.00,0,,350
2005-10-14,33,26,18,17,15,13,83,54,29,1014,1012,1010,5,4,3,14,3,,0.00,0,,9
2005-10-15,32,26,19,17,16,13,83,58,31,1016,1012,1010,4,4,3,11,3,,0.00,0,,100
2005-10-16,29,24,19,16,14,13,78,60,37,1016,1013,1011,5,4,2,23,10,,0.00,1,,15
2005-10-17,30,24,18,17,13,10,73,56,29,1015,1013,1011,5,5,4,13,8,,0.00,0,,1
2005-10-18,29,23,18,17,16,14,83,63,40,1016,1014,1012,4,4,2,10,5,,0.00,0,,16
2005-10-19,31,23,15,15,11,8,88,52,24,1015,1012,1011,5,4,1,11,3,,0.00,0,,336
2005-10-20,31,21,12,14,10,5,88,56,20,1014,1012,1011,6,4,2,11,3,,0.00,0,,299
2005-10-21,31,21,12,14,9,4,82,53,18,1016,1014,1012,5,4,2,16,3,,0.00,0,,271
2005-10-22,31,22,13,11,8,4,72,46,18,1015,1013,1011,5,5,2,19,6,,0.00,0,,270
2005-10-23,31,21,12,12,9,4,82,51,18,1015,1013,1010,5,4,3,13,2,,0.00,0,,213
2005-10-24,31,22,13,14,11,7,82,51,22,1015,1013,1010,5,4,2,14,5,,0.00,0,,120
2005-10-25,32,24,17,15,12,8,78,51,22,1014,1012,1010,5,3,1,19,10,,0.00,0,,110
2005-10-26,32,23,16,15,13,7,88,62,21,1015,1013,1011,4,2,1,11,5,,0.00,1,,35
2005-10-27,31,23,15,14,11,5,82,54,19,1015,1013,1012,4,4,3,16,6,,0.00,0,,304
2005-10-28,36,24,14,13,10,3,82,57,17,1017,1015,1012,5,3,1,14,2,,0.00,0,,269
2005-10-29,31,22,13,13,9,5,82,55,21,1015,1013,1010,5,4,1,16,3,,0.00,0,,259
2005-10-30,31,21,11,12,9,4,82,53,18,1011,1010,1008,5,5,2,14,5,,0.00,0,,230
2005-10-31,28,20,13,14,12,9,82,62,30,1013,1011,1010,5,2,1,10,2,,0.00,0,,108
<!-- 0.288:0 -->
