
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2007-11-1,32,21,11,13,8,4,82,53,17,1016,1014,1012,4,4,2,13,3,,0.00,0,,260
2007-11-2,31,21,11,13,8,3,88,57,18,1014,1012,1010,4,4,1,11,2,,0.00,0,,224
2007-11-3,30,20,11,24,8,3,82,54,18,1014,1011,1010,4,4,1,11,2,,0.00,1,,156
2007-11-4,30,21,12,11,8,4,82,51,19,1016,1014,1013,4,4,2,10,2,,0.00,1,,261
2007-11-5,30,21,12,15,9,6,88,57,22,1015,1013,1010,4,4,1,19,3,,0.00,0,,266
2007-11-6,31,21,11,13,10,8,88,56,24,1013,1011,1010,4,4,1,13,3,,0.00,0,,140
2007-11-7,29,22,16,15,13,11,77,60,37,1014,1012,1010,4,3,1,26,10,,0.00,1,Rain,79
2007-11-8,31,23,15,15,12,1,82,57,22,1014,1012,1010,4,4,1,13,6,,0.00,1,,86
2007-11-9,28,21,14,13,11,9,82,60,32,1015,1013,1011,4,4,1,11,5,,0.00,0,,84
2007-11-10,29,19,10,14,11,7,88,64,25,1015,1013,1011,4,3,1,8,2,,0.00,0,,74
2007-11-11,27,19,12,14,11,8,88,63,30,1016,1014,1011,4,3,1,10,3,,0.00,0,,358
2007-11-12,26,18,11,15,13,10,94,72,42,1016,1014,1012,4,1,1,8,2,,0.00,0,,68
2007-11-13,26,18,11,15,12,10,94,72,42,1015,1013,1010,3,2,1,10,2,,0.00,0,,231
2007-11-14,27,19,11,15,12,10,94,73,39,1015,1013,1012,4,2,0,11,2,,0.00,0,,51
2007-11-15,27,18,10,14,12,9,94,72,37,1017,1015,1014,3,2,1,8,0,,0.00,0,,95
2007-11-16,27,19,11,16,12,10,94,69,37,1018,1016,1014,4,2,1,16,3,,0.00,0,,277
2007-11-17,28,20,12,16,9,3,94,63,21,1017,1015,1013,4,2,1,13,5,,0.00,0,,280
2007-11-18,27,17,8,14,8,3,93,65,21,1017,1015,1014,4,3,1,8,2,,0.00,0,,266
2007-11-19,26,17,9,11,8,5,94,66,26,1021,1019,1017,4,3,1,11,2,,0.00,0,,54
2007-11-20,25,17,9,15,9,7,100,69,34,1023,1020,1018,4,2,1,14,3,,0.00,0,,286
2007-11-21,28,17,7,12,9,5,88,67,32,1018,1016,1015,3,2,1,13,2,,0.00,0,,251
2007-11-22,26,17,8,11,9,6,88,69,30,1020,1018,1017,3,2,1,11,2,,0.00,0,,354
2007-11-23,26,17,8,13,8,6,93,66,30,1019,1017,1015,3,2,1,8,2,,0.00,1,,249
2007-11-24,26,17,8,13,10,6,88,72,34,1018,1016,1015,3,2,1,11,0,,0.00,0,,261
2007-11-25,26,17,8,13,10,6,88,71,34,1019,1017,1015,2,1,1,11,2,,0.00,1,,283
2007-11-26,26,16,7,15,10,0,94,77,36,1020,1018,1017,16,1,0,8,2,,0.00,2,,284
2007-11-27,25,16,7,18,9,6,100,78,36,1019,1017,1014,16,2,0,10,2,,0.00,1,Fog,291
2007-11-28,25,17,8,12,10,6,94,73,36,1016,1014,1012,3,1,0,10,2,,0.00,0,Fog,79
2007-11-29,25,17,9,11,8,4,88,63,26,1017,1014,1013,4,3,0,158,10,,0.00,3,Rain-Thunderstorm,79
2007-11-30,21,16,11,12,11,8,88,73,53,1021,1019,1015,6,4,4,21,16,,0.00,2,Rain-Thunderstorm,47
<!-- 0.299:0 -->
