
PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2008-6-1,38,31,25,19,17,13,61,41,22,1004,1002,999,5,4,1,69,11,,0.00,2,Rain-Thunderstorm,182
2008-6-2,36,29,23,20,17,15,83,51,30,1008,1003,1001,6,5,2,35,11,,0.00,3,Rain-Thunderstorm,39
2008-6-3,40,32,25,20,16,13,74,41,21,1006,1004,1002,6,5,3,85,11,,0.00,1,Thunderstorm,11
2008-6-4,40,33,26,20,19,16,69,46,24,1006,1003,1000,5,4,2,55,10,,0.00,2,Rain-Thunderstorm,155
2008-6-5,41,33,27,22,19,18,70,48,27,1002,999,995,5,4,3,29,13,,0.00,2,Rain-Thunderstorm,151
2008-6-6,37,31,26,22,21,19,74,55,37,998,996,994,4,4,4,29,16,,0.00,3,Rain-Thunderstorm,112
2008-6-7,42,34,28,22,21,17,70,49,26,1001,997,995,4,3,3,35,11,,0.00,3,Rain-Thunderstorm,172
2008-6-8,37,31,26,23,22,17,83,58,39,1003,1000,998,6,5,3,24,16,,0.00,2,,105
2008-6-9,36,30,25,23,21,13,74,58,35,1005,1002,1000,6,5,3,37,14,,0.00,3,Thunderstorm,87
2008-6-10,37,31,26,22,20,9,74,53,21,1004,1002,999,6,5,4,16,10,,0.00,3,Rain-Thunderstorm,72
2008-6-11,38,33,28,25,23,20,74,59,39,1003,1000,997,5,5,3,27,10,,0.00,3,Rain-Thunderstorm,103
2008-6-12,39,33,28,25,23,21,79,58,35,1001,999,996,5,5,4,23,11,,0.00,3,,103
2008-6-13,38,33,28,24,22,21,70,57,37,999,996,993,6,5,4,26,10,,0.00,2,,155
2008-6-14,32,28,25,26,24,23,94,78,66,996,994,991,4,4,1,21,11,,0.00,6,Rain-Thunderstorm,135
2008-6-15,30,28,26,25,23,4,89,80,23,997,994,991,5,4,3,27,16,,0.00,5,Rain-Thunderstorm,116
2008-6-16,33,29,25,24,23,23,89,75,55,998,996,994,5,4,4,23,14,,0.00,5,Thunderstorm,112
2008-6-17,36,31,27,25,23,22,84,62,44,996,995,992,6,5,4,16,10,,0.00,2,,125
2008-6-18,34,31,28,26,24,23,84,70,56,997,995,994,5,4,4,19,11,,0.00,3,,113
2008-6-19,33,29,26,26,24,15,89,73,48,1000,998,995,5,4,3,23,10,,0.00,4,Rain,102
2008-6-20,30,26,22,24,22,19,89,78,58,1002,1000,999,6,4,1,122,14,,0.00,4,Rain-Thunderstorm,108
2008-6-21,36,30,24,24,22,21,89,67,41,1002,1000,998,4,4,2,13,8,,0.00,2,,141
2008-6-22,36,30,25,25,21,19,79,58,39,1002,1000,998,6,5,4,23,11,,0.00,3,Rain-Thunderstorm,171
2008-6-23,38,32,27,24,22,19,79,52,37,1001,999,997,6,5,4,19,8,,0.00,2,,156
2008-6-24,38,32,27,24,21,18,70,54,39,1000,998,996,5,4,4,106,10,,0.00,3,,109
2008-6-25,36,32,28,26,23,6,84,60,25,1002,1000,998,5,5,4,24,11,,0.00,2,Thunderstorm,126
2008-6-26,39,34,29,26,24,21,79,60,37,1002,999,997,5,4,4,19,10,,0.00,2,,118
2008-6-27,35,31,28,26,23,20,74,62,44,1001,998,995,6,5,4,26,14,,0.00,3,Thunderstorm,143
2008-6-28,35,30,25,24,22,20,79,64,46,1001,999,997,5,5,3,37,18,,0.00,3,,115
2008-6-29,30,26,22,25,23,20,94,79,55,1002,999,997,5,4,2,24,11,,0.00,4,Rain-Thunderstorm,92
2008-6-30,34,29,24,23,22,21,94,70,49,1001,1000,997,6,5,3,11,5,,0.00,1,,111
<!-- 0.209:0 -->
