
PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2008-10-1,35,29,24,23,22,20,89,66,44,1011,1008,1007,6,5,3,10,3,,0.00,1,,238
2008-10-2,35,29,23,24,22,20,89,67,41,1010,1008,1007,5,5,4,11,3,,0.00,1,,191
2008-10-3,36,30,24,23,21,2,89,66,22,1012,1010,1009,5,4,2,11,3,,0.00,1,,208
2008-10-4,35,29,24,23,21,18,89,64,36,1010,1008,1006,4,4,3,13,5,,0.00,0,,169
2008-10-5,35,29,24,22,21,19,89,64,39,1010,1008,1006,4,4,1,11,5,,0.00,0,,137
2008-10-6,33,27,22,23,19,16,89,63,40,1010,1008,1006,6,4,4,27,10,,0.00,0,,103
2008-10-7,33,27,22,22,20,18,78,67,49,1010,1008,1006,4,4,4,16,10,,0.00,1,,82
2008-10-8,33,27,20,22,17,14,83,60,36,1010,1008,1006,6,5,4,32,10,,0.00,2,Rain-Thunderstorm,50
2008-10-9,33,27,20,19,17,13,88,61,31,1013,1011,1009,5,5,2,13,3,,0.00,0,,10
2008-10-10,34,27,19,19,17,13,88,60,29,1015,1013,1012,5,4,1,13,5,,0.00,0,,276
2008-10-11,34,27,20,20,18,17,88,61,36,1016,1014,1013,4,4,2,14,3,,0.00,0,,260
2008-10-12,35,28,21,19,17,14,83,58,31,1014,1012,1010,5,4,2,11,2,,0.00,0,,124
2008-10-13,35,28,20,20,18,15,88,61,30,1012,1010,1008,4,4,1,11,2,,0.00,0,,145
2008-10-14,33,27,22,21,19,15,83,64,34,1013,1011,1009,4,3,1,19,10,,0.00,1,,101
2008-10-15,26,22,19,20,13,12,73,61,47,1017,1014,1011,6,4,3,34,19,,0.00,3,Rain-Thunderstorm,56
2008-10-16,28,22,17,15,14,13,83,66,42,1019,1016,1015,7,6,4,19,10,,0.00,2,Rain-Thunderstorm,30
2008-10-17,30,23,16,16,14,11,88,62,31,1016,1014,1012,6,5,3,14,6,,0.00,0,,304
2008-10-18,32,23,15,16,13,10,88,60,27,1016,1014,1013,5,4,3,11,2,,0.00,0,,308
2008-10-19,31,23,15,16,14,11,94,65,31,1017,1014,1012,5,4,1,10,2,,0.00,0,,283
2008-10-20,31,23,16,16,15,12,94,69,31,1014,1012,1011,4,4,1,10,2,,0.00,0,,88
2008-10-21,31,23,17,18,16,15,88,67,38,1015,1013,1011,4,4,1,174,6,,0.00,0,,307
2008-10-22,32,24,17,17,14,10,88,61,27,1013,1012,1011,5,4,2,13,3,,0.00,0,,276
2008-10-23,32,24,17,17,15,11,94,62,27,1015,1013,1011,4,3,2,8,2,,0.00,0,,336
2008-10-24,32,24,17,17,15,13,88,62,31,1015,1012,1010,4,4,2,8,2,,0.00,0,,184
2008-10-25,31,23,16,21,14,11,88,64,31,1014,1012,1010,4,3,1,11,3,,0.00,0,,108
2008-10-26,30,23,16,17,15,11,88,66,33,1014,1011,1010,4,3,1,11,2,,0.00,0,,327
2008-10-27,31,23,15,17,13,8,88,64,24,1011,1009,1007,4,3,1,19,3,,0.00,1,,275
2008-10-28,30,23,16,16,14,12,83,61,33,1019,1009,1007,4,3,1,19,5,,0.00,2,,106
2008-10-29,29,23,17,17,16,14,83,65,42,1013,1012,1011,3,2,1,14,8,,0.00,0,,84
2008-10-30,30,23,17,17,16,14,88,71,40,1016,1013,1011,3,2,1,13,3,,0.00,1,,360
2008-10-31,31,23,15,16,12,8,94,60,24,1016,1014,1013,6,4,1,19,6,,0.00,0,,281
<!-- 0.211:0 -->
