
PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2008-9-1,34,28,22,24,21,19,88,69,44,1009,1007,1006,7,5,4,13,3,,0.00,1,,275
2008-9-2,35,30,26,25,23,20,89,68,41,1009,1006,1005,5,5,4,14,5,,0.00,1,,207
2008-9-3,37,31,25,24,22,17,89,64,34,1006,1005,1003,5,5,4,16,6,,0.00,1,Thunderstorm,177
2008-9-4,35,29,24,25,22,21,83,69,47,1007,1005,1002,6,5,4,14,10,,0.00,1,,104
2008-9-5,36,28,20,24,21,17,89,71,41,1006,1004,1001,7,5,1,66,13,,0.00,2,Rain-Thunderstorm,105
2008-9-6,29,24,20,20,18,16,88,72,45,1008,1007,1004,6,5,4,29,16,,0.00,4,Rain-Thunderstorm,57
2008-9-7,27,23,21,21,20,18,88,78,65,1011,1008,1007,5,4,3,13,6,,0.00,4,,340
2008-9-8,32,27,22,21,20,18,94,70,43,1010,1008,1006,6,5,3,13,3,,0.00,2,,323
2008-9-9,34,28,22,21,20,17,88,72,36,1009,1007,1005,6,5,4,11,3,,0.00,0,,282
2008-9-10,35,28,22,22,19,16,88,58,34,1008,1006,1004,5,5,4,13,3,,0.00,1,,266
2008-9-11,36,29,22,23,21,18,88,63,37,1008,1006,1003,6,5,4,10,3,,0.00,0,,162
2008-9-12,36,29,23,23,22,18,89,66,36,1008,1005,1000,5,4,3,11,5,,0.00,0,,180
2008-9-13,35,29,24,23,22,21,89,67,47,1008,1005,1003,6,5,3,11,5,,0.00,1,,168
2008-9-14,34,29,25,24,23,21,89,71,52,1008,1005,1003,4,4,3,13,5,,0.00,1,Thunderstorm,167
2008-9-15,35,30,25,24,23,21,89,68,44,1007,1005,1002,4,4,1,13,3,,0.00,2,Thunderstorm,205
2008-9-16,35,30,26,23,22,21,83,69,44,1005,1003,1000,6,4,3,16,3,,0.00,1,Rain-Thunderstorm,216
2008-9-17,34,29,24,23,21,17,89,69,38,1008,1005,1002,6,4,2,27,6,,0.00,1,,56
2008-9-18,34,28,22,22,20,18,88,70,44,1008,1006,1004,6,5,3,29,6,,0.00,3,Rain-Thunderstorm,111
2008-9-19,30,26,21,22,21,18,94,76,55,1007,1005,1002,6,5,3,23,10,,0.00,2,,108
2008-9-20,30,25,20,21,19,17,88,69,51,1007,1005,1002,6,5,4,13,8,,0.00,2,,135
2008-9-21,33,27,21,21,20,19,88,70,46,1009,1007,1005,6,5,4,11,6,,0.00,1,,89
2008-9-22,33,24,17,21,18,14,94,75,46,1008,1007,1004,5,4,0,72,10,,0.00,3,Rain-Hail-Thunderstorm,186
2008-9-23,32,23,16,19,16,14,94,69,33,1010,1008,1007,5,4,4,16,6,,0.00,1,,280
2008-9-24,32,26,19,21,19,17,94,69,43,1010,1008,1007,9,4,1,16,3,,0.00,0,,291
2008-9-25,33,27,21,21,20,17,94,69,38,1009,1007,1006,5,4,3,13,5,,0.00,0,,259
2008-9-26,34,28,23,22,20,2,89,65,22,1007,1005,1004,5,4,3,13,3,,0.00,0,,241
2008-9-27,34,28,22,24,21,19,88,67,41,1006,1005,1004,5,4,2,11,3,,0.00,0,,189
2008-9-28,34,28,22,22,21,19,89,67,41,1007,1006,1004,7,5,2,11,3,,0.00,0,,180
2008-9-29,35,29,24,23,22,19,89,69,41,1008,1006,1004,7,5,3,11,5,,0.00,0,,242
2008-9-30,37,30,24,22,22,20,89,66,39,1010,1008,1007,6,5,3,14,3,,0.00,0,,137
<!-- 0.212:0 -->
