
PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2009-4-1,32,24,17,14,11,7,73,47,22,1009,1008,1007,6,5,4,11,5,,0.00,2,,241
2009-4-2,33,24,17,17,13,10,78,47,24,1009,1008,1006,7,5,4,21,11,,0.00,3,Rain-Thunderstorm,164
2009-4-3,32,24,17,16,13,10,83,53,27,1012,1010,1007,7,5,4,13,6,,0.00,2,Rain-Thunderstorm,323
2009-4-4,31,24,18,15,9,1,77,44,16,1013,1011,1010,6,5,4,26,11,,0.00,2,,309
2009-4-5,29,21,14,11,9,3,77,41,20,1013,1010,1009,4,4,4,24,6,,0.00,3,,134
2009-4-6,25,20,14,16,13,10,88,74,47,1011,1010,1008,5,4,3,32,13,50,0.00,5,Rain-Thunderstorm,87
2009-4-7,28,21,14,13,12,10,88,63,32,1012,1009,1006,7,5,4,37,11,,0.00,3,Rain-Thunderstorm,16
2009-4-8,23,19,15,15,13,11,88,71,50,1011,1007,1004,6,5,4,26,18,,0.00,4,Rain-Thunderstorm,337
2009-4-9,25,19,13,12,12,10,88,65,39,1016,1014,1011,7,6,4,13,8,,0.00,2,,43
2009-4-10,29,21,13,12,9,7,82,52,25,1015,1014,1011,6,5,4,21,10,,0.00,2,,299
2009-4-11,33,24,17,15,12,9,72,48,24,1012,1009,1007,6,5,4,24,10,,0.00,2,,290
2009-4-12,35,27,18,15,13,9,78,52,21,1011,1008,1007,8,5,3,13,3,,0.00,1,,340
2009-4-13,35,27,19,14,12,8,73,47,19,1009,1008,1005,6,5,3,21,5,,0.00,0,,322
2009-4-14,37,29,22,14,11,8,50,32,17,1005,1004,1003,6,5,4,26,11,,0.00,2,,13
2009-4-15,34,29,23,11,9,8,44,28,20,1009,1008,1006,6,5,4,27,19,,0.00,3,,332
2009-4-16,33,26,19,12,9,6,64,39,20,1011,1008,1006,6,5,5,21,13,,0.00,2,,328
2009-4-17,35,28,20,9,4,-1,46,25,11,1008,1007,1005,7,6,5,16,13,,0.00,0,,286
2009-4-18,37,28,19,9,6,3,52,27,12,1008,1007,1006,6,5,4,23,13,,0.00,0,,294
2009-4-19,40,30,21,11,6,2,46,25,9,1008,1007,1005,6,6,5,24,13,,0.00,0,,290
2009-4-20,37,29,22,16,9,3,60,31,12,1007,1003,1000,5,4,3,26,10,,0.00,3,Rain-Thunderstorm,311
2009-4-21,35,29,24,10,7,3,38,27,14,1004,1002,999,7,5,4,26,16,,0.00,3,Rain-Thunderstorm,276
2009-4-22,35,28,20,11,5,-3,49,28,9,1008,1005,1003,8,6,4,13,8,,0.00,0,,356
2009-4-23,36,28,20,8,1,-6,37,18,7,1011,1010,1008,8,6,4,23,14,,0.00,1,,305
2009-4-24,35,27,18,5,-1,-8,40,20,6,1011,1009,1000,7,6,5,23,11,,0.00,0,,309
2009-4-25,37,26,16,8,2,-11,55,27,4,1013,1011,1010,6,5,2,21,5,,0.00,0,,314
2009-4-26,37,27,17,8,4,-2,55,30,8,1012,1010,1008,6,5,3,10,2,,0.00,2,,252
2009-4-27,40,30,20,11,7,0,49,29,8,1010,1008,1005,7,5,4,14,5,,0.00,2,,3
2009-4-28,40,32,24,11,8,1,39,26,11,1008,1007,1004,7,5,4,19,10,,0.00,1,,311
2009-4-29,41,33,27,11,5,0,37,17,8,1009,1006,1005,6,5,4,14,8,,0.00,3,,266
2009-4-30,41,32,23,10,6,0,44,23,8,1008,1007,1005,6,5,3,26,8,,0.00,1,,303
<!-- 0.183:0 -->
