
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2009-1-1,21,1,-18,8,3,-2,93,71,21,1018,1016,1015,4,3,0,11,5,,0.00,0,Fog,323
2009-1-2,17,10,4,10,6,3,93,86,55,1020,1018,1016,3,1,0,8,3,,0.00,2,Fog,112
2009-1-3,15,10,5,11,7,4,94,87,67,1020,1018,1016,3,1,0,26,5,,0.00,3,Fog-Rain,70
2009-1-4,19,13,8,9,7,4,87,69,40,1018,1016,1015,5,5,3,26,11,,0.00,5,Rain-Thunderstorm,53
2009-1-5,19,12,6,8,6,4,93,70,40,1017,1015,1004,6,4,2,14,8,,0.00,0,,315
2009-1-6,19,11,3,7,3,0,93,67,30,1018,1016,1014,7,4,2,11,3,,0.00,0,,213
2009-1-7,18,10,3,5,2,-3,87,65,24,1022,1020,1017,5,4,1,10,2,,0.00,0,,196
2009-1-8,25,13,2,5,3,1,93,69,24,1024,1022,1020,6,3,1,23,2,,0.00,0,,342
2009-1-9,16,9,3,6,4,2,93,74,42,1025,1022,1021,4,3,1,8,2,,0.00,3,Fog,55
2009-1-10,18,10,3,7,4,2,93,72,37,1025,1022,1020,5,3,1,14,6,,0.00,1,,293
2009-1-11,21,13,5,7,4,3,93,65,31,1023,1020,1019,5,4,2,14,5,,0.00,1,,275
2009-1-12,21,12,3,7,4,1,87,66,31,1024,1022,1020,6,4,1,11,3,,0.00,1,,280
2009-1-13,22,12,3,8,4,-1,93,66,23,1026,1024,1022,7,4,1,13,2,,0.00,1,,305
2009-1-14,23,14,6,7,4,2,93,64,25,1025,1023,1021,4,3,1,24,6,,0.00,2,,302
2009-1-15,22,13,6,9,5,3,87,61,29,1024,1022,1020,7,4,3,13,3,,0.00,4,,307
2009-1-16,16,13,12,13,11,9,94,84,72,1024,1022,1020,5,4,2,21,8,,0.00,7,Rain-Thunderstorm,360
2009-1-17,22,17,12,14,12,10,94,79,50,1022,1020,1017,7,5,3,21,8,,0.00,4,,331
2009-1-18,17,13,10,14,12,9,94,87,72,1021,1017,1015,6,3,0,26,8,,0.00,4,Fog-Rain-Thunderstorm,112
2009-1-19,19,14,9,11,8,6,94,80,45,1022,1020,1018,5,3,0,16,6,,0.00,2,Fog,308
2009-1-20,20,12,5,8,6,3,93,69,33,1021,1019,1016,7,5,3,11,5,,0.00,2,,290
2009-1-21,23,14,5,8,5,0,87,62,25,1019,1017,1016,7,5,3,19,5,,0.00,2,,270
2009-1-22,22,14,8,9,6,-1,87,64,22,1019,1016,1015,5,4,2,10,2,,0.00,3,,255
2009-1-23,24,14,6,10,6,2,93,65,24,1019,1017,1016,5,4,2,16,6,,0.00,2,,295
2009-1-24,21,14,9,9,7,3,82,58,31,1017,1014,1012,4,4,2,21,8,,0.00,5,,319
2009-1-25,21,16,12,12,11,8,94,73,49,1013,1011,1009,5,3,1,23,8,,0.00,3,,116
2009-1-26,22,16,11,13,11,8,94,80,43,1014,1012,1010,4,2,0,14,5,,0.00,1,Fog,157
2009-1-27,20,15,10,13,10,9,94,83,52,1018,1015,1013,4,2,0,13,5,,0.00,1,Fog,340
2009-1-28,21,13,7,10,8,6,100,73,40,1017,1015,1014,5,4,1,14,6,,0.00,0,,283
2009-1-29,23,14,6,10,7,4,94,64,29,1018,1016,1014,5,4,2,14,2,,0.00,1,,286
2009-1-30,22,14,7,10,8,5,93,68,40,1019,1017,1012,5,4,1,16,3,,0.00,1,,297
2009-1-31,22,14,8,8,6,3,87,60,29,1017,1015,1014,8,5,4,26,11,,0.00,1,,278
<!-- 0.184:0 -->
