
PKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2009-5-1,42,33,24,12,5,-4,36,22,6,1007,1005,1003,6,5,4,16,10,,0.00,2,,302
2009-5-2,41,31,21,12,7,1,53,24,8,1007,1005,1003,7,5,3,21,8,,0.00,2,,295
2009-5-3,38,31,25,12,9,5,44,28,13,1009,1007,1005,5,5,4,27,13,,0.00,4,Rain-Thunderstorm,108
2009-5-4,27,23,20,17,14,10,78,60,41,1011,1008,1005,5,5,3,27,16,,0.00,6,Rain-Thunderstorm,85
2009-5-5,33,26,18,15,13,10,83,48,24,1011,1009,1006,6,5,5,24,11,,0.00,4,Rain-Thunderstorm,18
2009-5-6,36,28,20,13,11,6,64,41,16,1012,1010,1009,6,5,5,19,13,,0.00,1,,312
2009-5-7,36,28,21,11,9,0,53,35,10,1010,1007,1005,7,5,4,19,11,,0.00,1,,292
2009-5-8,37,28,20,13,9,4,60,34,14,1007,1005,1003,6,5,4,23,3,,0.00,2,,292
2009-5-9,39,31,24,12,8,5,44,25,13,1008,1003,1000,6,5,4,16,10,,0.00,4,,289
2009-5-10,36,29,23,13,8,5,47,28,16,1003,1002,1000,4,4,3,29,14,,0.00,3,Thunderstorm,37
2009-5-11,38,29,20,10,6,1,49,27,10,1004,1002,1001,6,5,4,122,26,,0.00,1,,354
2009-5-12,38,29,20,10,6,-1,49,33,9,1006,1003,1002,7,5,4,19,6,,0.00,0,,47
2009-5-13,41,30,20,26,9,0,84,30,10,1003,1001,998,7,5,1,13,5,,0.00,0,,193
2009-5-14,42,33,25,27,12,7,89,28,13,1001,998,996,7,5,4,14,5,,0.00,0,,147
2009-5-15,40,33,26,18,15,9,51,34,21,1002,1000,999,6,4,4,21,13,,0.00,0,,103
2009-5-16,41,33,25,16,12,7,47,31,13,1007,1002,1001,6,5,4,11,6,,0.00,1,,73
2009-5-17,43,33,24,14,7,-1,47,21,6,1006,1004,1003,7,5,4,11,5,,0.00,1,,278
2009-5-18,44,34,25,15,8,3,41,22,9,1004,1002,999,6,5,4,19,8,29,0.00,0,,297
2009-5-19,45,36,27,18,12,6,54,26,10,1004,1001,999,6,4,3,24,6,,0.00,1,,95
2009-5-20,43,34,27,15,13,11,45,28,15,1005,1002,999,6,4,3,27,13,,0.00,1,Thunderstorm,340
2009-5-21,44,34,25,17,11,5,61,24,10,1004,1002,1000,6,5,3,34,8,,0.00,2,Rain-Thunderstorm,227
2009-5-22,42,33,25,13,8,4,47,23,10,1004,1001,998,6,5,4,24,8,,0.00,2,,317
2009-5-23,42,33,25,14,8,0,34,23,9,1002,1000,998,6,4,2,35,8,,0.00,2,Thunderstorm,88
2009-5-24,42,33,24,12,9,4,44,27,11,1002,999,996,7,5,1,32,10,,0.00,1,Thunderstorm,93
2009-5-25,38,31,24,13,8,3,47,26,11,1001,999,997,6,4,4,26,13,,0.00,3,Rain-Thunderstorm,35
2009-5-26,41,32,24,9,7,3,36,24,10,998,997,995,6,5,4,23,8,,0.00,0,,298
2009-5-27,43,33,23,11,5,-3,44,21,6,1001,999,997,6,5,4,14,3,,0.00,1,,78
2009-5-28,43,33,23,10,6,-2,44,22,6,1001,999,998,7,5,4,13,3,,0.00,0,,38
2009-5-29,42,31,20,14,10,4,52,26,10,1002,1000,998,7,5,1,35,10,,0.00,0,,123
2009-5-30,38,30,23,14,13,11,57,37,22,1003,1001,998,4,4,3,32,21,,0.00,0,,128
2009-5-31,39,31,23,20,15,14,83,40,24,1003,1001,998,6,5,1,34,13,,0.00,1,Rain-Thunderstorm,121
<!-- 0.276:0 -->
