
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2010-5-1,39,31,24,17,16,6,61,39,15,1012,1009,1006,6,5,4,16,10,,0.00,1,Thunderstorm,328
2010-5-2,41,33,26,17,16,13,51,35,20,1009,1006,1003,6,5,4,19,6,,0.00,0,,256
2010-5-3,43,34,25,19,17,8,57,34,21,1005,1003,1001,7,5,4,13,5,,0.00,0,,179
2010-5-4,41,33,26,19,17,13,61,37,24,1004,1001,999,5,4,4,14,10,,0.00,2,,103
2010-5-5,36,29,23,22,19,18,73,54,34,1007,1002,1000,4,3,0,58,14,,0.00,5,Rain-Thunderstorm,35
2010-5-6,34,28,23,21,18,16,73,57,34,1007,1005,1003,4,4,4,19,10,,0.00,4,Rain-Thunderstorm,342
2010-5-7,39,33,26,22,19,18,65,53,31,1006,1004,1002,6,4,3,34,16,,0.00,3,Rain,59
2010-5-8,35,28,20,22,19,17,88,57,36,1009,1006,1004,6,4,2,40,18,,0.00,1,Rain-Thunderstorm,340
2010-5-9,38,32,26,19,17,14,61,42,24,1004,1003,1001,5,4,4,21,10,,0.00,1,,265
2010-5-10,40,33,26,21,17,14,61,40,21,1006,1002,1000,7,5,3,32,10,,0.00,2,Rain-Thunderstorm,287
2010-5-11,39,31,23,17,16,14,65,40,24,1006,1004,1002,8,6,3,16,10,,0.00,1,,16
2010-5-12,42,36,29,16,14,11,43,31,16,1004,1002,1001,6,5,4,19,5,,0.00,1,,316
2010-5-13,41,33,26,15,13,11,51,32,17,1003,1001,999,6,4,2,47,21,,0.00,1,Thunderstorm,336
2010-5-14,40,33,26,16,13,11,47,31,17,1004,1002,1000,6,5,4,16,8,,0.00,0,,326
2010-5-15,42,33,26,15,12,10,37,26,16,1004,1002,1001,7,6,4,16,10,,0.00,0,,40
2010-5-16,43,36,28,15,12,8,42,25,12,1002,1001,999,7,5,3,14,6,,0.00,1,,129
2010-5-17,40,36,31,16,14,12,38,27,20,1003,1001,1000,5,4,3,32,16,,0.00,4,Rain-Thunderstorm,92
2010-5-18,39,33,27,19,16,13,51,40,21,1006,1004,1001,4,4,3,29,13,,0.00,3,Rain-Thunderstorm,357
2010-5-19,40,32,25,18,14,8,54,35,14,1007,1005,1002,6,5,4,16,13,,0.00,0,,351
2010-5-20,41,33,27,16,13,7,42,29,13,1005,1002,1001,7,5,4,27,10,,0.00,0,,308
2010-5-21,43,36,28,12,9,7,30,21,12,1004,1001,1000,8,6,4,16,8,,0.00,0,,279
2010-5-22,46,37,28,19,12,6,55,24,9,1003,1001,998,6,5,3,21,6,,0.00,1,,136
2010-5-23,43,37,32,19,17,15,38,30,19,1003,1000,998,4,4,2,37,19,,0.00,3,Rain,62
2010-5-24,45,38,31,17,13,10,40,24,13,1000,998,996,6,5,4,21,10,,0.00,0,,324
2010-5-25,46,39,32,14,11,8,31,19,11,998,995,993,7,5,4,21,10,,0.00,0,,308
2010-5-26,47,39,31,12,9,5,24,16,8,996,994,993,7,6,4,24,13,,0.00,0,,282
2010-5-27,44,37,31,20,14,9,41,25,14,994,993,990,6,3,0,40,14,,0.00,1,,147
2010-5-28,39,32,25,22,18,11,66,43,18,1001,995,991,4,2,0,52,27,82,0.00,3,Rain-Thunderstorm,120
2010-5-29,38,31,24,19,16,7,69,43,21,1004,1002,1001,5,4,1,48,16,,0.00,1,Thunderstorm,63
2010-5-30,41,33,26,15,11,7,44,27,13,1005,1003,1002,5,5,4,21,10,,0.00,0,Thunderstorm,307
2010-5-31,44,37,29,14,12,9,37,23,12,1003,1001,1000,5,5,2,21,6,,0.00,0,,271
<!-- 0.202:0 -->
