
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-8-1,40,35,30,27,25,23,84,59,40,999,997,995,7,5,4,14,5,,0.00,2,,269
2011-8-2,41,36,30,27,24,23,79,57,38,998,997,995,7,5,3,21,6,,0.00,3,Thunderstorm,238
2011-8-3,39,32,26,27,24,23,100,70,47,999,998,996,7,5,2,37,10,,0.00,3,Rain-Thunderstorm,137
2011-8-4,31,27,24,27,25,23,100,82,66,1002,999,997,6,4,3,34,11,,0.00,4,Rain-Thunderstorm,114
2011-8-5,34,30,27,28,26,24,94,75,56,1000,998,995,6,5,4,14,6,,0.00,2,,86
2011-8-6,35,31,27,28,26,24,94,78,67,998,996,995,4,4,4,19,6,,0.00,3,Rain-Thunderstorm,139
2011-8-7,33,29,26,28,26,25,100,84,71,999,997,996,5,4,2,29,10,,0.00,4,Rain-Thunderstorm,114
2011-8-8,28,26,23,27,24,23,100,92,84,1002,1000,998,5,4,1,34,13,,0.00,5,Rain-Thunderstorm,86
2011-8-9,35,30,26,27,25,23,94,74,49,1002,1000,998,7,6,4,14,8,,0.00,3,,89
2011-8-10,34,31,29,27,26,23,84,72,59,1001,1000,998,7,6,4,26,10,,0.00,3,,123
2011-8-11,34,30,27,26,25,23,94,74,59,1002,1000,997,5,5,4,21,11,,0.00,4,,106
2011-8-12,30,26,22,27,24,22,100,89,79,1000,999,997,6,5,2,34,13,,0.00,5,Rain-Thunderstorm,103
2011-8-13,29,26,23,24,23,22,94,83,70,1003,1001,999,6,5,4,19,11,,0.00,5,Rain,82
2011-8-14,30,28,26,25,24,23,89,81,70,1007,1003,1001,7,5,4,23,8,,0.00,5,,85
2011-8-15,30,28,25,26,24,24,94,87,74,1004,1001,999,5,4,3,19,8,,0.00,6,Rain-Thunderstorm,15
2011-8-16,34,29,25,26,24,23,94,77,56,1002,1000,999,5,4,4,13,5,,0.00,3,,167
2011-8-17,35,30,25,26,24,23,94,75,53,1002,1001,999,5,4,4,11,8,,0.00,3,,58
2011-8-18,37,32,27,26,26,24,89,71,50,1003,1001,999,5,4,3,14,5,,0.00,3,Thunderstorm,290
2011-8-19,37,32,28,29,26,24,100,76,53,1004,1002,1001,6,5,4,40,8,,0.00,3,Rain-Thunderstorm,149
2011-8-20,32,29,26,26,25,24,94,78,62,1009,1006,1004,7,5,4,151,14,,0.00,4,,115
2011-8-21,36,31,26,26,25,24,89,72,56,1008,1006,1003,7,6,4,11,6,,0.00,2,,103
2011-8-22,38,33,28,27,26,24,94,71,50,1007,1004,1000,6,4,4,19,5,,0.00,3,,156
2011-8-23,37,32,28,28,27,25,94,79,53,1004,1002,1000,4,4,1,40,6,,0.00,2,Rain-Thunderstorm,149
2011-8-24,30,28,27,28,26,25,94,91,89,1005,1002,1000,5,4,3,187,16,,0.00,5,Rain-Thunderstorm,134
2011-8-25,35,30,26,26,25,24,94,76,56,1007,1004,1002,7,5,4,11,6,,0.00,4,,140
2011-8-26,38,32,27,26,24,21,94,66,44,1007,1004,1001,5,4,4,11,3,,0.00,4,,199
2011-8-27,34,31,28,28,26,24,94,81,63,1005,1003,1001,5,5,4,27,10,,0.00,4,,129
2011-8-28,28,27,25,27,24,23,94,92,84,1006,1004,1002,4,4,3,21,8,,0.00,6,Rain-Thunderstorm,101
2011-8-29,33,29,25,26,24,21,94,78,55,1007,1005,1003,5,4,2,10,3,,0.00,3,Thunderstorm,84
2011-8-30,36,32,28,27,26,2,89,72,15,1007,1005,1002,5,5,4,10,3,,0.00,3,,75
2011-8-31,37,32,28,28,26,17,89,70,36,1006,1004,1000,5,4,3,11,5,,0.00,3,Thunderstorm,124
