
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-12-1,24,18,13,12,10,8,77,63,38,1017,1015,1011,4,4,3,11,5,,0.00,3,,103
2011-12-2,25,19,13,13,11,10,88,63,39,1017,1015,1012,4,3,1,10,3,,0.00,0,,331
2011-12-3,27,20,14,13,11,10,77,59,36,1013,1011,1009,4,3,2,13,5,,0.00,0,,302
2011-12-4,27,20,13,13,12,10,82,62,36,1013,1011,1010,4,3,1,8,2,,0.00,0,,300
2011-12-5,26,19,12,15,12,9,88,64,36,1014,1012,1011,4,3,1,6,2,,0.00,0,,88
2011-12-6,24,18,13,13,11,9,77,61,44,1016,1014,1013,4,3,1,19,3,,0.00,1,Rain-Thunderstorm,49
2011-12-7,24,19,14,13,12,10,82,63,50,1017,1015,1011,5,4,4,19,10,,0.00,2,,25
2011-12-8,23,17,12,17,13,10,88,72,61,1016,1014,1011,4,3,2,11,3,,0.00,2,,13
2011-12-9,23,18,14,14,12,10,88,69,50,1017,1015,1013,5,3,0,14,5,,0.00,1,,332
2011-12-10,23,17,11,11,8,6,88,60,36,1016,1014,1013,6,4,2,14,8,,0.00,0,,290
2011-12-11,24,17,10,7,4,0,71,46,21,1016,1014,1012,6,5,4,11,2,,0.00,1,,287
2011-12-12,22,16,9,9,6,5,82,55,33,1019,1017,1016,4,3,2,10,2,,0.00,0,,93
2011-12-13,22,16,9,7,5,2,76,51,27,1020,1018,1016,4,3,1,16,3,,0.00,1,,302
2011-12-14,23,16,8,6,2,-5,81,47,17,1018,1017,1016,5,4,2,14,3,,0.00,0,,301
2011-12-15,22,13,6,8,3,-2,87,52,20,1020,1017,1016,5,4,1,14,3,,0.00,0,,281
2011-12-16,22,13,6,8,5,2,87,59,28,1026,1018,1016,5,4,1,14,3,,0.00,1,,271
2011-12-17,22,13,6,6,3,-2,87,53,20,1020,1017,1015,4,4,1,13,3,,0.00,1,,295
2011-12-18,22,13,5,8,5,1,87,59,25,1020,1018,1016,4,4,1,10,2,,0.00,1,,157
2011-12-19,20,12,5,9,6,2,87,66,33,1020,1017,1016,4,3,1,13,2,,0.00,2,,127
2011-12-20,19,13,7,10,7,4,88,69,40,1018,1016,1010,4,3,1,16,6,,0.00,2,,59
2011-12-21,18,12,6,9,6,3,87,67,40,1020,1018,1010,4,2,1,11,5,,0.00,0,,1
2011-12-22,19,12,5,7,4,1,87,60,32,1021,1019,1017,5,3,1,21,8,,0.00,0,,315
2011-12-23,19,11,3,3,1,-3,81,55,23,1019,1016,1014,5,4,3,13,3,,0.00,0,,313
2011-12-24,20,11,3,4,-1,-6,81,48,18,1018,1016,1015,5,4,3,13,3,,0.00,1,,326
2011-12-25,19,12,5,4,2,-3,76,54,23,1018,1016,1015,4,4,3,10,2,,0.00,0,,108
2011-12-26,19,10,1,6,3,-1,100,63,30,1018,1016,1014,4,3,1,10,2,,0.00,1,,139
2011-12-27,19,10,2,7,4,0,93,67,37,1019,1017,1016,4,2,0,10,2,,0.00,0,Fog,87
2011-12-28,20,11,2,9,6,1,93,72,43,1021,1019,1017,4,2,0,8,2,,0.00,0,Fog,125
2011-12-29,20,11,3,8,6,1,93,72,37,1021,1020,1018,3,2,0,10,3,,0.00,0,Fog,326
2011-12-30,20,11,2,7,4,-1,93,69,35,1021,1019,1018,4,2,1,10,2,,0.00,0,Fog,356
2011-12-31,20,11,2,10,6,-1,93,69,37,1021,1019,1017,4,2,1,8,2,,0.00,0,Fog,147
