
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-7-1,30,26,22,27,24,21,94,87,79,1000,998,966,5,4,1,55,11,,0.00,5,Rain-Thunderstorm,130
2011-7-2,35,29,24,26,24,22,94,72,55,1000,998,997,5,4,3,10,5,,0.00,3,,184
2011-7-3,35,28,22,27,24,20,100,83,46,1002,999,997,4,3,0,64,10,,0.00,4,Rain-Thunderstorm,76
2011-7-4,37,30,24,24,22,20,94,65,39,1003,1002,1000,6,4,1,11,5,,0.00,0,,299
2011-7-5,38,32,27,26,24,22,89,61,39,1003,1002,1000,6,5,4,11,3,,0.00,1,,189
2011-7-6,36,32,29,27,26,23,89,70,49,1004,1002,1000,6,4,4,23,10,,0.00,1,,128
2011-7-7,34,31,28,27,25,23,89,73,59,1003,1002,1000,5,4,4,106,14,,0.00,3,,89
2011-7-8,33,28,23,29,25,23,100,84,62,1004,1003,1001,5,4,1,48,11,,0.00,4,Rain-Thunderstorm,93
2011-7-9,34,29,25,26,24,23,94,73,59,1003,1002,999,4,4,1,16,8,,0.00,3,,110
2011-7-10,36,31,27,26,25,23,89,68,50,1002,1000,997,6,5,4,13,5,,0.00,3,,119
2011-7-11,38,34,30,27,26,24,79,64,47,1001,999,997,6,5,4,172,6,,0.00,2,,177
2011-7-12,39,34,29,26,25,24,84,62,45,1000,998,996,5,4,4,13,5,,0.00,1,Rain,147
2011-7-13,39,34,29,28,27,24,94,72,53,1000,998,996,5,4,2,23,5,,0.00,3,Rain-Thunderstorm,141
2011-7-14,32,29,27,28,26,24,94,79,66,1000,998,995,5,4,2,27,11,,0.00,4,,98
2011-7-15,30,28,26,26,24,22,94,82,70,1000,998,995,7,4,3,40,13,,0.00,5,Rain-Thunderstorm,97
2011-7-16,32,29,26,26,25,24,94,81,66,1001,999,997,6,4,2,34,13,,0.00,4,Rain-Thunderstorm,77
2011-7-17,36,31,26,26,24,22,83,66,50,1000,998,996,5,5,4,16,6,,0.00,2,,75
2011-7-18,35,31,27,28,26,25,94,75,59,1000,998,995,6,5,3,14,8,,0.00,2,Rain-Thunderstorm,115
2011-7-19,39,33,28,27,26,24,89,66,42,998,996,993,7,5,4,13,5,,0.00,2,,232
2011-7-20,41,34,29,28,25,23,84,58,40,995,993,992,6,5,2,13,5,,0.00,2,,205
2011-7-21,35,32,30,28,27,26,89,76,63,997,995,994,4,4,3,23,13,,0.00,2,,127
2011-7-22,37,33,29,28,26,23,89,71,44,997,996,977,4,4,3,16,10,,0.00,4,Thunderstorm,136
2011-7-23,37,31,25,30,26,6,100,79,25,1000,998,996,6,4,2,42,11,,0.00,4,Rain-Thunderstorm,125
2011-7-24,35,31,27,26,26,24,94,74,56,1003,1001,999,6,5,4,19,13,,0.00,3,,128
2011-7-25,33,30,28,25,25,24,84,75,59,1007,1005,1003,6,5,4,26,14,,0.00,4,,121
2011-7-26,35,31,27,27,26,24,89,73,56,1008,1006,1003,6,5,4,16,8,,0.00,3,,108
2011-7-27,35,32,29,28,26,24,89,74,59,1004,1001,998,5,4,1,27,6,,0.00,3,Rain-Thunderstorm,100
2011-7-28,33,30,28,28,27,26,100,81,66,1003,1000,997,5,4,3,16,8,,0.00,4,Rain-Thunderstorm,92
2011-7-29,34,29,25,27,25,23,94,76,59,1003,1001,998,7,5,2,23,6,,0.00,4,Rain-Thunderstorm,120
2011-7-30,36,32,28,27,25,22,84,71,59,1001,999,996,6,5,4,16,6,,0.00,4,Rain-Thunderstorm,139
2011-7-31,39,33,28,28,26,22,89,66,42,999,998,995,5,4,4,10,2,,0.00,3,,321
