
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-6-1,34,27,20,22,18,16,100,70,46,1003,1000,995,6,4,3,55,23,,0.00,5,Rain-Thunderstorm,107
2011-6-2,32,26,20,22,19,17,94,64,49,1007,1005,1002,8,7,4,19,10,,0.00,1,,90
2011-6-3,40,32,25,24,21,17,78,55,31,1007,1005,1003,6,5,4,14,5,,0.00,0,,267
2011-6-4,41,34,29,22,20,18,55,43,28,1003,1001,999,6,5,5,37,11,,0.00,0,,251
2011-6-5,42,36,30,23,21,20,55,42,28,1002,1000,998,6,5,3,32,8,,0.00,0,,182
2011-6-6,44,36,28,22,21,20,66,43,27,1003,1001,998,5,5,4,11,8,,0.00,0,,166
2011-6-7,43,37,30,25,22,19,66,43,26,1000,998,996,5,4,4,19,6,,0.00,0,,160
2011-6-8,41,34,29,25,21,19,74,47,29,1000,998,996,6,5,4,32,19,,0.00,0,,136
2011-6-9,39,33,27,24,22,20,74,53,35,999,996,994,5,5,3,26,16,,0.00,1,Rain-Thunderstorm,128
2011-6-10,37,31,25,23,21,18,74,53,37,999,997,995,7,6,3,26,18,,0.00,1,Thunderstorm,131
2011-6-11,41,33,27,25,22,20,89,52,33,998,996,994,7,5,1,47,11,,0.00,2,Rain-Thunderstorm,142
2011-6-12,39,31,23,27,23,19,94,62,47,1002,1000,998,6,5,2,47,23,,0.00,2,Rain-Thunderstorm,94
2011-6-13,42,36,29,27,24,20,75,54,37,1002,999,997,6,5,5,16,8,,0.00,1,,239
2011-6-14,44,37,31,25,21,18,70,40,25,999,997,994,6,5,4,24,8,,0.00,0,,242
2011-6-15,41,33,25,26,22,15,69,52,30,998,996,995,6,4,4,27,14,,0.00,1,,139
2011-6-16,40,34,28,27,24,22,75,61,45,997,995,993,4,4,4,23,14,,0.00,2,,118
2011-6-17,33,26,18,26,23,18,100,74,55,998,995,993,6,4,1,55,16,,0.00,3,Rain-Thunderstorm,106
2011-6-18,30,27,23,25,23,21,100,77,58,1001,997,995,4,4,1,32,18,,0.00,4,Rain-Thunderstorm,124
2011-6-19,37,31,26,26,24,22,89,66,49,998,996,994,4,4,1,11,6,,0.00,1,,129
2011-6-20,33,29,25,25,24,22,83,66,55,999,998,995,6,4,3,26,10,,0.00,3,,121
2011-6-21,38,30,23,27,24,21,89,62,39,1001,998,996,6,5,2,13,6,,0.00,0,,132
2011-6-22,39,34,29,26,23,20,74,53,37,998,996,994,7,6,3,14,5,,0.00,0,,144
2011-6-23,40,34,29,28,26,23,79,58,42,998,996,993,6,5,2,16,10,,0.00,1,,149
2011-6-24,38,34,30,27,26,24,84,63,44,997,995,993,6,4,4,26,13,,0.00,3,Thunderstorm,127
2011-6-25,39,33,27,27,26,22,79,63,45,996,994,992,6,5,4,26,16,,0.00,3,,134
2011-6-26,32,30,29,26,25,24,84,76,66,997,996,994,5,5,4,34,18,,0.00,4,,121
2011-6-27,37,31,26,27,26,23,94,70,52,998,996,994,6,5,3,19,13,,0.00,2,,139
2011-6-28,33,28,24,26,24,21,100,77,63,998,996,994,6,5,1,55,18,,0.00,4,Rain-Thunderstorm,108
2011-6-29,33,27,22,26,24,22,100,81,62,999,997,995,6,4,1,29,11,,0.00,5,Rain-Thunderstorm,141
2011-6-30,36,31,26,26,25,23,94,71,53,999,997,995,5,4,4,13,8,,0.00,3,,139
