
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-11-1,29,23,18,17,15,10,83,60,39,1015,1012,1010,4,3,1,8,2,,0.00,0,,101
2011-11-2,30,23,17,17,16,14,83,63,42,1014,1012,1009,4,2,1,8,2,,0.00,0,,126
2011-11-3,31,24,18,17,16,14,83,59,35,1013,1011,1009,3,2,1,10,3,,0.00,0,,257
2011-11-4,29,24,19,19,17,15,88,70,48,1015,1013,1011,4,3,1,24,5,,0.00,2,Thunderstorm,82
2011-11-5,28,23,18,16,14,13,88,61,39,1017,1014,1013,5,4,3,42,10,,0.00,1,Rain-Thunderstorm,330
2011-11-6,29,24,19,15,12,10,73,50,30,1014,1012,1010,6,5,4,21,10,,0.00,0,,299
2011-11-7,29,23,17,14,12,10,82,52,30,1015,1013,1012,7,5,2,14,5,,0.00,1,,305
2011-11-8,29,22,16,14,13,11,77,56,37,1017,1014,1013,4,4,1,16,3,,0.00,1,,349
2011-11-9,28,23,18,15,13,12,73,56,42,1016,1014,1012,4,4,4,14,8,,0.00,3,,324
2011-11-10,26,22,18,18,16,14,83,68,50,1014,1013,1011,4,4,3,16,6,,0.00,3,,298
2011-11-11,30,24,19,16,14,13,78,56,35,1015,1013,1011,7,5,4,16,11,,0.00,1,,293
2011-11-12,30,23,17,17,14,13,82,57,37,1014,1012,1011,7,5,4,16,5,,0.00,0,,277
2011-11-13,31,23,17,14,11,6,73,48,21,1016,1014,1013,5,4,2,13,3,,0.00,1,,262
2011-11-14,29,23,17,14,12,10,77,52,30,1017,1015,1014,4,4,2,11,3,,0.00,2,,295
2011-11-15,29,23,17,14,13,10,82,55,30,1018,1016,1014,4,4,1,10,2,,0.00,1,,299
2011-11-16,29,22,16,15,13,12,82,58,37,1016,1014,1012,5,4,1,16,5,,0.00,0,,301
2011-11-17,29,22,16,14,12,10,88,57,30,1015,1013,1012,4,4,3,11,3,,0.00,0,,291
2011-11-18,29,23,17,15,14,12,83,55,37,1015,1013,1011,4,4,2,11,3,,0.00,0,,300
2011-11-19,29,21,14,15,13,12,94,60,35,1017,1014,1012,4,3,1,11,2,,0.00,0,,128
2011-11-20,29,22,15,19,14,12,88,61,35,1019,1017,1015,4,3,1,14,3,,0.00,0,,286
2011-11-21,29,21,14,15,13,12,88,61,35,1020,1018,1016,4,3,1,16,2,,0.00,1,,294
2011-11-22,27,20,14,15,13,12,94,65,42,1020,1017,1016,8,3,1,8,0,,0.00,2,,77
2011-11-23,27,21,15,18,16,14,94,72,51,1020,1017,1016,3,2,0,6,0,,0.00,2,Fog,56
2011-11-24,25,20,16,18,16,14,94,76,57,1020,1018,1017,2,1,0,10,2,,0.00,2,Fog,59
2011-11-25,26,20,14,17,13,-14,94,69,7,1019,1016,1014,4,2,0,10,2,,0.00,1,Fog,338
2011-11-26,25,19,13,14,12,10,94,67,41,1018,1015,1014,4,3,1,10,2,,0.00,0,Fog,60
2011-11-27,25,19,13,14,11,10,82,62,41,1018,1016,1013,4,3,1,10,0,,0.00,0,,62
2011-11-28,24,18,13,15,13,10,88,69,50,1017,1014,1005,4,2,1,13,3,,0.00,0,,304
2011-11-29,28,21,14,14,11,9,88,61,32,1015,1013,1012,6,4,1,119,23,,0.00,1,,294
2011-11-30,26,19,13,10,8,5,72,50,26,1015,1013,1011,5,4,4,11,5,,0.00,1,,276
