
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-10-1,35,30,25,22,21,18,78,59,36,1008,1007,1005,6,5,4,11,3,,0.00,1,,253
2011-10-2,36,31,26,28,21,19,89,60,37,1007,1006,1004,6,5,4,11,3,,0.00,0,,230
2011-10-3,37,31,25,23,20,17,89,54,30,1008,1006,1004,7,5,4,14,5,,0.00,0,,213
2011-10-4,35,30,25,22,21,18,83,60,36,1009,1007,1005,7,5,4,13,5,,0.00,0,,157
2011-10-5,35,29,24,23,21,17,94,63,43,1013,1010,1008,7,5,4,14,6,,0.00,1,,176
2011-10-6,35,29,24,22,19,2,83,54,19,1021,1012,1011,6,5,4,14,5,,0.00,0,,262
2011-10-7,35,30,25,22,20,18,83,57,39,1013,1011,1009,4,4,4,16,6,,0.00,2,,294
2011-10-8,34,29,24,21,18,7,74,54,28,1014,1012,1010,5,4,4,14,6,,0.00,2,,313
2011-10-9,35,29,23,19,17,15,73,53,32,1015,1013,1011,6,5,4,13,3,,0.00,0,,319
2011-10-10,35,30,25,20,18,16,74,54,32,1015,1013,1012,6,5,4,13,5,,0.00,1,,299
2011-10-11,35,29,24,21,19,17,78,56,34,1015,1013,1012,6,5,4,145,10,,0.00,0,,294
2011-10-12,35,29,24,19,18,17,69,52,34,1014,1012,1011,6,5,4,14,5,,0.00,0,,290
2011-10-13,35,29,24,20,17,10,78,49,25,1011,1010,1009,6,5,4,14,3,,0.00,2,,220
2011-10-14,35,29,23,18,16,12,69,49,25,1011,1010,1009,6,4,2,14,3,,0.00,0,,320
2011-10-15,34,28,22,18,14,9,73,46,21,1011,1009,1008,6,5,3,14,3,,0.00,0,,298
2011-10-16,34,27,20,17,15,11,78,50,26,1012,1010,1009,5,4,3,13,2,,0.00,0,,258
2011-10-17,34,27,21,18,17,15,83,54,32,1013,1011,1010,4,4,2,14,3,,0.00,0,,288
2011-10-18,33,27,20,17,16,14,78,51,31,1015,1012,1010,5,4,2,13,3,,0.00,0,,277
2011-10-19,34,27,19,17,16,13,83,53,29,1011,1009,1007,4,4,2,14,3,,0.00,0,,256
2011-10-20,33,27,20,18,16,14,83,56,31,1010,1009,1008,4,4,3,10,2,,0.00,0,,216
2011-10-21,33,26,19,19,17,13,83,58,29,1012,1011,1010,4,4,1,11,2,,0.00,1,,279
2011-10-22,31,24,19,19,17,15,83,61,40,1014,1012,1010,4,4,1,23,5,,0.00,2,,54
2011-10-23,26,23,20,16,16,14,78,65,50,1031,1014,1012,7,5,3,34,18,,0.00,3,,31
2011-10-24,30,24,18,16,14,12,78,56,35,1016,1014,1012,7,5,4,19,14,,0.00,1,,346
2011-10-25,30,24,18,16,14,12,83,57,33,1015,1013,1012,5,4,2,10,3,,0.00,0,,292
2011-10-26,30,23,16,15,14,13,82,56,35,1017,1015,1014,5,4,1,13,5,,0.00,0,,329
2011-10-27,31,24,18,15,13,11,73,50,33,1016,1014,1012,5,4,4,14,3,,0.00,0,,288
2011-10-28,32,24,18,15,14,13,77,55,33,1016,1014,1012,6,4,4,8,2,,0.00,0,,266
2011-10-29,31,24,18,17,14,11,83,54,31,1017,1014,1012,6,4,2,13,3,,0.00,0,,277
2011-10-30,31,24,18,16,14,12,83,56,33,1013,1012,1010,6,4,1,13,2,,0.00,0,,259
2011-10-31,30,23,16,16,14,13,82,56,35,1014,1012,1011,4,4,1,10,2,,0.00,0,,174
