
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2011-9-1,33,29,25,26,25,23,94,78,66,1025,1004,1001,6,5,3,23,10,,0.00,4,Rain-Thunderstorm,71
2011-9-2,37,32,27,27,25,24,89,73,50,1004,1002,1001,5,4,4,19,10,,0.00,2,,325
2011-9-3,38,32,27,28,26,24,89,76,50,1004,1002,1000,6,5,4,26,5,,0.00,2,Rain-Thunderstorm,149
2011-9-4,35,31,28,27,26,24,94,73,56,1007,1004,1002,7,5,4,23,8,,0.00,2,,118
2011-9-5,32,30,28,27,26,25,94,77,70,1006,1004,1002,4,4,4,8,3,,0.00,4,,89
2011-9-6,33,30,28,27,25,24,84,80,70,1003,1002,999,4,4,4,16,6,,0.00,5,Rain-Thunderstorm,71
2011-9-7,39,30,27,28,26,23,89,76,45,1002,1000,997,5,4,4,10,5,,0.00,4,,134
2011-9-8,34,30,27,28,26,23,94,81,63,1001,1000,998,4,4,2,13,5,,0.00,4,Rain-Thunderstorm,169
2011-9-9,31,28,26,26,25,24,100,87,74,1006,1004,1001,7,5,2,26,8,,0.00,4,Rain,119
2011-9-10,34,29,25,26,25,24,94,77,56,1008,1006,1003,6,5,3,11,5,,0.00,4,,104
2011-9-11,35,30,26,27,26,24,89,76,59,1005,1004,1001,7,5,3,14,3,,0.00,3,,139
2011-9-12,35,31,27,27,26,25,94,76,59,1006,1004,1002,6,5,4,13,6,,0.00,1,,125
2011-9-13,35,31,27,27,26,23,84,71,59,1006,1004,1002,6,5,4,11,6,,0.00,2,,129
2011-9-14,34,31,28,28,26,25,89,75,63,1004,1002,1000,5,4,3,19,5,,0.00,4,Rain-Thunderstorm,295
2011-9-15,35,29,24,26,24,20,100,79,52,1006,1002,1000,6,4,3,32,6,,0.00,4,Rain-Thunderstorm,158
2011-9-16,26,24,24,24,23,3,100,93,25,1005,1003,1001,7,4,3,16,11,,0.00,6,Rain-Thunderstorm,171
2011-9-17,32,27,23,24,23,21,94,76,59,1005,1003,1000,4,4,3,10,3,,0.00,2,,307
2011-9-18,34,29,25,25,23,21,94,74,55,1005,1003,1002,4,4,3,10,3,,0.00,1,,249
2011-9-19,32,29,26,25,23,20,94,75,55,1009,1006,1005,5,5,3,34,5,,0.00,2,Rain-Thunderstorm,37
2011-9-20,35,30,25,23,22,20,89,66,44,1009,1007,1005,6,5,3,14,3,,0.00,0,,297
2011-9-21,36,30,25,25,22,21,84,65,41,1006,1005,1003,6,5,3,13,5,,0.00,1,,269
2011-9-22,38,32,26,24,23,21,89,69,44,1008,1006,1004,6,4,3,10,3,,0.00,1,,250
2011-9-23,35,30,25,24,22,20,83,64,44,1007,1005,1004,7,5,4,19,8,,0.00,0,,277
2011-9-24,36,31,27,24,21,17,79,55,32,1007,1005,1004,7,5,4,19,6,,0.00,0,,265
2011-9-25,36,30,25,23,21,20,78,58,41,1008,1007,1005,5,5,4,13,5,,0.00,1,,207
2011-9-26,36,30,25,23,22,19,83,62,41,1008,1007,1006,6,5,4,13,3,,0.00,0,,247
2011-9-27,35,30,26,28,23,21,89,66,47,1008,1006,1005,5,4,3,16,6,,0.00,0,,228
2011-9-28,34,29,24,23,22,21,89,67,46,1008,1006,1005,5,4,2,13,6,,0.00,0,,170
2011-9-29,36,31,26,24,21,12,84,58,39,1008,1007,1006,6,5,4,14,5,,0.00,1,,230
2011-9-30,36,30,24,22,20,18,89,57,37,1010,1008,1007,7,5,3,13,5,,0.00,0,,234
